"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 1 курс",column_1,column_2,column_3
Дни,Часы,С-НТС-101,
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,,
,,лек. ИСТОРИЯ РОССИИ доц. Котельников В.А. 202,
,10.10-11.40,,
,,пр.з. инженерная физика Рыжова Е.В. 240,
,12.00-13.30,"лб.з. инженерная физика
Рыжова Е.В. Лузина М.С. 240 244",
,13.40-15.10,"пр.з. история России
Слижевская М.Р. 307",
,15.20-16.50,,
,17.00-18.30,,
"к
и
н
р
о
т
В",8.30-10.00,"пр.з. общая физическая подготовка
Наумова сок",
,10.10-11.40,"пр.з. иностранный язык
Завьялова М.С. Мизюрова Э.Ю. 516 510а",
,12.00-13.30,пр.з. иностранный язык Завьялова М.С. Мизюрова Э.Ю. 516 510а,
,,лек ЭКОЛОГИЯ доц. Сагатов М.А. 132,
,13.40-15.10,"пр.з. экология
Сагатов М.А. 132 1 подгруппа","лаб.з. информационные технологии при производстве
автом. и тракторов Горюнов Д.Г. 531 2 подгруппа"
,15.20-16.50,,
"а
д
е
р
С",8.30-10.00,,
,,лек. ИНЖЕНЕРНАЯ ФИЗИКА доц. Жиздюк А.А. 240,
,10.10-11.40,"лек. ТЕОРЕТИЧЕСКАЯ МЕХАНИКА
доц. Левченко Г.В. 434",
,12.00-13.30,лек. ИНФОРМАТИКА доц. Верзилин А.А. 529,
,,лаб.з. информатика Верзилин А.А. Моршнев А.Ю. 529 522,
,13.40-15.10,ЕДИНЫЙ КУРАТОРСКИЙ ЧАС,
,15.20-16.50,,
"г
р
е
в
т
е
Ч",8.30-10.00,пр.з. теоретическая механика Шишкин И.В. 434,
,,лаб.з. теоретическая механика Шишкин И.В. Ершов С.В. 434,
,10.10-11.40,"пр.з. начертательная геометрия и машиностроительное черчение
Марадудин А.М. Леонтьев А.А. 313, 311",
,12.00-13.30,пр.з. общая физическая подготовка Наумова сок,
,,лек. НАЧЕРТАТЕЛЬНАЯ ГЕОМЕТРИЯ И МАШИНОСТРОИТЕЛЬНОЕ ЧЕРЧЕНИЕ доц. Марадудин А.М. 313,
,13.40-15.10,,
,15.20-16.50,,
"а
ц
и
н
т
я
П",8.30-10.00,,"пр.з. экология
Сагатов М.А. 132 2 подгруппа"
,10.10-11.40,"лаб.з. информатика
Верзилин А.А. Моршнев А.Ю. 522 520",
,12.00-13.30,"пр.з. прикладная математика в автомобиле-и трактроростроении
Селиванов Ф.С.127",
,13.40-15.10,"лаб.з. информационные технологии при производстве
автом. и тракторов Горюнов Д.Г. 531 1 подгруппа",
,15.20-16.50,,
"а
т
о
б",8.30-10.00,,
,10.10-11.40,,
"б
у
С",12.00-13.30,,
,13.40-15.10,,
