"Расписание занятий
на 2 семестр 2025-2026 учебого года
институт инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,М-ТЛ-201 24.02.2026
"к
и
н
ь
л",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
"е
д
е
н
о
П",13.40-15.10,
,,лек. РЕСУРСОСБЕРЕГАЮЩИЕ ТЕХНОЛОГИИ В ДЕРЕВООБРАБОТКЕ доц. Колганов Д.А. ауд. 208
,15.20-16.50,лек. СЕРТИФИКАЦИЯ ИЗДЕЛИЙ ИЗ ДРЕВЕСИНЫ доц. Надежкина Г.П. ауд. 106
,,пр.з. сертификация изделий из древесины Надежкина Г.П. ауд. 106
,17.00-18.30,пр.з. сертификация изделий из древесины Надежкина Г.П. ауд. 106
,,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,лек. ТЕОРИЯ И ТЕХНОЛОГИЯ ОТДЕЛКИ ДРЕВЕСИНЫ доц. Кабанов О.В. ауд. 123
,15.20-16.50,"лаб.з. теория и технология отделки древесины
Кабанов О.В. ауд. 123"
,17.00-18.30,"лаб.з. деревообрабатывающее оборудование с ЧПУ
Бахтиев Р.Н. ауд.123"
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,"лаб.з. ресурсосберегающие технологии в деревообработке
Колганов Д.А. ауд. 106"
,13.40-15.10,"лаб.з. деревообрабатывающее оборудование с ЧПУ
Бахтиев Р.Н. ауд. 106"
,15.20-16.50,"пр.з. нормирование сырья и материалов в деревообработке
Надежкина Г.П. ауд. 106"
,,лек. НОРМИРОВАНИЕ СЫРЬЯ И МАТЕРИАЛОВ В ДЕРЕВООБРАБОТКЕ доц. Надежкина Г.П. ауд. 106
,17.00-18.30,
"г
р
е
в",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
"т
е
Ч",13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
"т
я",13.40-15.10,
П,15.20-16.50,
,17.00-18.30,
"а
т
о
б
б
у
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,
