"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 3 курс",column_1,column_2
Дни,Часы,Б-ПВ-301 02.02.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,"пр.з. специальная гидравлика сооружений инженерной защиты
Горбачева А.В. Назаров А.С. ГЛ-2"
,13.40-15.10,лек. ГИДРОУЗЛЫ КОМП НАЗНАЧЕНИЯ. РЕГУЛИРОВАНИЕ СТОКА доц. Никишанов А.Н. 532
,,лек. СПЕЦИАЛЬНАЯ ГИДРАВЛИКА СООРУЖЕНИЙ ИНЖЕНЕРНОЙ ЗАЩИТЫ доц. Никишанов А.Н. 532
,15.20-16.50,лаб.з. специальная гидравлика сооружений инженерной защиты Никишанов А.Н. ГЛ-2
,,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,"лек. ЭЛЕКТРОТЕХНИКА,ЭЛЕКТРОНИКА И АВТОМАТИЗАЦИЯ доц. Лягина Л.А. 303"
,,лек. ВОДОХОЗЯЙСТЕННЫЕ СИСТЕМЫ И ВОДОПОЛЬЗОВАНИЕ доц. Прокопец Р.В.525
,12.00-13.30,"пр.з. основы строительного дела. инженерные конструкции
Медведев Н.В. 110"
,13.40-15.10,"лб.з. электротехника, электроника и автоматизация
Абрамова В.С. 416"
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,лек. ОСНОВЫ СТРОИТЕЛЬНОГО ДЕЛА. ИНЖЕНЕРНЫЕ КОНСТРУКЦИИ доц. Панкова Т.А. 110
,,
,12.00-13.30,"пр..з проектирование систем инженерной защиты
Михеева О.В. Назаров А.С. 503"
,13.40-15.10,"лаб.з проектирование систем инженерной защиты
Михеева О.В. Назаров А.С. 503"
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,12.00-13.30,"пр.з. общая физическая подготовка
Бугров А.А. сок"
,13.40-15.10,"пр.з.гидроузлы косплексного назначения. регулирование стока
Никишанов А.Н. Назаров А.С. 532"
,15.20-16.50,"пр.з. водохозяйствнные системы и водопользование
Медведев Н.В. 532"
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,лек. ПРИБОРЫ И СРЕДСТВА КОНТРОЛЯ ПРИРОДНЫХ И ТЕХНОГЕННЫХ ПРОЦЕССОВ доц. Аржанухина Е.В. 525
,,пр.з. приборы и средства контроля природных и техногенных процессов Аржанухина Е.В. Назаров А .С. 525
,10.10-11.40,лаб.з. приборы и средства контроля природных и техногенных процессов Аржанухина Е.В. Назаров А .С. 525
,,лек. ПРОЕКТИРОВАНИЕ СИСТЕМ ИНЖЕНЕРНОЙ ЗАЩИТЫ доц.Михеева О.В. 503
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
