"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 1 курс",column_1,column_2
Дни,Часы,Б-СТ-101 с 02.02.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,"пр.з. общая физическая подготовка
Купричев Е.Д. сок"
,10.10-11.40,лек. НАЧЕРТАТЕЛЬНАЯ ГЕОМЕТРИЯ. ИНЖЕНЕРНАЯ ГРАФИКА доц. Перетятько А.В. 315
,,лек. ИСТОРИЯ РОССИИ доц. Федорова-Кузнецова И.В. 202
,12.00-13.30,"пр.з. история России
Слижевская М.Р. 307"
,13.40-15.10,
,,пр.з. иностранный язык Зотеева Т.С. Герасимова В.А. 512 509
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,"пр.з. прикладная математика в системах ТГСВ
Дьяконова Н.В. 308"
,10.10-11.40,"пр.з. иностранный язык
Зотеева Т.С. Герасимова В.А. 512 509"
,12.00-13.30,лек. ЭКОЛОГИЯ доц. Сагатов М.А. 132
,,лек. ПРИКЛАДНАЯ МАТЕМАТИКА В СИСТЕМАХ ТГСВ ст. пр. Дьяконова Н.В.308
,13.40-15.10,лаб.з. механика. теоретическая механика Березкин А.С. Шишкин И.В.434
,,
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,"лаб.з. строительное черчение
Перетятько А.В. 315"
,10.10-11.40,"лаб.з. начертательная геометрия. Инженерная графика
Перетятько А.В. Леонтьев А.А. 315 313"
,12.00-13.30,"пр.з. общая физическая подготовка
Купричев Е.Д. сок"
,13.40-15.10,ЕДИНЫЙ КУРАТОРСКИЙ ЧАС
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,,лек. МЕХАНИКА . ТЕОРЕТИЧЕСКАЯ МЕХАНИКА доц. Васильчиков В.В. 40
,12.00-13.30,
,,лаб.з. механика. теоретическая механика Березкин А.С. Шишкин И.В. 434
,13.40-15.10,"лек. ИНЖЕНЕРНАЯ ФИЗИКА
доц. Жиздюк А.А. 244"
,15.20-16.50,"лб.з. инженерная геология
Демакина И.И. Фисенко Б.В. 533"
,17.00-18.30,лек. ИЖЕНЕРНАЯ ГЕОЛОГИЯ доц. Демакина И.И. 107
,,
"а
ц
и
н
т
я
П",8.30-10.00,лек. ИНЖЕНЕРНОЕ ОБЕСПЕЧЕНИЕ доц. Прокопец Р.В. 532
,,пр.з. инженерное обеспечение Карпушкин А.В. 532
,10.10-11.40,"лб.з. инженерное обеспечение
Карпушкин А.В. Афонин В.В. 532"
,12.00-13.30,"пр.з. экология
Сагатов М.А. 132"
,13.40-15.10,пр.з. инженерная физика Субботина Е.Д. 240
,,лаб.з. инженерная физика Субботина Е.Д. Лузина М.С. 240 244
,15.20-16.50,
,17.00-18.30,
,8.30-10.00,
"а
т
о
б
б
у
С",10.10-11.40,
,12.00-13.30,
,13.40-15.10,
