column_0,column_1,column_2,column_3
,,,
,,,
Расписание занятий,,,
на 2 семестр 2024-2025 учебного года,,,
институт агробизнеса 1 и 2 курс,,,
Дни,Часы,М-Эв-БУ-101 04.02.2026,М-Эв-БУ-201 02.02.2026
киньледеноП,8.30-10.00,,
,,,
,10.10-11.40,,
,,,
,12.00-13.30,,
,,,
,13.40-15.10,,
,,,
,15.20-16.50,,
,,,
кинротВ,8.30-10.00,,
,,,
,10.10-11.40,,
,,,
,12.00-13.30,,
,,,
,13.40-15.10,лек. ЭКОНОМИЧЕСКИЙ АНАЛИЗ (продв.уровень) доц. Кондак В.В. 242,пр.з. Учет и оптимизация налогообложений организаций Котар О.К. 257
,,,
,15.20-16.50,"пр.з. Экономический анализ (продв. уровень) Шарикова И.В. , Кувшинова Е.А. 134 к",пр.з. Учет и оптимизация налогообложений организаций Котар О.К. 257
,,пр.з. Эконометрика (продв.уровень) Волощук Л.А. 230,
,17.00-18.30,лек.. СТРАТЕГИЧЕСКИЙ МЕНЕДЖМЕНТ проф. Александрова Л.А. 316,
,,пр.з. Стратегический менеджмент Александрова Л.А. 316,
адерС,8.30-10.00,,
,,,
,10.10-11.40,,
,,,
,12.00-13.30,,
,,,
,13.40-15.10,,пр.з. Учет и анализ инвестиций
,,лек. ОРГАНИЗАЦИЯ РАБОТЫ В МАЛЫХ ГРУППАХ ст.пр. Антипова Е.Ю. 526,Лысова Т.А. 255
,15.20-16.50,пр.з. Оценка и составление прогнозного баланса Кондак В.В. 134 к,лек. УЧЕТ И АНАЛИЗ ИНВЕСТИЦИЙ доц. Лысова Т.А. 255
,,пр.з .Организация работы в малых группах Антипова Е.Ю. 526,лек. БУХГАЛТЕРСКАЯ ЭКСПЕРТИЗА И УЧЕТ В УСЛОВИЯХ БАНКРОТСТВА доц. Лысова Т.А. 255
,17.00-18.30,лек. ОЦЕНКА И СОСТАВЛЕНИЕ ПРОГНОЗНОГО БАЛАНСА доц. Кондак В.В. 134 к,пр.з. Бухгалтерская экспертиза в условиях банкротства Лысова Т.А. 257
,,,
гревтеЧ,8.30-10.00,,
,,,
,10.10-11.40,,
,,,
,12.00-13.30,,
,,лек. СОВРЕМЕННЫЕ СИСТЕМЫ УЧЕТА ЗАТРАТ доц. Лысова Т.А. 242,
,13.40-15.10,лек. ФИЛОСОФИЯ ПОЗНАНИЯ проф. Дудникова Е.Б. 440,пр.з. Внутренний аудит (продвинутый уровень)
,,пр.з. Совресенные системы учета затрат Лысова Т.А. 242,"Шаронова Е.В., Павлик А.С. 134 к / 241"
,15.20-16.50,пр.з. Философия познания Дудникова Е.Б. 440,пр.з. Бухгалтерские компьютерные программы
,,,"Шаронова Е.В., Павлик А.С. 134 к"
,17.00-18.30,,
,,,
ацинтяП,8.30-10.00,,
,,,
,10.10-11.40,,
,,,
,12.00-13.30,,
,,,
атоббуС,8.30-10.00,,
,,,
,10.10-11.40,,
,,,
,,,
