column_0,column_1,column_2,column_3
,,,
,,,
Расписание занятий,,,
на 2 семестр 2025-2026 учебного года,,,
институт генетики и агрономии 1 курс,,,
,,,
инД,Часы,М-АА-101 с 29.12.2025,М-ЭП-УР-101 с 22.12.2025
киньледеноП,8.30-10.00,,
,,,
,10.10-11.40,пр.з. Инновационные технологии в земледелии с использованием современной техники,пр.з. Оценка воздействия на окружающую среды
,,Преймак С.А. 133,Мохонько Ю.М. 336
,12.00-13.30,лек. ЭКОЛОГИЧЕСКОЕ ЗЕМЛЕДЕЛИЕ проф. Солодовников А.П. 603,пр.з. Основы научных исследований в экологии и природопользовании
,,лдек. КОМПЛЕКСНЫЙ ЭКОЛОГИЧЕСКИЙ МОНИТОРИНГ доц. Пономарева А.Л. 446,Шевченко Е.Н. 336
,13.40-15.10,пр.з. Комплексный экологический мониторинг,пр.з.. Экологическое нормирование
,,Пономарева А.Л. 446,Андриянова Ю.М. 336
,15.20-16.50,пр.з. Устойчивое развитие сельских территорий,лек. ЭКОЛОГИЧЕСКОЕ НОРМИРОВАНИЕ доц. Андриянова Ю.М. 336
,,Пономарева А.Л. 446,лек. ОСНОВЫ НАУЧНЫХ ИССЛЕД. В ЭКОЛОГИИ И ПРИРОДОПОЛЬЗОВАНИИ проф. Сергеева И.В. 336
кинротВ,8.30-10.00,,
,,,
,10.10-11.40,лек. ИННОВАЦИОННЫЕ ТЕХНОЛОГИИ В ЗЕМЛЕДЕЛИИ доц. Сураев Д.В. 133,
,,,
,12.00-13.30,лек. АПРОБАЦИЯ РЕЗУЛЬТАТОВ НИС доц. Ткаченко О.В. 903,
,,лек. УСТОЙЧИВОЕ РАЗВИТИЕ СЕЛЬСКИХ ТЕРРИТОРИЙ доц. Пономарева А.Л. 446,
,13.40-15.10,пр.з. Экологическое земледелие,
,,"Солодовников А.П., Преймак С.А. 603",
,15.20-16.50,,
,,,
адерС,8.30-10.00,,
,,,
,10.10-11.40,,
,,,
,12.00-13.30,,
,,,
,13.40-15.10,,пр.з. Экологические методы исследований
,,,Пономарева А.Л. 326
,15.20-16.50,,лек. ЭКОЛОГИЧЕСКИЙ АУДИТ доц. Пономарева А.Л. 336
,,,лек. ЭКОЛОГИЧЕСКИЕ МЕТОДЫ ИССЛЕДОВАНИЙ доц. Пономарева А.Л. 336
,17.00-18.30,,пр. з. Экологический аудит
,,,Стюшина Р.Н. 336
гревтеЧ,8.30-10.00,,
,,,
,10.10-11.40,пр.з. Апробация результатов НИС Беляева А.А. 712,
,,,
,12.00-13.30,пр.з. Апробация результатов НИС Беляева А.А. 712,
,,лек. ИННОВАЦИОННЫЕ АГРОТЕХНОЛОГИИ доц. Шьюрова Н.А. 712,лек. ЭКОЛОГИЧЕСКОЕ ПРОГНОЗИРОВАНИЕ доц. Сагатов М.А. 328
,13.40-15.10,пр.з. Инновационные агротехнологии,пр.з.. Экологическое прогнозирование
,,Шьюрова Н.А. 712,Стюшина Р.Н. 336
,15.20-16.50,,лек. ОЦЕНКА ВОЗДЕЙСТВИЯ НА ОКРУЖАЮЩУЮ СРЕДУ доц. Мохонько Ю.М. 336
,,,
ацинтяП,8.30-10.00,,
,,,
,10.10-11.40,,
,,,
,12.00-13.30,,
,,,
,13.40-15.10,,
,,,
,15.20-16.50,,
,,,
,17.00-18.30,,
,,,
атоббуС,8.30-10.00,,
,,,
,10.10-11.40,,
,,,
