"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 2 курс",column_1,column_2
"и
н
Д",Часы,М-А-ГиС-201 26.01.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"пр.з Сертификация семян
Степанова Н.В. 708"
,15.20-16.50,лек. СЕРТИФИКАЦИЯ СЕМЯН доц. Степанова Н.В. 708
,,лек. МОДЕЛИРОВАНИЕ БИОЛОГИЧЕСКИХ СИСТЕМ доц. Бурыгин Г.Л. 708
,17.00-18.30,"пр.э. Моделирование биологических систем
Бурыгин Г.Л. 708"
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"лек. БИОИНЖЕНЕРИЯ
доц. Ткаченко О.В. 803"
,15.20-16.50,"пр.з. Биоинженерия
Ткаченко О.В. 803"
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,пр. з. Педагогические технологии в профессиональном образовании Измайлова Ю.М. 522
,,пр.з. Управление персоналом и реализация проектов Ледяев Т.Б. 522
,15.20-16.50,лек. ПЕДАГОГИЧЕСКИЕ ТЕХНОЛОГИИИ В ПРОФ. ОБРАЗОВАНИИ доц. Измайлова Ю.М. 522
,,лек. УПРАВЛЕННИЕ ПЕРСОНАЛОМ И РЕАЛИЗАЦИЯ ПРОЕКТОВ доц. Ледяев Т.Б. 522
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,пр.з. Русский язык в деловой и научной коммуникации Выходцева И.С. УК 2 407
,,пр.з. Биоинженерия Ткаченко О.В. 712
,12.00-13.30,пр.з. Русский язык в деловой и научной коммуникации Выходцева И.С. УК 2 407
,,пр.з. Биоинженерия Ткаченко О.В. 712
,13.40-15.10,
"а
т
о
б
б
у
С",8.30-10.00,
,10.10-11.40,
,,
