"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 1 курс",column_1,column_2
Дни,Часы,М-ПИ-101
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,"лаб.з. математические методы и модели поддержки принятия решений
Гиляжева Д.Н. 127"
,13.40-15.10,лек.МАТЕМАТИЧЕСКИЕ МЕТОДЫ И МОДЕЛИ ПОДДЕРЖКИ ПРИНЯТИЯ РЕШЕНИЙ доц. Гиляжева Д.Н. 127
,,лек. МЕТОДОЛОГИЯ И ТЕХНОЛОГИЯ ПРОЕКТИРОВАНИЯ ИНФОРМАЦИОННЫХ СИСТЕМ доц. Евстафьев Д.П. 522
,15.20-16.50,"лаб.з. методология и технология проектирования информационных систем
Евстафьев Д.П. Моршнев А.Ю. 522"
,17.00-18.30,"лек. РАЗРАБОТКА ПРОГРАММНЫХ ПРИЛОЖЕНИЙ
доц. Ключиков А.В. 522"
,8.30-10.00,
"к
и
н
р
о
т
В",10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,,лек. МЕТОДОЛОГИЯ И ТЕХНОЛОГИЯ ПРОЕКТИРОВАНИЯ ИНФОРМАЦИОННЫХ СИСТЕМ доц. Евстафьев Д.П. 529
,12.00-13.30,
,,лек. РАЗРАБОТКА ПОЛНОГО ЦИКЛА доц. Розанов А.В. 113
,13.40-15.10,"лаб.з. разработка полного цикла
Розанов А.В. Моршнев А.Ю. 113"
,15.20-16.50,"лаб.з. разработка программных приложений
Ключиков А.В. КВАНТОРИУМ"
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
т
о
б
б
у
С",12.00-13.30,"лек. ПРОМЫШЛЕННЫЙ ДИЗАЙН
доц. Журавлев А.В. 113"
,13.40-15.10,"лаб.з. промышленный дизайн
Журавлев А.В. Моршнев А.Ю. 113"
,15.20-16.50,"лаб.з. архитектуры распределенных программных комплексов и систем
Журавлев А.В. 113"
,17.00-18.30,лек.АРХИТЕКТУРЫ РАСПРЕД.ПРОГР.КОМПЛЕКСОВ доц. Журавлев А.В. 113
,,
,,
