"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 4 курс",column_1,column_2
Дни,Часы,С-НТС-401 с 26.01.26
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,"лек. ПРОЕКТИРОВАНИЕ АВТОМОБИЛЕЙ И ТРАКТОРОВ
доц. Кабанов О.В. 123"
,12.00-13.30,"пр.з. проектирование автомобилей и тракторов
Кабанов О.В. 123"
,13.40-15.10,"пр.з. общая физическая подготовка
Шишкина Т.Г. сок"
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,лек. ЭКОНОМИЧЕСКАЯ ТЕОРИЯ доц. Васильева О.А. 125
,,пр.з.экономическая теория Ерзова П.И. 125
,12.00-13.30,лек. КОНТРОЛЬ ТЕХНОЛОГИЧЕСКОГО СОПРОВОЖДЕНИЯ ПРОИЗВОДСТВА АВТОМОБИЛЕЙ И ТРАКТОРОВ доц. Кабанов О.В. 106
,,пр.з.контроль технологического сопровождения производства автомобилей и тракторов Кабанов О.В. 106
,13.40-15.10,лаб.з.контроль технологического сопровождения производства автомобилей и тракторов Носов А.О. 106
,,
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,"лек. ЭРГОНОМИКА И ДИЗАЙН АВТОМОБИЛЕЙ И ТРАКТОРОВ
доц. Русинов А.В. 125"
,12.00-13.30,"пр.з. эргономика и дизайн автомобилей и тракторов
Русинов А.В. 125"
,13.40-15.10,"лек. ПРОЕКТИРОВАНИЕ ТЕХНИКИ СПЕЦИАЛЬНОГО НАЗНАЧЕНИЯ НА БАЗЕ АВТОМОБИЛЕЙ И ТРАКТОРОВ
доц. Русинов А.В. 125"
,15.20-16.50,"лаб.з. проектирование техники специального назначения на базе автомобилей и тракторов
Носов А.О. 125"
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,,пр.з эксплуатация автомобилей и тракторов Колганов Д.А.КириченкоА.В. 106
,10.10-11.40,"лек. ЭКСПЛУАТАЦИЯ АВТОМОБИЛЕЙ И ТРАКТОРОВ
доц. Колганов Д.А. 106"
,12.00-13.30,"пр.з. эксплуатация автомобилей и тракторов
Колганов Д.А. Кириченко А.В. 106"
,13.40-15.10,
,,пр.з. технические средства на базе автомобилей и тракторов Нестеров Е.С. 33
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,"лек.ТЕХНИЧЕСКИЕ СРЕДСТВА НА БАЗЕ АВТОМОБИЛЕЙ И ТРАКТОРОВ ПРИМЕНЯЕМЫХ В АПК
доц. Нестеров Е.С. 33"
,12.00-13.30,"лаб.з. технические средства на базе автомобилей и тракторов
применяемых в АПК Нестеров Е.С. Демин Е.Е. 33"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
