"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 1 курс",column_1,column_2,column_3,column_4,column_5
"ни
Д",Часы,М-А-ИР-101 02.02.2026,М-А-ИЗР-102 19.01.2026,М-А-ГС-103 26.01.2026,М-СВ-101 02.02.2026
"недельник
По",8.30-10.00,,,,
,10.10-11.40,"лек. АПРОБАЦИЯ РЕЗУЛЬТАТОВ НИС
доц. Ткаченко О.В. 713",,,"пр.з. Частное овощеводство защ. грунта
Лялина Е.В. 509"
,12.00-13.30,"пр.з. Апробация результатов НИС
Ткаченко О.В. 712",,,"лек. ИННОВАЦ. ТЕХНОЛОГИИ В САДОВОДСТВЕ
проф. Еськов И.Д. 434"
,13.40-15.10,"пр.з. Почвоохранное растениеводство
Субботин А.Г. 712","лек. АПРОБАЦИЯ РЕЗУЛЬТАТОВ НИС
доц. Ткаченко О.В. 713",,"пр.з. Инновационные технологии в садоводстве
Еськов И.Д. 434"
,15.20-16.50,лек. ПОЧВООХР. РАСТЕНИЕВОДСТВО доц. Субботин А.Г. 712,"пр.з. Апробация результатов НИС
Ткаченко О.В. 713",,
,,,,,
"ик
Вторн",8.30-10.00,,,,
,10.10-11.40,,,"лек. ЧАСТНАЯ ГЕНЕТИКА И СЕЛЕКЦИЯ
доц. Степанова Н.В. 712",
,12.00-13.30,,,"пр. Частная генетика и селекция
Степанова Н.В. 712","лек. ИСТОРИЯ И МЕТОД. НАУЧНОГО САДОВОДСТВА
проф. Еськов И.Д. 434"
,13.40-15.10,,,,"пр.з. История и методология науч. растениеводства
Еськов И.Д 434"
,15.20-16.50,"лек. ИННОВАЦ. ТЕХН. В БОГАРНЫХ И ОРОШ. АГРОЦЕНОЗАХ
доц. Шьюрова Н.А. 712","лек. УПРАВЛЕНИЕ ПЕРСОНАЛОМ
проф. Глебов И.П. 343",,
,17.00-18.30,"пр. Инновац. технологии в богарных и орош. агроценозах
Шьюрова Н.А. 712","пр. Управление персоналом
Богомолов Д.К. 343",,
Среда,8.30-10.00,"лек. ИННОВАЦИОННЫЕ ТЕХНОЛОГИИ В АГРОНОМИИ
доц. Беляева А.А. 712",,,
,10.10-11.40,"лаб.з. Инновац. технологии в агрономии
Беляева А.А. 712","пр.з. История и метод. науч. агрономии
Солодовников А.П. 603",,лек. ЧАСТНОЕ ОВОЩЕВОДСТВО доц. Лялина Е.В. 509
,,,,,лек. НАУЧ.ОСНОВЫ И ПРОМ. ТЕХ. доц. Лялина Е.В. 509
,12.00-13.30,,"пр.з. Правила и регламент применения пестицидов
Критская Е.Е. , Бузина Н.А. 511",,"пр. Апробация результатов науч. исследований
Еськов И.Д. 511"
,13.40-15.10,,"лек. ИННОВАЦИОННЫЕ ТЕХНОЛОГИИ В АГРОНОМИИ
доц. Шьюрова Н.А. 712","пр. Клеточная селекция
Бурыгин 905","лек. АПРОБАЦИЯ РЕЗУЛЬТАТОВ НАУЧ.ИССЛЕД.
проф. Еськов И.Д. 511"
,15.20-16.50,,"лаб.з. Инновац. технологии в агрономии
Шьюрова Н.А. 712","лек. КЛЕТОЧНАЯ СЕЛЕКЦИЯ
доц. Бурыгин Г.Л. 905",
Четверг,8.30-10.00,,,,
,10.10-11.40,,,,
,12.00-13.30,,"лек. БИОЛ. ЗАЩИТА РАСТЕНИЙ В ОГ И ЗГ
доц. Критская Е.Е. 440","пр.з. Апробация результатов научных исследований
Ткаченко О.В. 708","пр.з. Рациональное использование культивац. сооружений
Суминова Н.Б., Бузина Н.А. 509"
,13.40-15.10,"лек. УПРАВЛЕНИЕ ПЕРСОНАЛОМ
проф. Глебов И.П. 343","лаб.з. Фитосанитарная диагностика агроценозов
Критская Е.Е., Лялина Е.В. 430",лек. АПРОБАЦИЯ РЕУЛЬТАТОВ доц. Ткаченко О.В. 708,"лек. УПРАВЛЕНИЕ ПЕРСОНАЛОМ
проф. Глебов И.П. 343"
,,,,лек. ИНФ. БАЗЫ И ПРОГРАММЫ доц. Бурыгин Г.Л. 708,
,15.20-16.50,"пр. Управление персоналом
Богомолов Д.К. 343",,"пр.з. Инф. базы и программы в селекции и генетике
Бурыгин Г.Л. 708","пр.з. Научные основы и промышленные технологии
Лялина Е.В. 430"
,,,лек. ПРАВИЛА ПРИМЕН. ПЕСТИЦ. доц. Критская Е.Е. 424,,
"ца
Пятни",8.30-10.00,"лек. ИСТОРИЯ И МЕТОДОЛОГИЯ НАУЧ. АГРОН.
проф. Солодовников А.П. 610",,,
,10.10-11.40,"пр.з. История и метод. науч. агрономии
Солодовников А.П. 610",,,
,12.00-13.30,,"лек. ИСТОРИЯ И МЕТОДОЛОГИЯ НАУЧ. АГРОН.
проф. Солодовников А.П. 610",,
,13.40-15.10,,"пр.з.. Биологическая защита в ОГ и ЗК
Критская Е.Е. , Бузина Н.А. 430",,
,,,,лек. ГЕНЕТИКА НА УСТОЙЧИВОСТЬ доц. Степанова Н.В. 905,лек. РАЦИОНАЛЬН. ИСПОЛЬЗ. КС доц. Суминова Н.Б. 424
,15.20-16.50,,"лек. ФИТОСАНИТАРНАЯ ДИАГНОСТИКА АГРОЦНЕНОЗОВ
доц. Критская Е.Е, Лялина Е.В. 430","лаб.з. Генетика на устойчивость к болезням
Степанова Н.В. 905","пр. Управление персоналом
Богомолов Д.К. 343"
Суббота,,,,,
,,,,,
,,,,,
