"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 3 курс",column_1,column_2
Дни,Часы,Б-СТв-301
"к
и
н
ль
неде
По",12.00-13.30,
,13.40-15.10,
,15.20-16.50,лек. ТЕПЛОСНАБЖЕНИЕ доц.Федюнина Т.В. 500
,,лаб. з. теплоснабжение Федюнина Т.В. Поваров А.В. 500 501а
,17.00-18.30,"пр.з. теплоснабжение
Федюнина Т.В. Стоянов К.Ю. 500 501а"
,18.40-20.10,лек. ХОЛОДИЛЬНЫЕ МАШИНЫ доц. Спиридонова Е.В. 500
,,
,20.20-21.50,
"к
и
н
р
Вто",12.00-13.30,
,13.40-15.10,
,15.20-16.50,лек. ВЕНТИЛЯЦИЯ доц. Орлова С.С. 107
,,пр.з. вентиляция Орлова С.С. 07
,17.00-18.30,"лаб.з. вентиляция
Орлова С.С. Медведев Н.В. 107 110"
,18.40-20.10,"лаб.з. холодильные машины
Спиридонова Е.В. Сафин Э.Э. 500 501а"
,20.20-21.50,
"реда
С",12.00-13.30,
,13.40-15.10,
,15.20-16.50,пр.з. теплогенерирующие установки Михеева О.В. 503
,,лек. ТЕПЛОГЕНЕРИРУЮЩИЕ УСТАНОВКИ доц. Михеева О.В. 503
,17.00-18.30,лаб.з. теплогенерирующие установки Михеева О.В. Стоянов К.Ю. 503 501а
,,лек. КОНДИЦИОНИРОВАНИЕ И ХОЛОДОСНАБЖЕНИЕ доц. Спиридонова Е.В. 500
,18.40-20.10,"пр.з. кондиционирование и холодоснабжение
Спиридонова 500"
,20.20-21.50,
"рг
ве
Чет",12.00-13.30,
,13.40-15.10,
,15.20-16.50,лек. ТЕПЛОМАССООБМЕН доц. Панкова Т.А. 500
,,лек. ЭЛЕКТРОСНАБЖЕНИЕ С ОСНОВАМИ ЭЛЕКТРОТЕХНИКИ доц. Бахтеев С.А. 200
,17.00-18.30,пр.з. тепломассообмен Панкова Т.А. 500
,,лаб.з. тепломассообмен Рукавишников А.А. Полещук А.А. 500 501а
,18.40-20.10,"лаб.з. электроснабжение с основами электротехники
Евстафьев Д.П. Чурляева О.Н. 201"
,20.20-21.50,
"ца
и
н
ят
П",12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
,18.40-20.10,
,20.20-21.50,
Суббота,8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
,,
