"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 1 курс",column_1,column_2
Дни,Часы,М-СТ-101
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,
,12.00-13.30,лек. МЕТОДЫ ОРГАНИЗАЦИИ СТРОИТЕЛЬСТВА доц. Поваров А.В.503
,,пр.з. методы организации строительства Поваров А.В. 503
,13.40-15.10,лек. ТЕПЛОВОЙ БАЛАНС В ЗДАНИЯХ И СООРУЖЕНИЯХ доц. Трушин Ю.Е. 503
,,лаб.з. тепловой баланс в зданиях и сооружениях Трушин Ю.Е. Серебряков С.А.503
,15.20-16.50,лаб.з. исследование современных систем вентиляции и кондиционирования воздуха Сафин Э.Э. 107
,,лек.ИССЛЕДОВАНИЕ СОВРЕМЕННЫХ СИСТЕМ ВЕНТИЛЯЦИИ И КОНДИЦИОНИРОВАНИЯ ВОЗДУХА доц. Елисеев С.С. 107
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,,лек.ЭНЕРГОАУДИТ ГРАЖДАНСКИХ И ПРОМЫШЛЕННЫХ ЗДАНИЙ доц. Трушин Ю.Е. 501
,13.40-15.10,лек. ПРОЕКТНОЕ ДЕЛО В СИСТЕМАХ ТЕПЛОГАЗОСНАБЖЕНИЯ И ВЕНТИЛЯЦИИ доц. Елисеев С.С. 107
,,лаб.з. энергоаудит гражданских и промышленных зданий Трушин Ю.Е. 501
,15.20-16.50,лек. ТЕПЛОГЕНЕРИРУЮЩЕЕ ОБОРУДОВАНИЕ ИНЖЕНЕРНЫХ СИСТЕМ доц. Михеева О.В.505
,,лаб.з. теплогенерирующее оборудование инженерных систем Михеева О.В. 505
,17.00-18.30,"пр.з. проектное дело в системах теплогазоснабжения и вентиляции
Стоянов К.Ю. 505"
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,12.00-13.30,"лаб.з. разработка технических проектов с использованием САПР
Рукавишников А.А. 525"
,13.40-15.10,лек.СОВРЕМЕННЫЕ ГАЗОРАСПРЕДЕЛИТЕЛЬНЫЕ СИСТЕМЫ доц.Трушин Ю.Е.505
,,пр.з. энергоаудит гражданских и промышленных зданий Трушин Ю.Е. Сафин 505
,15.20-16.50,лаб.з. современные газораспределительные системы Сафин Э.Э.Стоянов К.Ю.505
,,пр.з. современные газораспределительные системы Сафин Э.Э.Стоянов К.Ю.505
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
,8.30-10.00,
"а
т
о
б
б
у
С",10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,
