"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 4 курс",column_1,column_2
Дни,Часы,Б-ПВ-401 с 09.02.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,"пр.з. общая физическая подготовка
Тарасов В.А. сок"
,10.10-11.40,"пр.з. инженерно-экономическое обоснование проектных решений в области инженерной защиты
Поворов А.В. 525"
,12.00-13.30,"лек. ИНЖЕНЕРНО-ЭКОНОМИЧЕСКОЕ ОБОСНОВАНИЕ ПРОЕКТНЫХ РЕШЕНИЙ В ОБЛАСТИ ИНЖ.ЗАЩИТЫ
доц. Прокопец Р.В. 525"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,лек. ТЕХНОЛОГИИ ОБРАЩЕНИЯ И УТИЛИЗАЦИИ ОТХОДОВ доц. Прокопец Р.В.525
,,
,12.00-13.30,"пр.з. технологии обращения и утилизации отходов
Трушин Ю.Е. 525"
,13.40-15.10,лек.ЭКСПЕРТИЗА ИНЖЕНЕРНЫХ ОБЪЕКТОВ И СООРУЖЕНИЙ доц. Поваров А.В. 500
,,пр.з. экспертиза инженерных объектов и сооружений Поваров А.В. 500
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,"лек. ОРГАНИЗАЦИЯ СТРОИТЕЛЬНЫХ РАБОТ НА ОБЪЕКТАХ ИНЖЕНЕРНОЙ ЗАЩИТЫ
доц. Поваров А.В. 500"
,12.00-13.30,"пр.з. организация строительных работ на объектах инженерной защиты
Поваров А.В. Бабуков И.Х. 500"
,13.40-15.10,"пр.з. экспертиза инженерных объектов и сооружений
Поваров А.В. 500"
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,пр.з. организация строительных работ на объектах инженерной защиты Поваров А.В. Бабуков И.Х. 500
,,лек. ГИДРОУЗЛЫ КОМПЛЕКСНОГО НАЗНАЧЕНИЯ доц. Михеева О.В. 503
,12.00-13.30,"пр.з. гидроузлы комплексного назначения
Михеева О.В. 503"
,13.40-15.10,
,,лаб.з. гидроузлы комплексного назначения Михеева О.В. 503
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,"пр.з. геоинформационное обеспечение проектирования технических систем
Несветаев М.Ю. 532"
,13.40-15.10,"лаб.з. геоинформационное обеспечение проектирования технических систем
Несветаев М.Ю. 532"
,15.20-16.50,
,,лаб.з. геоинформационное обеспечение проектирования технических систем Несветаев М.Ю. 532
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
