"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 1 курс",column_1,column_2
Дни,Часы,Б-ГМ-101 с 26.01.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,пр.з. инженерная физика Рыжова Е.В. 240
,,лек. ИСТОРИЯ РОССИИ доц. Котельников В.А. 202
,10.10-11.40,"пр.з. история России
Ахметов А.А. 308"
,12.00-13.30,"пр.з. инженерная физика
Жиздюк АА. Субботина Е.Д. 253 240"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,"пр.з. общая физическая подготовка
Шишкина Т.Г. сок"
,10.10-11.40,"пр.з. прикладная математика в гидромелиорации
Дьяконова Н.В. 308"
,12.00-13.30,лек.ПРИКЛАДНАЯ МАТЕМАТИКА В ГИДРОМЕЛИОРАЦИИ ст.пр.Дьяконова Н.В.308
,,лек. ИНЖЕНЕРНАЯ ФИЗИКА доц. Жиздюк А.А. 244
,13.40-15.10,"пр.з. иностранный язык
Мизюрова Э.Ю. 510а"
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,лек. ИНЖЕНЕРНАЯ ГЕОДЕЗИЯ доц. Несветаев М.Ю. 525
,,лек. ЛАНДШАФТОВЕДЕНИЕ доц. Несветаев М.Ю. 525
,10.10-11.40,"пр.з. ландшафтоведение
Несветаев М.Ю. 525"
,12.00-13.30,"лаб.з. инженерная геодезия
Несветаев М.Ю. 525"
,13.40-15.10,ЕДИНЫЙ КУРАТОРСКИЙ ЧАС
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,лек. МЕЛИОРАТИВНОЕ ПОЧВОВЕДЕНИЕ доц. Аржанухина Е.В. 525
,,лаб.з.мелиоративное почвоведение Медведев Н.В. 525
,10.10-11.40,"пр.з. общая физическая подготовка
Шишкина Т.Г. сок"
,12.00-13.30,лек. СТРОИТЕЛЬНЫЕ МАТЕРИАЛЫ И РАБОТЫ доц. Орлова С.С. 501а
,,лаб.з.строительные материалы и работы Орлова С.С. 13
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,,лаб.з. информатика Рубцова С.Н. 533
,10.10-11.40,пр.з. иностранный язык Мизюрова Э.Ю. 510а
,,лек. ИНФОРМАТИКА доц. Рубцова С.Н. 533
,12.00-13.30,лек. ГЕОЛОГИЯ И ОСНОВЫ ГИДРОГЕОЛОГИИ доц. Демакина И.И. 107
,,лаб.з. пр.з. геология и основы гидрогеологии Демакина И.И. Медведев Н.В. 107
,13.40-15.10,"лаб.з. информатика
Рубцова С.Н. Жданов Д.А 533"
,15.20-16.50,
,17.00-18.30,
,8.30-10.00,
"а
т
о
б
б
у
С",10.10-11.40,
,12.00-13.30,
,13.40-15.10,
