"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт ветеринарной медицины и фармации 1 курс Занятия с 16.02.26 г.",column_1,column_2,column_3,column_4,column_5,column_6
Дни,Часы,ВТ --101,ВТ-102,ВТ-103,ВТ-104,ВТ-105
"к
и
н
ь
л
де
не
о
П",8.30-10.00,"лаб.з Анатомия
доц.Лукьяненко А.В., доц.Копчекчи М.Е.",,"лаб.з.Цитол.,гистол.,эмбриология С-123
1п/г асс.Дмитриев Н.О.",,
,10.10-11.40,"лаб.з Анатомия
доц.Лукьяненко А.В., доц.Копчекчи М.Е.",,"пр.з Иностранный язык лаб.ин.яз.
ст.пр.Антошина Е.С., ст.пр.Афанасьева Е.Г.","пр.з Иностранный язык лаб.ин.яз.
доц.Солотова Н.В.., ст.пр. Дидусенко Е.Н.","пр.з Иностранный язык лаб.ин.яз.
ст.пр. Бобылева Г.А."
,12.00-13.30,лек. И С Т О Р И Я Р О С С И И доцент Поздникин А.А. ауд.Большая,,,,
,,лек. О Р Г А Н И Ч Е С К А Я И Ф И З. К О Л Л О И Д Н А Я Х И М И Я профессор Древко Б.И. ауд.Большая,,,,
,13.40-15.10,"пр.з.Экология С-265
доц. Харитонова М.В.","лаб.з.Цитол.,гистол.,эмбриология С-123
проф.Зирук И.В., асс.Дмитриев Н.О.","пр.з. История России С-413
доц. Поздникин А.А.",лаб.з Анатомия 1п/г доц.Лукъяненко А.В.,лаб.з.Орг.и физ.колл.химия 1п/г 509 Козлов Е.С.
,,,,,лаб.з Анатомия 2п/г доц.Лукъяненко А.В.,лаб.з.Орг.и физ.колл.химия 2п/г 509 Козлов Е.С.
,15.20-16.50,,"лаб.з Анатомия
доц.Лукьяненко А.В., доц.Копчекчи М.Е.","лаб.з.Цитол.,гистол.,эмбриология С-123
2п/г асс.Дмитриев Н.О.",,лаб.з.Орг.и физ.колл.химия 1п/г 509 Козлов Е.С.
,,,,,,лаб.з.Орг.и физ.колл.химия 2п/г 509 Козлов Е.С.
,17.00-18.30,,"лаб.з Анатомия
доц.Лукьяненко А.В., доц.Копчекчи М.Е.",,,
"к
и
н
р
о
т
В",8.30-10.00,"лаб.з.Цитол.,гистол.,эмбриология С-123
проф.Зирук И.В., асс.Дмитриев Н.О.",* * *,лаб.з Анатомия 1п/г доц.Лукъяненко А.В.,"лаб.з.Орг.и физ.колл.химия 509,510",* * *
,,,"лаб.з. Анатомия доц.Копчекчи М.Е.,доц.Лукъяненко А.В.",пр.з Иностранный язык лаб.ин.яз.,пр.з Иностранный язык лаб.ин.яз.,пр.з Иностранный язык лаб.ин.яз.
,10.10-11.40,пр.з Иностранный язык лаб.ин.яз.,пр.з Иностранный язык лаб.ин.яз.,"лаб.з Анатомия 1п/г доц.Лукъяненко А.В.
лаб.з.Цитол.,гистол.,эмбр. С-123 2п/г асс.Дмитриев Н.О.","пр.з. История России С-413
доц. Поздникин А.А.","пр.з.Экология С-265
доц. Харитонова М.В."
,,пр.з. История вет.мед . лаб.Пат.анат.асс.Лекомцева К.Ф.,"лаб.з.Орг.и физ.колл.химия 509,510",,,
,12.00-13.30,"пр.з. Общ.физ.подготовка каф.ФиС
проф.Милехин А.В.","пр.з. Общ.физ.подготовка каф.ФиС
ст.пр.Правкина Я.Ю.","пр.з. Общ.физ.подготовка каф.ФиС
доц.Скосырева Е.Н.","пр.з. Общ.физ.подготовка каф.ФиС
ст.пр. Огаренков","пр.з. Общ.физ.подготовка каф.ФиС
асс. Кошелев А.С."
,13.40-15.10,"лаб.з. Анатомия доц.Копчекчи М.Е.,доц.Лукъяненко А.В.","лаб.з.Цитол.,гистол.,эмбриология С-123
проф.Зирук И.В., асс.Дмитриев Н.О.","лаб.з Анатомия 2п/г
доц. Ульянов Р.В.",* * *,пр.з. История вет.мед . лаб.Пат.анат.асс.Лекомцева К.Ф.
,,* * *,,,пр.з. История вет.мед . лаб.Пат.анат.асс.Лекомцева К.Ф.,лаб.з Анатомия 1п/г доц.Лукъяненко А.В.
,15.20-16.50,,,лаб.з Анатомия 2п/г,,лаб.з Анатомия 2п/г доц.Лукъяненко А.В.
,,,,* * *,,* * *
,17.00-18.30,,,,,
"а
д
ре
С",8.30-10.00,,"лаб.з.Орг.и физ.колл.химия 509,510 Древко Б.И.,Древко Я.Б.",,,"лаб.з Анатомия 1п/г доц.Лукъяненко А.В.
лаб.з.Цитол.,гистол.,эмбр. С-123 2п/г асс.Дмитриев Н.О."
,,,* * *,,,
,10.10-11.40,,"лаб.з.Орг.и физ.колл.химия 509,510 Древко Б.И.,Древко Я.Б.",пр.з. История вет.мед . лаб.Пат.анат.асс.Лекомцева К.Ф.,"пр.з.Экология С-265
доц. Харитонова М.В.","лаб.з Анатомия 1п/г доц.Лукъяненко А.В.
лаб.з.Цитол.,гистол.,эмбр. С-123 2п/г асс.Дмитриев Н.О."
,,,пр.з. История вет.мед . лаб.Пат.анат.асс.Лекомцева К.Ф.,лаб.з.Орг.и физ.колл.химия 1п/г 509 Абрамова Е.Г.,,
,12.00-13.30,лек. А Н А Т О М И Я Ж И В О Т Н Ы Х доцент Лукъяненко А.А. ауд. Большая,,,,
,,"лек. Ц И Т О Л О Г И Я, Г И С Т О Л О Г И Я , Э М Б Р И О Л О Г И Я профессор Зирук И.В. ауд.Большая",,,,
,13.40-15.10,Кураторский час,Кураторский час,Кураторский час,Кураторский час,Кураторский час
,15.20-16.50,,,,,
,17.00-18.30,,,,,
"рг
ве
т
Че",8.30-10.00,"пр.з. Общая физическая подготовка каф.ФиС проф.Милехин А.В., ст.пр.Правкина Я.Ю., доц.Скосырева Е.Н., ст.пр. Огаренкова, сс. Кошелев А.С.",,,,
,,* * *,* * *,"лаб.з.Цитол.,гистол.,эмбриол.2п/г С-123",* * *,* * *
,10.10-11.40,"пр.з Иностранный язык лаб.ин.яз.
доц.Иванова Л.М., ст.пр.Афанасьева Е.Г.","пр.з Иностранный язык лаб.ин.яз.
ст.пр.Бобылева Г.А., ст.пр.Дидусенко Е.Н.","лаб.з Анатомия
доц.Лукьяненко А.В., доц.Ульяненко Р.В.","лаб.з.Цитол.,гистол.,эмбр. С-123 1п/г асс.Дмитриев Н.О.
лаб.з.Орг.и физ.колл.химия 2п/г 509 асс.Козлов Е.С.","пр.з. История России С-413
доц. Поздникин А.А."
,12.00-13.30,"пр.з. История России С-413
доц. Поздникин А.А.","пр.з.Экология С-265
доц. Харитонова М.В.",лаб.з.Орг.и физ.колл.химия 1п/г 538 Козлов Е.С.,"лаб.з Анатомия 1п/г доц.Лукъяненко А.В.
лаб.з.Цитол.,гистол.,эмбр. С-123 2п/г асс.Дмитриев Н.О.",
,,,,лаб.з.Орг.и физ.колл.химия 2п/г 538 Козлов Е.С.,,
,13.40-15.10,"лаб.з.Цитол.,гистол.,эмбриология С-123
проф.Зирук И.В., асс.Дмитриев Н.О.",,лаб.з.Орг.и физ.колл.химия 1п/г 516 Козлов Е.С.,лаб.з Анатомия 2п/г доц.Лукъяненко А.В.,
,,,,лаб.з.Орг.и физ.колл.химия 2п/г 516 Козлов Е.С.,,
,15.20-16.50,* * *,,,,
,,лаб.з.Орг.и физ.колл.химия 2п/г 509 Козлов Е.С.,,,,
,17.00-18.30,,,,,
"а
ц
и
н
т
я
П",8.30-10.00,* * *,,,"лаб.з.Цитол.,гистол.,эмбр. С-123 1п/г асс.Дмитриев Н.О.
лаб.з Анатомия 2п/г доц.Лукъяненко А.В.",
,,лаб.з.Орг.и физ.колл.химия 1п/г 509,,,,
,10.10-11.40,"лаб.з.Орг.и физ.колл.химия 1п/г 509
асс.Козлов Е.С.","пр.з. История России С-413
доц. Поздникин А.А.",,"лаб.з.Цитол.,гистол.,эмбр. С-123 2п/г асс.Дмитриев Н.О.
лаб.з Анатомия 1п/г доц.Лукъяненко А.В.",
,12.00-13.30,лек. И С Т О Р И Я В Е Т Е Р И Н А Р Н О Й М Е Д И Ц И Н Ы доцент Ульянов Р.В ауд.Большая,,,,
,,лек. Э К О Л О Г И Я доцент Харитонова М.В. ауд.Большая,,,,
,13.40-15.10,"лаб.з.Орг.и физ.колл.химия 2п/г 510
асс.Козлов Е.С.",,"пр.з.Экология С-265
доц. Харитонова М.В.","лаб.з.Орг.и физ.колл.химия 1п/г 509
проф.Древко Б.И.","лаб.з.Цитол.,гистол.,эмбр. С-123 1п/г асс.Дмитриев Н.О.
лаб.з Анатомия 2п/г доц.Лукъяненко А.В."
,15.20-16.50,,,лаб.з.Орг.и физ.колл.химия 2п/г 509 Козлов Е.С.,,"лаб.з.Цитол.,гистол.,эмбр. С-123 2п/г асс.Дмитриев Н.О.
лаб.з Анатомия 1п/г доц.Лукъяненко А.В."
,,,,лаб.з.Орг.и физ.колл.химия 1п/г 509 Козлов Е.С.,,
,17.00-18.30,,,"лаб.з.Цитол.,гистол.,эмбриол.2п/г С-123 Дмитриев",,лаб.з.Орг.и физ.колл.химия 2п/г 509 Козлов Е.С.
,,,,* * *,,лаб.з.Орг.и физ.колл.химия 1п/г 509 Козлов Е.С.
"а
т
о
б
б
у
С",8.30-10.00,,,,,
,10.10-11.40,,,,,
,12.00-13.30,,,,,
,,,,,,
