"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт ветеринарной медицины и фармации 2 курс Занятия с 02.02 26 г.",column_1,column_2,column_3,column_4,column_5,column_6
Дни,Часы,ВТ 201,ВТ 202,ВТ 203,ВТ 204,ВТ 205
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,,"лаб.з.Разведение 406,435
асс.Стрильчук А.А., асс. Васильев А.А.",,,"лаб.з.Биохимия 1п/г 516 проф.Никифоров А.К.
лаб.з.Вет.микробиология 2 п/г 310 доц.Иващенко С.В."
,10.10-11.40,лек. Ф И З И О Л О Г И Я И Э Т О Л О Г И Я Ж И В О Т Н Ы Х профессор Пудовкин Н.А. ауд.Большая,,,,
,,лек . О С Н О В Ы Н А У Ч Н Ы Х И С С Л Е Д О В А Н И Й доцент Падило Л.П. ауд.Большая,,,,
,12.00-13.30,лаб.з.Биохимия 526 доц.Смутнев П.В.,"пр.з.Вет.генетика 406
асс.Стрильчук А.А.","лаб.з Физиология и этология животных
С-268,С-273 доц. Клюкин С.Д., доц.Савина С.В.","лаб.з.Кормление 1п/г 435 Сивохина
лаб.з. Гигиена 2п/г 439 Кузнецов",пр.з.Управление проектами 214 проф.Панфилов А.В.
,,,,,,пр.з.Социология 214 доц.Булгаков С.В.
,13.40-15.10,лаб.з.Вет.микробиология 310 доц.Смутнев П.В.,"лаб.з Физиология и этология животных
С-268,С-273 доц. Клюкин С.Д., доц.Савина С.В.","лаб.з.Кормление 1п/г 435 Сивохина
лаб.з. Гигиена 2п/г 439 Кузнецов",пр.з.Управление проектами 214 проф.Панфилов А.В.,
,,,,,пр.з.Социология 214 доц.Булгаков С.В.,
,15.20-16.50,,,пр.з.Управление проектами 214 проф.Панфилов А.В.,,
,,,,пр.з.Социология 214 доц.Булгаков С.В.,,
,17.00-18.30,,,,,
"к
и
н
р
о
т
В",8.30-10.00,,,"пр.з. Вет.генетика 406
асс.Стрильчук А.А.",,"лаб.з.Кормление 1п/г 410 Сивохина
лаб.з. Гигиена 2п/г 439 Кузнецов"
,10.10-11.40,"пр.з Общая физ.подготовка
каф.ФиС проф.Милехин А.В.","пр.з Общая физ.подготовка
каф.ФиС ст.пр.Суркова Т.Н.","пр.з Общая физ.подготовка
каф.ФиС доц.Скосырева Е.Н.","пр.з Общая физ.подготовка
каф.ФиС доц.Лаврухин","пр.з Общая физ.подготовка
каф.ФиС асс. Кошелев"
,12.00-13.30,лек. Б И О Л О Г И Ч Е С К А Я Х И М И Я профессор Козлов С.В. ауд. Большая,,,,
,,лек. В Е Т Е Р И Н А Р Н А Я М И К Р О Б И О Л О Г И Я доцент Иващенко С.В. ауд.Большая,,,,
,13.40-15.10,лаб.з.Кормление 435 доц. Сивохина Л.А.,"лаб.з.Биохимия 1п/г 530 проф.Никифоров А.К.
лаб.з.Вет.микробиология 2 п/г 310 доц.Иващенко С.В.",пр.з.Осн.научных исслед С-251 доц. Падило Л.П.,"пр.з. Вет.генетика 406
доц.Преображенская Т.С..","лаб.з Физиология и этология животных
С-268,С-273 доц. Клюкин С.Д., доц.Савина С.В."
,,,,* * *,,
,15.20-16.50,"лаб.з Физиология и этология животных
С-268 доц.Савина С.В.","лаб.з.Биохимия 2п/г 530 доц.Смутнев П.В.
лаб.з.Вет.микробиология 1 п/г 310 доц.Иващенко С.В.",,пр.з.Осн.научных исслед С-251 доц. Падило Л.П.,лаб.з. Биохимия 2п/г 509 проф.Никифоров А.К.
,,,,,* * *,
,17.00-18.30,,,,,
"а
д
е
р
С",8.30-10.00,,* * *,лаб.з. Биохимия 1п/г 516 проф.Никифоров А.К.,,пр.з.Осн.научных исслед С-251 доц. Падило Л.П.
,,,лаб.з. Биохимия 1п/г 516 проф.Никифоров А.К.,* * *,,* * *
,10.10-11.40,пр.з.Осн.н-х исслед С-251 доц. Падило Л.П.,* * *,"лаб.з. Биохимия 1п/г 516 проф.Никифоров А.К.
лб.з.Вет.микробиология 2 п/г 310 доц.Иващенко С.В.","лаб.з.Кормление 1п/г 435 Сивохина
лаб.з. Гигиена 2п/г 439 Кузнецов","пр.з. Вет.генетика 406
асс.Стрильчук А.А."
,,* * *,пр.з.Осн.н-х исслед С-251 доц. Падило Л.П.,,,
,12.00-13.30,лек. К О Р М Л Е Н И Е С/Х Ж И В О Т Н Ы Х С О С Н О В А М И К О Р М О П Р О И З В О Д С Т В А доцент Кузнецов М.Ю. ауд.7,,,,
,,лек. Г И Г И Е Н А Ж И В О Т Н Ы Х доцент Кузнецов М.Ю. ауд. 7,,,,
,13.40-15.10,"пр.з. Вет.генетика 304
доц.Преображенская Т.С.","лаб.з Физиология и этология животных
С-268,С-273 доц. Клюкин С.Д., доц.Савина С.В.","лаб.з. Биохимия 2п/г 516 проф.Никифоров А.К.
лаб.з.Вет.микробиология 1 п/г 310 доц.Иващенко С.В.","лаб.з. Разведение 406,410
асс.Стрильчук А.А.,асс.Васильев А.В.","лаб.з.Кормление 2п/г 435 Сивохина
лаб.з. Гигиена 1п/г 439 Кузнецов"
,15.20-16.50,,,лаб.з. Биохимия 2п/г 516 проф.Никифоров А.К.,"лаб.з Физиология и этология животных
С-268,С-273 доц. Клюкин С.Д., доц. Ульянов Р.В.",* * *
,,,,* * *,,лаб.з. Биохимия 2п/г 516 проф.Никифоров А.К.
,17.00-18.30,,,,,
"г
р
е
в
т
е
Ч",8.30-10.00,,* * *,"лаб.з.Кормление 2п/г 410 Сивохина
лаб.з. Гигиена 1п/г 439 Кузнецов",,
