"Расписание занятий Расписание занятий
на 2 сем е стр 2021-2022 учебного года на 2 семестр 2025-26 уч. года
факультета ветеринарной медицины,пищевы х и б и о т е х н о л о г и й 3 к у р с а В Т В е т е рииннсатриитуят в е т е р и н а р н о й м е д и Зцаинняыт иия ф са 0р7м.0а2ц.и22и 3 курс Занятия с 02.02.26 г.",column_1,column_2,column_3,column_4,column_5
Дни,Часы,ВТ-301,ВТ-302,ВТ-303,ВТ-304
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,"лаб.з Клин.диагностика лаб.терапии
доц.Анникова Л.А.,асс.Манаенкова Ю.В.",* * *,"лаб.з.Операт.хирургия Х-31, Х-35 доц.Краснова, асс.Благова Ю.В.",пр.з. Организация и управление 214 доц.Руднев М.Ю.
,,,"лаб.з.Пат.физиология С-261,С-262 доц.Савина С.В.,асс.Щербакова В.С.",пр.з. Организация и управление 418 доц.Руднев М.Ю.,* * *
,10.10-11.40,"лаб.з Клин.диагностика лаб.терапии
доц.Анникова Л.А.,асс.Манаенкова Ю.В.","лаб.з.Пат.физиология С-261,С-262
доц.Савина С.В.,асс.Щербакова В.С.","лаб.з. Операт.хирургия Х- 31, Х-35
доц.Краснова Е.С., асс.Благова Ю.В.","лаб.з. Пат.анатомия 1п/г проф.Салаутин В.В.
лаб.з. Вет.фармакология 2п/г С-252 доц.Миариничева М.П."
,12.00-13.30,лек. О П Е Р А Т И В Н А Я Х И Р У Р Г И Я доцент Артемьев Д.А. ауд.7,,,
,,Лек. П А Т. А Н А Т О М И Я профессор Салаутин В.В. ауд. Пат.анатомия,,,
,13.40-15.10,"пр.з Общая физ.подготовка каф.ФиС
ст.пр.Суркова Т.Н.","пр.з Общая физ.подготовка каф.ФиС
доц.Скосырева Е.Г.","пр.з Общая физ.подготовка каф.ФиС
доц.Правкина Я.Ю.","пр.з Общая физ.подготовка каф.ФиС
асс.Огаренков М.Д."
,15.20-16.50,,,,
,17.00-18.30,,,,
"к
и
н
р
о
т
В",8.30-10.00,"лаб.з. Пат.анатомия проф.Салаутн В.В.,доц.Терентьев А.А.","лаб.з Клин.диагностика лаб.терапии
доц.Анникова Л.А.,асс.Манаенкова Ю.В.",* * *,"лаб.з. Клини.микробиология 1п/г 231
доц.Хапцев З.Ю."
,,"лаб.з.Пат.физиология С-261,С-262 доц.Савина С.В.,асс.Щербакова В.С.",,лаб.з. Пат.анатомия 1п/г / Вет.фармакология 2п/г С-252,
,10.10-11.40,"лаб.з.Пат.физиология С-261,С-262
доц.Савина С.В.,асс.Щербакова В.С.","лаб.з Клин.диагностика лаб.терапии
доц.Анникова Л.А.,асс.Манаенкова Ю.В.","лаб.з. Пат.анатомия 1п/г проф.Салаутин В.В.
лаб.з.Вет.фармакология 2п/г доц.Мариничева М.П.","пр.з. Лекарственные и яд.растения С-256
асс.Семиволос С.А."
,12.00-13.30,лек. А К У Ш Е Р С Т В О И Г И Н Е К О Л О ГИ Я профессор Семиволос А.М. ауд.7,,,
,13.40-15.10,,"лаб.з. Клини.микробиология 2п/г 231
доц.Хапцев З.Ю.","лаб.з.Акушерство
доц.Егунова А.В.,доц.асс.Манаенкова Ю.В.","лаб.з. Операт.хирургия Х- 31, Х-35
доц.Артемьев Д.В., доц.Краснова Е.С."
,15.20-16.50,,,"лаб.з.Акушерство доц.Егунова А.В.,асс.Манаенкова Ю.В.","лаб.з. Клини.микробиология 2п/г 231
доц.Хапцев З.Ю."
,,,,* * *,
,17.00-18.30,,,,
"а
д
е
р
С",8.30-10.00,,,"лаб.з. Клини.микробиология 1п/г 231
доц.Хапцев З.Ю.","лаб.з. Пат.анатомия 2п/г проф.Салаутин В.В.
лаб.з.Вет.фармакология 1п/г доц.Мариничева М.П."
,10.10-11.4л0,* * *,* * *,"лаб.з Клин.диагностика лаб.терапии
доц.Анникова Л.А.,асс.Манаенкова Ю.В. л",лаб.з. Пат.анатомия 2п/г / Вет.фармакология 1п/г С-252
,,"аб.з.Вет.фармакология С-252, С-256 доц.Строгов В.В.,доц.Мариничева М.","П.лаб.з. Пат.анатомия проф.Салаутн В.В. ,асс.Афанасьев А.С.",,"аб.з.Пат.физиология С-261,С-262 доц.Савина С.В.,асс.Щербакова В."
,12.00-13.30,"лаб.з.Вет.фармакология С-252, С-256
доц.Строгов В.В.,доц.Мариничева М.П.","лаб.з. Пат.анатомия
проф.Салаутин В.В., асс.Афанасьев А.С.","лаб.з Клин.диагностика лаб.терапии
доц.Анникова Л.А.,асс.Манаенкова Ю.В.","лаб.з.Пат.физиология С-261,С-262
доц.Савина С.В.,асс.Щербакова В.С."
,13.40-15.10,"пр.з Общая физ.подготовка каф.ФиС
ст.пр.Суркова Т.Н.","пр.з Общая физ.подготовка каф.ФиС
доц.Скосырева Е.Г.","пр.з Общая физ.подготовка каф.ФиС
доц.Правкина Я.Ю.","пр.з Общая физ.подготовка каф.ФиС
асс.Огаренков М.Д."
,15.20-16.50,"лаб.з.Акушерство
доц.Егунова А.В., асс.Манаенкова Ю.В.","лаб.з. Операт.хирургия Х- 31, Х-35
доц.Артемьев Д.В., доц.Краснова Е.С.","лаб.з. Клини.микробиология 2п/г 231
доц.Хапцев З.Ю.",
,17.00-18.30,"лаб.з.Акушерство доц.Егунова А.В., асс.Манаенкова Ю.В.","лаб.з.Операт.хирургия Х-31, Х-35 доц.Артемьев, доц.Краснова",,* * *
,,* * *,* * *,,
"г
р
е
в
т
е
Ч",8.30-10.00,"пр.з. Лекарственные и яд.растения С-251
асс.Семиволос С.А. лаб.з.В",* * *,* * *,"лаб.з Клин.диагностика лаб.терапии
В.С. доц.Анникова Л.А.,асс.Белякова А.С."
,,,"ет.фармакология С-252, С-256 доц.Строгов В.В.,доц.Маринилчаебв",".аз .МПа.Пт..физиология С-261,С-262 доц.Савина С.В.,асс.Щербакова",
,10.10-11.40,"лаб.з. Пат.анатомия
проф.Салаутин В.В.,доц. Терентьев А.А.","лаб.з.Вет.фармакология С-252, С-256
доц.Строгов В.В.,доц.Мариничева М.П.","лаб.з.Пат.физиология С-261,С-262
доц.Савина С.В.,асс.Щербакова В.С.","лаб.з Клин.диагностика лаб.терапии
доц.Анникова Л.А.,асс.Белякова А.С."
,12.00-13.30,лек. К Л И Н И Ч Е С К А Я Д И А Г Н О С Т И К А доцент Анникова Л.В. ауд. 7,,,
,,лек. В Е Т Е Р И Н А Р Н А Я Ф А Р М А К О Л О Г И Я доцент Строгов В.В. ауд.7,,,
,13.40-15.10,"лаб.з. Клини.микробиология 1п/г 231
доц.Хапцев З.Ю.","лаб.з.Акушерство
проф.Семиволос А.М, асс.Манаенкова Ю.В.","пр.з. Лекарственные и яд.растения С-256
асс.Семиволос С.А.",
,15.20-16.50,,"лаб.з.Акушерство проф.Семиволос А.М, асс.Манаенкова Ю.В.",,
,,,* * *,,
,17.00-18.30,,,,
"а
ц
и
н
т
я
П",8.30-10.00,пр.з. Организация и управление 418 доц.Руднев М.Ю.,,лаб.з.Вет.фармакология 1п/г С-252 доц.Мариничева М.П.,"лаб.з. Операт.хирургия Х-31, Х-35 доц. Артемьев, доц.Краснова"
,,"лаб.з. Операт.хирургия Х-31, Х-35 доц. Артемьев, доц.Краснова",,лаб.з.Пат.анатомия 2п/г проф.Салаутин В.В.,"лаб.з.Акушерство проф.Семиовлс А.М, асс.Манаенкова Ю.В."
,10.10-11.40,"лаб.з. Операт.хирургия Х- 31, Х-35
доц.Артемьев Д.В., доц.Краснова Е.С.",пр.з. Организация и управление 435 доц.Руднев М.Ю.,"лаб.з.Вет.фармакология 1п/г С-252 доц.Мариничева М.П.
лаб.з.Пат.анатомия 2п/г проф.Салаутин В.В.","лаб.з.Акушерство
проф.Семиволос А.М, асс.Манаенкова Ю.В."
,,,* * *,,
,12.00-13.30,дек. О Р Г А Н И З А Ц И Я И У П Р А В Л Е Н И Е Н А Ж И В- И Х О Б Ъ Е К Т А Х доцент Руднев М.Ю. ауд. Малая,,,
,,лек. П А Т О Ф И З И О Л О Г И Я Ж И В О Т Н Ы Х доцент Савина С.В. ауд. Малая,,,
,13.40-15.10,"лаб.з. Клини.микробиология 2п/г 231
доц.Хапцев З.Ю.","пр.з. Лекарственные и яд.растения С-256
асс.Семиволос С.А.",,лаб.з.Пат.анатомия 1п/г проф.Салаутин В.В.
,,,,,лаб.з.Вет.фармакология 2п/г С-252 доц.Мариничева М.П.
,15.20-16.50,,"лаб.з. Клини.микробиология 2п/г 231
доц.Хапцев З.Ю.",,
,17.00-18.30,,,,
"а
т
о
б
б
у
С",8.30-10.00,,,,
,10.10-11.40,,,,
,12.00-13.30,,,,
,,,,,
