"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 4 курс
Занятия с 02.02.26 г.",column_1,column_2,column_3,column_4,column_5,column_6
Дни,Часы,ВТ-401,ВТ-402,ВТ-403,ВТ-404,ВТ-405
"к
и
н
ь
л
де
не
о
П",8.30-10.00,,"лаб.з. Эпизоотология лаб.эпизоот.
проф.Агольцов В.А.,доц.Зайцев С.С.",,,
,10.10-11.40,лек. В Е Т Е Р И Н А Р Н А Я И М М У Н О Л О Г И Я профессор Козлов С.В. ауд.7,,,,
,,"лек. П А Р А З И Т О Л О Г И Я профессор Ларионов С.В., доцент Коротова Д.М. ауд. 7",,,,
,12.00-13.30,"лаб.з.Внутр.незар.болезни/ лаб.Терапии/
проф.Калюжный И.И., асс.Денисова Н.И.","лаб.з. Ветеринарная иммунология 231, 308
доц. Зайцев С.С.,доц.Хапцев З.Ю.","лаб.з. В.С.Э. С-248,С-249
доц.Салаутина С.Е.,Ремизова","пр.з.ОВД /лаб.эпиоот./
доц.Падило Л.П.","лаб.з.Общая и частн.хирург/лаб.хирург./
доц.Егунова А.В."
,13.40-15.10,"лаб.з.Общая и частн.хирург/лаб.хирург./
доц.Егунова А.В.,доц.Краснова Е.С.",пр.з.ОВД /лаб.эпизоот./ доц. Падило Л.П.,"лаб.з.Патанатомия /лаб.пат.анат/
проф.Салаутин В.В., доц.Терентьев А.А.","лаб.з. Ветеринарная иммунология 231, 313
доц. Спиряхина Т.В.,доц.Хапцев З.Ю.","пр.з.ОВД /лаб.эпизоот./
доц.Зайцев С.С."
,,,"лб.з.В.С.Э. С-248, С-249 доц.Салаутина,доц.Ступина",,,
,15.20-16.50,* * *,,"лаб.з. Ветеринарная иммунология 231, 310
доц. Зайцев С.С.,доц.Хапцев З.Ю.","лаб.з. В.С.Э. С-248, С-249 доц.Салаутина, доц. Ступина",пр.з.Проф.этика ветврача /лаб.патанат/ асс.Афанасьев А.С.
,,"лаб.з. В.С.Э. С-248, С-249 доц.Салаутина, доц. Ступина",,,* * *,* * *
,17.00-18.30,,,,,
"к
и
н
р
о
т
В",8.30-10.00,* * *,"лаб.з. Паразитология / лаб.параз. /
проф.Ларионов С.В., доц.Коротова Д.М.",,,"лаб.з. Эпизоотология лаб.эпизоот.
доц.Зайцев С.С."
,,"пр.з.Основы военной подготовки УК№2,438",,,,
,10.10-11.40,"пр.з.Основы военной подготовки УК№2,438
ст.пр. Билыч А.С.",п е р е е з д,"лаб.з.Общая и частн.хирург/лаб.хирург./
доц.Егунова А.В.,доц.Краснова Е.С.","лаб.з. В.С.Э. С-248,С-249
доц.Салаутина С.Е.,доц.Ступина Л.В.","лаб.з. Ветеринарная иммунология 231
доц. Спиряхина Т.В."
,12.00-13.30,п е р е е з д,"пр.з.Основы военной подготовки УК№2,438
доц.Хизов А.В.","лаб.з. Паразитология / лаб.параз. /
проф.Ларионов С.В., асс.Ремизова С.Е.","лаб.з.Общая и частн.хирург/лаб.хирург./
доц.Егунова А.В.,доц.Краснова Е.С.","лаб.з. В.С.Э. С-248
доц. Ступина Л.В."
,13.40-15.10,"лаб.з. Паразитология / лаб.параз. /
доц.Филатова А.В.,асс.Ремизова С.Е.","пр.з.Основы военной подготовки УК№2,438","пр.з.ОВД /лаб.эпиоот./
доц.Запйцев С.С.",п е р е е з д,"лаб.з.Патанатомия /лаб.пат.анат/
проф.Салаутин В.В."
,,,* * *,,,
,15.20-16.50,"лаб.з. Эпизоотология 1 п/г лаб.эпизоот.
доц.Зайцев С.С.",,,"пр.з.Основы военной подготовки УК№2,438
доц.Хизов А.В.",
,17.00-18.30,,,,* * *,
,,,,,"пр.з.Основы военной подготовки УК№2,438",
"а
д
ре
С",8.30-10.00,лек. Э П И З О О Т О Л О Г И Я профессор Агольцов В.А. ауд.7,,,,
,,лек. О Р Г А Н И З А Ц И Я В Е Т Е Р И Н А Р Н О Г О Д Е Л А / О.В.Д. / профессор Агольцов В.А ауд.7,,,,
,10.10-11.40,лек. П Р О Ф Е С С И О Н А Л Ь Н А Я Э Т И К А В Е Т Е Р И Н А Р Н О Г О В Р А Ч А доцент Ульянов Р.В. ауд. 7,,,,
,,п е р е е з д,п е р е е з д,п е р е е з д,п е р е е з д,п е р е е з д
,12.00-13.30,п е р е е з д,п е р е е з д,п е р е е з д,п е р е е з д,п е р е е з д
,,"лек. О С Н О В Ы В О Е Н Н О Й П О Д Г О Т О В К И доц.Палади А.А. УК№2, 202",,,,
,13.40-15.10,,,"пр.з.Основы военной подготовки УК№2,438
доц.Хизов А.В.",,
,15.20-16.50,,,"пр.з.Основы военной подготовки УК№2,438",,
,,,,* * *,,
,17.00-18.30,,,,,
"г
р
ве
т
Че",8.30-10.00,пр.з.ОВД /лаб.эпизоот./ доц. Зайцев С.С.,пр.з.ОВД /лаб.эпизоот./ доц. Падило Л.П.,"лб.з.Паразитология проф.Ларионов С.В., асс.Ремизова С.Е.",* * *,
,,пр.з.Проф.этика ветврача /лаб.патанат/ доц.Ульянов Р.В.,"лаб.з.Паразитология, проф.Ларионов С.В. доц.Коротова Д.М.",* * *,пр.з.ОВД /лаб.эпизоот./ доц. Падило Л.П.,
,10.10-11.40,лек. О Б Щ А Я И Ч А С Т Н А Я Х И Р У Р Г И Я доцент Егунова А.В. ауд. 7,,,,
,,"лаб.з.Паразитология доц.Филатова А.В.,асс.Ремизова С.Е.",пр.з.ОВД /лаб.эпизоот./ доц. Падило Л.П.,пр.з.ОВД /лаб.эпизоот./ доц. Зайцев С.С.,пр.з.Проф.этика ветврача /лаб.патанат/ асс.Афанасьев,* * *
,12.00-13.30,"лаб.з. В.С.Э. С-248, С-249
доц.Ступина Л.В., доц.Салаутина С.Е.","лаб.з.Общая и частн.хирург/лаб.хирург./
доц.Егунова А.В.,доц.Краснова Е.С.","лаб.з. Эпизоотология лаб.эпизоот.
доц.Зайцев С.С., асс.Гусев А.А.","лаб.з.Внутр.незар.болезни/ лаб.Терапии/
проф.Калюжный И.И., асс.Денисова Н.И.","лаб.з. Паразитология / лаб.параз. /
доц.Филатова А.В."
,13.40-15.10,"лаб.з. Эпизоотология 2 п/г лаб.эпизоот.
доц.Зайцев С.С.","лаб.з. В.С.Э. С-248, С-249
доц.Ступина Л.В., доц.Салаутина С.Е.","лаб.з.Внутр.незар.болезни/ лаб.Терапии/
проф.Калюжный И.И. , асс.Денисова Н.И.","лаб.з. Паразитология / лаб.параз. /
доц.Коротова Д.М., доц.Филатова А.В.",п е р е е з д
,15.20-16.50,,,,,"пр.з.Основы военной подготовки УК№2,438
доц.Хизов А.В."
,17.00-18.30,,,,,* * *
,,,,,,"пр.з.Основы военной подготовки УК№2,438"
"а
ц
и
н
т
я
П",8.30-10.00,"лаб.з.Патанатомия /лаб.пат.анат/
проф.Салаутин В.В.,асс.,Афанасьев А.С.","лаб.з.Внутр.незар.болезни/ лаб.Терапии/
проф.Калюжный И.И., асс.Денисова Н.И.","лаб.з. В.С.Э. С-248, С-249 доц.Салаутина , асс.Ремизова С.Е.",* * *,лаб.з. Паразитология доц.Филатова А.В.
,,,,пр.з.Проф.этика ветврача /лаб.патанат/ доц. Ульянов Р.В.,"лаб.з.Паразитология доц.Коротова Д.М,доц.Филатова А.В.",пр.з.ОВД /лаб.эпизоот./ доц. Зайцев С.С.
,10.10-11.40,лек. В Е Т Е Р И Н А Р Н О С А Н И Т А Р Н А Я Э К С П Е Р Т И З А / В.С.Э ./ доцент Салаутина С.Е. ауд. Малая,,,,
,,лек. В Н У Т Р Е Н Н И Е Н Е З А Р А З Н Ы Е Б О Л Е З Н И профессор Калюжный И.И. ауд.7,,,,
,12.00-13.30,"лаб.з. Ветеринарная иммунология 231, 310
доц. Спиряхина Т.В.,доц.Хапцев З.Ю.","лаб.з.Патанатомия /лаб.пат.анат/
проф.Салаутин В.В.,асс., доц.Терентьев А.А.",,"лаб.з. Эпизоотология лаб.эпизоот.
проф.Агольцов В.А.., доц.Зайцев С.С.","лаб.з.Внутр.незар.болезни/ лаб.Терапии/
асс. Козлов Е.С."
,13.40-15.10,"пр.з.ОВД /лаб.эпиоот./
доц.Зайцев С.С.",пр.з.Проф.этика ветврача /лаб.патанат/ доц. Ульянов Р.В.,,"лаб.з.Патанатомия /лаб.пат.анат/
доц.Терентьев А.А.асс.,Афанасьев А.С.",лаб.з. В.С.Э. С-248 доц. Ступина
,,,* * *,,,* * *
,15.20-16.50,,,,,
,17.00-18.30,,,,,
"а
т
о
б
б
у
С",8.30-10.00,,,,,
,10.10-11.40,,,,,
,12.00-13.30,,,,,
,,,,,,
