"Расписания занятий
на 2 семестр 2025-2026 учебного года
институт ветеринарной медицины и фармации 5 курс Занятия с 02.02.26 г.",column_1,column_2,column_3,column_4,column_5,column_6
Дни,Часы,ВТ-501,ВТ-502,ВТ-503,ВТ-504,ВТ-505
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,"лаб.з.Болезни собак и кошек /лаб.Терап./
проф. Рыхлов А.С., асс.Денисова Н.С.",,,,
,10.10-11.40,Лек. В Н У Т Р Е Н Н И Е Н Е З А Р А З Н Ы Е Б О Л Е З Н И профессор Калюжный И.И. ауд.Малая,,,,
,,лек. Б О Л Е З Н И С О Б А К И К О Ш Е К проф.Козлов С.В. ауд.Малая,,,,
,12.00-13.30,,лаб.з. Эпизоотология асс.Гусев А.А.,"лаб.з. Внутр.незаразн.болезни
проф.Козлов С.В.","лаб.з.Особ.В.С.Э.мяса птицы С-245
доц.Ступина Л.В.","лаб.з. Вет.онкология лаб.Пат.анат.
доц.Терентьев А.А., доц. Ульянов Р.В."
,13.40-15.10,,лаб.з. Эпизоотология асс.Гусев А.А.,лаб.з. Внутр.незаразн.болезни,,
,,,пр.з. Гос.вет.надзор доц.Падило Л.П.,* * *,,
,15.20-16.50,,,,,
,17.00-18.30,,,,,
"к
и
н
р
о
т
В",8.30-10.00,Лек. ЭПИЗООТОЛОГИЯ профессор Агольцов В.А. ауд.7,,,,
,,лек. Г О С. В Е Т. Н А Д З О Р профессор Агольцов В.А. ауд.7,,,,
,10.10-11.40,"лаб.з. Эпизоотология 1п/г доц.Падило Л.П
лб.з.Внутр.незаразн.болезни 2п/г проф.Калюжный И.И.","лаб.з. Внутр.незаразн.болезни
асс.Денисова Н.С.","лаб.з.Вет.стоматология /лаб.Терап./
проф.Фролов В.В.","лаб.з. Токсикология С-251
доц. Мариничева М.П.","лаб.з.Патология птицы /лаб.Пат.анат. /
доц.Терентьев А.А.асс.Родин Н.В."
,"12.00-13.30
л",лаб.з. Эпизоотология 1п/г/Внутр.незар.бол-ни 2п/г,лаб.з. Внутр.незаразн.болезни асс.Денисова Н.С.,"лаб.з. Токсикология С-251, С-256
доц.Мариничева М.П.","лаб.з.Патология птицы /лаб.Пат.анат. /
асс.Родин Н.В.",
,,аб.з.Внутр.незаразн.болезни 1п/г асс.Денисова Н.С.,* * *,,,
,13.40-15.10л,аб.з.Внутр.незаразн.болезни 1п/г асс.Денисова Н.С.,,,,
,15.20-16.50,,,,,
,17.00-18.30,,,,,
"а
д
е
р
С",8.30-10.00,"лаб.з.Патология птицы /лаб.Пат.анат. /
2п/г асс.Родин Н.В.",,,,
,10.10-11.40,"лаб.з.Вет.стоматология /лаб.Терап./
проф.Фролов В.В.доц.Артемьев Д.А.","лаб.з.Особ.В.С.Э.мяса птицы С-249
доц.Ступина Л.В.",,"лаб.з. Вет.онкология лаб.Пат.анат.
доц.Терентьев А.А.",
,12.00-13.30,"лаб.з.Особ.В.С.Э.мяса птицы 1 п/г С-249
доц.Ступина Л.В.","лаб.з.Вет.стоматология /лаб.Терап./
доц.Артемьев Д.А.","лаб.з. Вет.онкология лаб.Пат.анат.
доц.Ульянов Р.В.","лаб.з. Эпизоотология
доц.Падило Л.П.","лаб.з. Внутр.незаразн.болезни
проф.Козлов С.В. асс.Денисова Н.С."
,13.40-15.10,"лаб.з. Токсикология 1п/г С-251
доц. Мариничева М.П.",,"лаб.з.Особ.В.С.Э.мяса птицы С-249
доц.Ступина Л.В.",* * *,пр.з. Гос.вет.надзор доц.Падило Л.П.
,,,,,лаб.з. Эпизоотология доц.Падило Л.П.,лаб.з. Внутр.незаразн.болезни
,15.20-16.50,,,,,"лаб.з. Эпизоотология 1п/г
доц.Падило Л.П."
,17.00-18.30,,,,,* * *
