"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 2 курс",column_1,column_2,column_3
Дни,Часы,Б-УК-201 с 16.02.2026,С-БиБ-201 с 26.01.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,,
,10.10-11.40,лек.МЕТРОЛОГИЧЕСКОЕ ОБЕСПЕЧЕНИЕ доц.Тяпаев Т.Б. 418,лек. ГЕНЕТИКА ЖИВОТНЫХ доцент Преображенская Т.С. 435
,,лек.ТЕОРЕТИЧЕСКИЕ ОСНОВЫ УПРАВЛЕНИЯ КАЧЕСТВОМ доц.Тяпаев Т.Б. 418,
,12.00-13.30,лек.ИНЖИНИРИНГ И РЕИНЖИНИРИНГ доцент Тяпаев Т.Б. 304,пр.з.ОБЩАЯ ФИЗИЧЕСКАЯ ПОДГОТОВКА каф.ФиС проф.Милехин А.В.
,,пр.з. Инжиниринг и реинжиниринг 419 асс.Захаров А.В.,
,13.40-15.10,"лек.ЭКОНОМИЧЕСКАЯ КУЛЬТУРА доц.Аукина Н.Г., проф.Уколова Н.В. 419",
,,* * *,
,15.20-16.50,"пр.з. Экономическая культура 419 доц. Аукина Н.Г., проф. Уколова Н.В.",
,,* * *,
,17.00-18.30,,
"к
и
н
р
о
т
В",8.30-10.00,лек.ТЕХНИЧЕСКОЕ РЕГУЛИРОВАНИЕ В ПТС доц. Тяпаев Т.Б. 304,
,10.10-11.40,пр.з. Техническое регулирование в ПТС 419 асс. Захаров А.В.,лаб.з. Физиология и этология животных С-273 доц.Клюкин С.Д.
,,,лек.ФИЗИОЛОГИЯ И ЭТОЛОГИЯ ЖИВОТНЫХ доцент Клюкин С.Д.
,12.00-13.30,"пр.з.ОБЩАЯ ФИЗИЧЕСКАЯ ПОДГОТОВКА
каф.ФиС ст.пр.Лаврухин А.С.",лек.ПРОЕКТИРОВАНИЕ И УПРАВЛЕНИЕ БАЗАМИ ДАННЫХ доц.Косарев А.В. 419
,,,лек.ФИЗИОЛОГИЯ И ЭТОЛОГИЯ ЖИВОТНЫХ доц. Клюкин С.Д.
,13.40-15.10,пр.з. Социология С-208 доц.Булгаков С.В.,лаб.з. Проектирование и управление базами данных 415 доц.Косарев А.В.
,,,* * *
,15.20-16.50,,
,17.00-18.30,,
"а
д
е
р
С",8.30-10.00,,
,10.10-11.40,лек. ВСЕОБЩЕЕ УПРАВЛЕНИЕ КАЧЕСТВОМ доцент Тяпаев Т.Б. 304,"лек.ГЕНЕТИЧЕСКИЕ ОСНОВЫ СЕЛЕКЦИИ ЖИВОТНЫХ
доц. Преображенская Т.С. 343"
,12.00-13.30,пр.з. Всеобщее управление качеством 304 ст.пр.Шутова О.А.,пр.з. Генетические основы селекции животных асс.Стрильчук А.А. 406
,13.40-15.10,пр.з.Теоретические основы управления качеством 419 ст.пр.Шутова О.А.,лек.МОЛЕКУЛЯРНАЯ БИОЛОГИЯ доцент Харитонова М.В. С-265
,15.20-16.50,пр.з. Правоведение С-409 доц.Рубанова М.Е.,лаб.з. Молекулярная биология С-265 доц.Харитонова М.В.
,,* * *,
,17.00-18.30,,
"г
р
е
в
т
е
Ч",8.30-10.00,пр.з.Метрология и стандартизация 206 ст.пр.Шутова О.С.,
,,,пр.з. ОБЩАЯ ФИЗИЧЕСКАЯ ПОДГОТОВКА каф.ФиС проф.Милехин А.В.
,10.10-11.40,лек. ПРАВОВЕДЕНИЕ доцент Рубанова М.Е. С-208,пр.з. Генетика животных 435 асс.Стрильчук А.А.
,12.00-13.30,лек. ПРАВОВЕДЕНИЕ доцент Рубанова М.Е. 419,лек.КВАНТОВАЯ ХИМИЯ И СТРОЕНИЕ МОЛЕКУЛ ст.пр.Цыгулева Э.И. 533
,,пр.з. Правоведние 419 доц.Рубанова М.Е.,лаб.з.Квантовая химия и строение молекул 533 ст.преп.Цыгулева Э.И.
,13.40-15.10,пр.з.ОБЩАЯ ФИЗИЧЕСКАЯ ПОДГОТОВКА каф.ФиС ст.пр.Лаврухин А.С.,лаб.з.Квантовая химия и строение молекул 533 ст.преп.Цыгулева Э.И.
,,,* * *
,15.20-16.50,,
,17.00-18.30,,
"а
ц
и
н
т
я
П",8.30-10.00,лек. СОЦИОЛОГИЯ доцент Булгаков С.В. С-409,
,,* * *,
,10.10-11.40,лек. МЕТРОЛОГИЯ И СЕРТИФИКАЦИЯ доцент Тяпаев Т.Б. 343,
,12.00-13.30,пр.з. Метрологическое обеспечение 343 ст.пр.Шутова О.А.,лек. ФИЛОСОФИЯ доцент Поздникин А.А. С-413
,,,пр.з. Философия С-413 доц.Поздникин А.А.
,13.40-15.10,пр.з. Метрологическое обеспечение 343 ст.пр.Шутова О.А.,лек.МИКРОБИОЛОГИЯ доц.Спиряхина Т.В. 339
,,* * *,лаб.з. Микробиология 308 доц.Спиряхина Т.В.
,15.20-16.50,,лаб.з. Микробиология 310 доц.Спиряхина Т.В.
,,,* * *
,17.00-18.30,,
"а
т
о
б
б
у
С",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,12.00-13.30,,
,,,
