"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 1 курс",column_1,column_2,column_3
Дни,Часы,Б-УК-101 с 26.01.26 г.,С-БиБ-101 с 02.02.26 г.
"к
и
н
ь
л
де
не
о
П",8.30-10.00,* * *,лаб.з. Зоология 1п/г С-268 доц.Прохорова Т.М
,,пр.з. Квалиметрия и управление качеством в ПТС 419 ст.пр.Шутова О.С. 419,лаб.з. Зоология 2п/г С-268 доц.Прохорова Т.М
,10.10-11.40,пр.з. Квалиметрия и управление качеством в ПТС 419 ст.пр.Шутова О.С. 419,лаб.з. Зоология 1п/г С-265 доц.Харитонова М.В.
,,,лаб.з. Зоология 2п/г С-265 доц.Харитонова М.В.
,12.00-13.30,пр.з.ОБЩАЯ ФИЗ.ПОДГОТОВКА каф.ФиС асс.Кошелев В.П.,"лек. ЭКОНОМИЧЕСКАЯ КУЛЬТУРА доцент Васильева О.А., профессор Уколова Н.В. 418"
,,,"пр.з. Экономическая культура 418 асс.Ерзова П.И., проф.Уколова Н.В."
,13.40-15.10,лек. СПЕЦ. ПЕДАГОГИКА доцент Капичников А.И. 206,"пр.з. Иностранный язык лаб.Ин-яз ст.пр. Афанасьева Е.Г., ст.пр.Бобылева Г.А."
,,пр.з. Спец. педагогика С-208 доц.Капичников А.И.,
,15.20-16.50,,
,17.00-18.30,,
"к
и
н
р
о
т
В",8.30-10.00,,пр.з.ОБЩАЯ ФИЗ.ПОДГОТОВКА каф.ФиС доц.Скосырева Е.А.
,10.10-11.40,лек. ПРИКЛАДНАЯ МАТЕМАТИКА доцент Сорокина А.Н. 418,п е р е е з д
,,пр.з. Иностранный язык лаб.Ин-яз доц.Солотова Н.В.,
,12.00-13.30,п е р е е з д,"лек. ВЫСШАЯ МАТЕМАТИКА доцент Кочегарова О.С. УК№2, 351"
,,,"пр.з. Высшая математика УК№2, 351 доц.Кочегарова О.С."
,13.40-15.10,"лек. ИНФОРМАТИКА доцент Рубцова С.Н. УК№1,247","пр.з. Высшая математика УК№2, 351 доц.Кочегарова О.С."
,,"лек. ИНЖЕНЕРНАЯ ФИЗИКА доцент Рябцева Т.Г. УК№2, 240","лаб.з. Информатика УК№2, 522,520 доц.Рубцова С.Н., асс.Цагареишвили Л.С."
,15.20-16.50,"лаб.з. Информатика УК№1, 247 доц.Рубцова С.Н.",* * *
,,"лек. ИНЖЕНЕРНАЯ ФИЗИКА доцент Рябцева Т.Г. УК№2, 240","лаб.з. Информатика УК№2, 522,520 доц.Рубцова С.Н., асс.Цагареишвили Л.С."
,17.00-18.30,"лаб.з. Информатика УК№1, 247 доц.Рубцова С.Н.",
,,* * *,
"а
д
ре
С",8.30-10.00,пр.з.ОБЩАЯ ФИЗ.ПОДГОТОВКА каф.ФиС асс.Кошелев В.П.,лаб.з. Зоология 2п/г С-268 доц.Прохорова Т.М
,,,лаб.з. Зоология 1п/г С-268 доц.Прохорова Т.М
,10.10-11.40,пр.з. История России С-413 доц. Гижов В.А.,лек. ЗООЛОГИЯ доцент Прохорова Т.М. С-253
,,,пр.з. Русский язык и культура речи 419 доц.Бульина Ю.В.
,12.00-13.30,пр.з. Основы обеспечения качества 419 асс.Синица В.В.,пр.з. История России С-413 доц.Гижов В.А.
,13.40-15.10,Кураторский час,Кураторский час
,15.20-16.50,,
,17.00-18.30,,
"рг
ве
т
Че",8.30-10.00,лек. КВАЛИМЕТРИЯ И УПРАВЛЕНИЕ КАЧЕСТВОМ В ПТС доц.Тяпаев Т.Б. 419,"пр.з. Иностранный язык лаб.Ин-яз ст.пр. Афанасьева Е.Г., ст.пр.Бобылева Г.А."
,,,лек.ОРГАНИЧЕСКАЯ ХИМИЯ профессор Сазонова И.А.
,10.10-11.40,пр.з. Прикладная математика 419 асс.Трофимова М.С.,"лабз. Органическая химия 533, 538 проф.Сазонова И.А., ст.пр. Цыгулева Э.И."
,12.00-13.30,пр.з. Иностранный язык лаб.Ин-яз доц.Солотова Н.В.,пр.з.ОБЩАЯ ФИЗ.ПОДГОТОВКА каф.ФиС доц.Скосырева Е.А.
,13.40-15.10,п е р е е з д,п е р е е з д
,15.20-16.50,"пр.з. Инженерная физика УК№2,240 доц.Рябцева Т.Г","лек.БИОЛОГИЧЕСКАЯ ФИЗИКА доцент Жиздюк А.Л. УК№2, 240"
,,,* * *
,17.00-18.30,,
"а
ц
и
н
т
я
П",8.30-10.00,,лек. ЭКОЛОГИЯ доцент Харитонова М.В. С-265
,,,* * *
,10.10-11.40,лек. ЭКОЛОГИЯ доцент Харитонова М.В. С-265,пр.з. Русский язык и культура речи 418 доц.Бульина Ю.В.
,,пр.з. Экология С-265 доц. Харитонова М.В.,* * *
,12.00-13.30,лек. ИСТОРИЯ РОССИИ доцент Гижов В.А. ауд.5,лек. ИСТОРИЯ РОССИИ доцент Гижов В.А. ауд.5
,,лек. ОСНОВЫ ОБЕСПЕЧЕНИЯ КАЧЕСТВА доц.Тяпаев Т.Б. 418,* * *
,13.40-15.10,,* * *
,,,"лаб.з. Биофизика 2п/г УК№2, 240,242 доц.Рябцева Т.Г. ст.пр.Рыжова Е.В."
,15.20-16.50,,* * *
,,,"лаб.з. Биофизика 2п/г УК№2, 240,242 доц.Рябцева Т.Г. ст.пр.Рыжова Е.В."
,17.00-18.30,,
"а
т
о
б
б
у
С",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,12.00-13.30,,
,,,
