"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 1 курс",column_1,column_2
Дни,Часы,М-ВБ-А 101 с 26.01.26 г.
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,лек. ЭКОНОМИКА РЫБНОГО ХОЗЯЙСТВА доц.Торопова В.В. 343
,,пр.з. Компьютерные технологии в науке и производстве 427 доц.Берднова Е.В.
,15.20-16.50,пр.з. Экономика рыбного хозяйства 343 доц.Торопова В.В.
,,пр.з. Компьютерные технологии в науке и производстве 427 доц.Берднова Е.В.
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,* * *
,,лек. ОПТИМИЗАЦИЯ ТЕХНОЛОГИЧЕСКИХ ПРОЦЕССОВ В АКВАКУЛЬТУРЕ доц. Руднева О.Н. 341
,10.10-11.40,"пр.з. Оптимизация технологических процессов в аквакультуре 341 доц.Руднева О,Н,"
,12.00-13.30,лек. ПАСТБИЩНАЯ АКВАКУЛЬТУРА проф.Поддубная И.В. С-305а
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,пр.з. Пастбищная аквакультура 343 проф. Поддубная И.В.
,15.20-16.50,лек.СИСТЕМНЫЙ АНАЛИЗ В РЫБОХОЗЯЙСТВЕННЫХ ИССЛЕДОВАНИЯХ доц.Преображенская Т.С. 406
,,пр.з. Системный анализ в рыбохозяйственных исследованиях 406 доц. Преображенская Т.С.
,17.00-18.30,пр.з. Системный анализ в рыбохозяйственных исследованиях 406 доц. Преображенская Т.С.
,,* * *
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"лек. ОЦЕНКА ВОЗДЕЙСТВИЯ НА ОКРУЖАЮЩУЮ СРЕДУ УК№1,132 доц. Сагатов М.А."
,,* * *
,15.20-16.50,"пр.з. Оценка воздействия на окружающую среду УК №1, 132 доц. Сагатов М.А."
,,"лек. ОЦЕНКА ВОЗДЕЙСТВИЯ НА ОКРУЖАЮЩУЮ СРЕДУ УК№1,132 доц. Сагатов М.А."
,17.00-18.30,* * *
,,"пр.з. Оценка воздействия на окружающую среду УК №1, 132 доц. Сагатов М.А."
"а
т
о
б
б
у
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,,
