"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 1 курс",column_1,column_2,column_3
Дни,Часы,Б-БТ-101 с 19.01.26 г.,Б-ПЖ-101 с 29.12.25 г.
"к
и
н
ь
л
де
не
о
П",8.30-10.00,,"пр.з.ОБЩ.ФИЗ.ПОДГОТОВКА каф ФиС
проф.Милехин А.В."
,10.10-11.40,лек. ОБЩАЯ МИКРОБИОЛОГИЯ профессор Карпунина Л.В. 339,"лек.ЭКОНОМИЧЕСКАЯ КУЛЬТУРА доцент Васильева О.А.,профессор Уколова Н.В. 206"
,,,"пр.з. Экономическая культура асс.Ерзова П.И., проф.Уколова Н.В. 206"
,12.00-13.30,"пр.з.ОБЩ.ФИЗ.ПОДГОТОВКА каф ФиС
ст.пр.Суркова Т.Н.","пр.з. Иностранный язык лаб.Ин-яз.
ст.пр. Антошина Е.С., ст.пр.Бобылева Г.А."
,13.40-15.10,лаб.з. Технические основы проектирования 2п/г 352.31 доц.Анисимов А.В.,"лек.СПЕЦ,ПЕДАГОГИКА И СПЕЦ,ПСИХОЛОГИЯ доцент Капичников А.И. 206"
,,лаб.з. Технические основы проектирования 1п/г 352.31 доц.Анисимов А.В.,пр.з. Спец.педагогика и спец.психология С-409 доц.Измайлова Ю.М.
,15.20-16.50,лаб.з. Технические основы проектирования 2п/г 352.31 доц.Анисимов А.В.,
,,лаб.з. Технические основы проектирования 1п/г 352.31 доц.Анисимов А.В.,
,17.00-18.30,,
"к
и
н
р
о
т
В",8.30-10.00,* * *,лек. ЭКОЛОГИЯ доцент Харитонова М.В. С-265
,,лаб.з. Технические основы проектирования 2п/г 352.31 доц.Анисимов А.В.,лек. ИНФОРМАТИКА доцент Берднова Е.В. 418
,10.10-11.40,лек.МЕТОДЫ КОНТРОЛЯ КАЧ-ВА В БИОТЕХНОЛОГИИ доц.Древко Я.Б. 515,"лаб.з. Информатика 426,427 доц.Берднова Е.В., асс.Жданов Д.А."
,,"пр.з. Иностранный язык лаб.Ин-яз. ст.пр.Антошина Е.С.,ст.пр. Афанасьева Е.Г.",
,12.00-13.30,пр.з. Экология С-265 доц.Харитонова М.В.,лек.ПСИХОЛОГИЯ РАБОТЫ В МАЛЫХ ГРУППАХ доцент Поздникин А.А. С-413
,,,"пр.з. Иностранный язык лаб.Ин-яз. ст.пр.Антошина Е.С., ст.пр.Бобылева Г.А."
,13.40-15.10,"лаб.з. Химия ионных и молекулярных соединений 1п/г 516 доц.Исайчева Л.А.
лаб.з. Методы контроля кач-ва в биотехнологии 2п/г 526 доц.Абрамова О.В.",пр.з. Психология работы в малых группах С-413 доц.Поздникин А.А.
,,,* * *
,15.20-16.50,лаб.з.Химия ионных и мол-х соединений 1п/г 516/ Методы контроля кач-ва 2п/г 530,
,,лаб.з. Химия ионных и молекулярных соединений 1п/г 516 доц.Исайчева Л.А.,
,17.00-18.30,,
"а
д
ре
С",8.30-10.00,лек. ЭКОЛОГИЯ доц.Харитонова М.В. С-265,"пр.з.ОБЩ.ФИЗ.ПОДГОТОВКА каф ФиС
проф.Милехин А.В."
,,лек.МЕТОДЫ КОНТРОЛЯ КАЧЕСТВА доц.Древко Я.Б. 530,
,10.10-11.40,"лек.ХИМИЯ ИОННЫХ И МОЛЕКУЛЯРНЫХ СИСТЕМ
доц. Исайчева Л.А. 515",лек. ВВЕДЕНИЕ В ПРОФЕССИЮ доцент Курако У.М. 206
,,,пр.з. Введение в профессию 206 доц.Курако У.М.
,12.00-13.30,"пр.з.ОБЩ.ФИЗ.ПОДГОТОВКА каф ФиС
ст.пр.Суркова Т.Н.",пр.з. Экология С-265 доц.Харитонова М.В.
,13.40-15.10,Кураторский час,Кураторский час
,15.20-16.50,,
,17.00-18.30,,
"рг
ве
т
Че",8.30-10.00,лб.з.Химия ионных и молекулярных соединений 2п/г 516 / Технические основы проектирования 1п/г 352.31,лаб.з. Биология 1п/г С-265 доц.Прохорова Т.М.
,,лаб.з.Химия ионных и молекулярных соединений 2п/г 516/ Методы контроля качества 1п/г 530,лаб.з. Биология 2п/г С-265 доц.Прохорова Т.М.
,10.10-11.40,"лаб.з. Химия ионных и молекулярных соединений 2п/г 516 доц.Исайчева Л.А.
лаб.з. Методы контроля качества в биотехнологии 1п/г 526 доц.Абрамова О.В.",лек. БИОЛОГИЯ доцент Прохорова Т.М. С-253
,,,лек. ПРИКЛАДНАЯ МАТЕМАТИКА ст.пр.Сороктна А.Н. 418
,12.00-13.30,"пр.з. Иностранный язык лаб.Ин-яз.
ст.пр. Антошина Е.С., Афанасьева Е.Г.",лек. ОРГАНИЧЕСКАЯ ХИМИЯ профессор Сазонова И.А. 515
,13.40-15.10,пр.з. История России С-413 доц.Гижов В.А.,"лаб.з. Органическая химия 1п/г 530 проф.Сазонова И.А.
лаб.з. Техничсеские аспекты проектирования 2п/г 427 ст.пр.Сухов М.А."
,15.20-16.50,,
,17.00-18.30,,
"а
ц
и
н
т
я
П",8.30-10.00,лек.ТЕХНИЧЕСКИЕ АСПЕКТЫ ПРОЕКТИРОВАНИЯ доцент Анисимов А.В. 352.31,пр.з. Прикладная математика 418 асс.Трофимова М.С.
,,лек. ПРИКЛАДНАЯ МАТЕМАТИКА ст.пр.Сорокина А.Н. 419,
,10.10-11.40,пр.з. Прикладная математика 419 асс.Трофимова М.С.,пр.з. История России С-208 доц.Гижов В.А.
,,,пр.з. История России С-409 доц.Гижов В.А.
,12.00-13.30,лек. ИСТОРИЯ РОССИИ доцент Гижов В.А. ауд.5,лек. ИСТОРИЯ РОССИИ доцент Гижов В.А. ауд.5
,,лек. БЕЗОПАСНОСТЬ ЖИЗНЕДЕЯТЕЛЬНОСТИ доц.Карпова О.В. 212,лек. ТЕХНИЧЕСКИЕ АСПЕКТЫ ПРПОЕКТИРОВАНИЯ доцент Мокрецов И.В. 206
,13.40-15.10,пр.з. Безопасность жизнедеятельности 212 доц.Карпова О.В.,"лаб.з. Органическая химия 2п/г 530 ст.пр.Цыгулева Э.И.
лаб.з. Техничсеские аспекты проектирования 1п/г 426 ст.пр.Сухов М.А."
,15.20-16.50,,
"а
т
о
б
б
у
С",8.30-10.00,"лаб.з. Общая микробиология 231,310
доц.Спиряхина Т.В., ст.пр.Ляпина",
,10.10-11.40,"лаб.з. Общая микробиология 231,310
доц.Спиряхина Т.В., ст.пр.Ляпина",
,12.00-13.30,,
,13.40-15.10,,
,15.20-16.50,,
Начальник ООУП Юдина М.Р.,,,
