"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 1 курс",column_1,column_2,column_3
Дни,Часы,Б-ППР-101 с 12.01.26 г.,Б- ТПП 101 с 02.02.26 г.
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,лек.ИНФОРМАТИКА доцент Берднова Е.В. 418,пр.з. Экология С-265 доц.Харитонова М.П.
,,"лаб.з. Информатика 426,427 доц.Берднова Е.В, асс.Жданов Д.А.",лек. ЭКОЛОГИЯ доцент Харитонова М.П. С-265
,10.10-11.40,"лаб.з. Информатика 426,427 доц.Берднова Е.В, асс.Жданов Д.А.","пр.з Общ.физ.подготовка каф.ФиС
асс. Огаренков М.Д."
,12.00-13.30,"пр.з. Иностранный язык / лаб.Ин-яз/ ст.пр.Афанасьева Е.Г., ст.пр. Дидусенко Е.Н.",лек. ПРИКЛАДНАЯ МАТЕМАТИКА ст.пр.Сорокина А.Н. 419
,,,пр.з. Экология С-265 доц.Харитонова М.П.
,13.40-15.10,лаб.з.Технические основы проектирования 1 п/г 414 доц.Тюрин И.Ю.,"пр.з. Иностранный язык / лаб.Ин-яз/ ст.пр.Антошина Е.С, ст.пр. Дидусенко Е.Н."
,,пр.з.Принципы научных исследований С-206 проф.Садыгова М.К.,п е р е е з д
,15.20-16.50,,п е р е е з д
,,,"пр.з. Технология производства продукции растениеводства УК№1,702 доц.Шьюрова Н.А."
,17.00-18.30,,
"к
и
н
р
о
т
В",8.30-10.00,лек. ТЕХНИЧЕСКИЕ ОСНОВЫ ПРОЕКТИРОВАНИЯ доцент Тюрин И.Ю. ауд.4,"лек.ТЕХНОЛ.ПРОИЗВОДСТВА ПРОД.РАСТ-ВА доцент Шьюрова Н.А. УК№1, 713"
,,лаб.з.Технические основы проектирования 1 п/г 414 доц.Тюрин И.Ю.,
,10.10-11.40,"пр.з Общ.физ.подготовка каф.ФиС
асс. Огаренков М.Д.","пр.з. Технология производства продукции растениеводства УК№1, 713 доц.Шьюрова Н.А."
,,,п е р е е з д
,12.00-13.30,лек. ПРИКЛАДНАЯ МАТЕМАТИКА ст.пр.Сорокина А.Н. 418,п е р е е з д
,,"пр.з. Иностранный язык / лаб.Ин-яз/ ст.пр.Афанасьева Е.Г., ст.пр. Дидусенко Е.Н.",лек. ИСТОРИЯ РОССИИ доцент Поздникин А.А. ауд.5
,13.40-15.10,лаб.з. Принципы научных исследований 1п/г С-204 асс. Земскова А.А.,
,,лаб.з. Принципы научных исследований 2п/г С-204 асс. Земскова А.А.,
,15.20-16.50,,
,17.00-18.30,,
"а
д
е
р
С",8.30-10.00,лаб.з. Технические основы проектирования 2п/г 414 доц.Тюрин И.Ю.,"лек.ТЕХНОЛОГИЯ ПРОИЗВОДСТВА ПРОДУКЦИИ ЖИВОТНОВОДСТВА
доцент Шингалов В.А. 304"
,10.10-11.40,лек. ОБЩАЯ ТЕХНОЛОГИЯ ОТРАСЛИ профессор Попова О.М. С-206,пр.з. История России С-409 доц.Поздникин А.А.
,,пр.з. Общая технология отрасли С-206 проф.Попова О.М.,
,12.00-13.30,пр.з. Прикладная математика 418 асс.Трофимова М.С.,"пр.з Общ.физ.подготовка каф.ФиС
асс. Огаренков М.Д."
,13.40-15.10,Кураторский час,Кураторский час
,15.20-16.50,,
,17.00-18.30,,
"г
р
е
в
т
е
Ч",8.30-10.00,лек. ЭКОЛОГИЯ доцент Харитонова М.В. С-265,пр.з.Прикладная математика асс.Трофимова М.С. Ауд.5
,,пр.з. Экология С-265 доц.Харитонова М.В.,
,10.10-11.40,"пр.з Общ.физ.подготовка каф.ФиС
асс. Огаренков М.Д.",лаб.з. Технические основы проектирования 1п/г 414 доц.Анисимов А.В.
,12.00-13.30,пр.з. История России С-409 асс.Ахметов А.А.,пр.з. Технология производства продукции животноводства 105 ст.пр.Сухов М.А.
,13.40-15.10,лек.СПЕЦ.ПЕДАГОГИКА И СПЕЦ.ПСИХОЛОГИЯ доцент Капичников А.И. С-409,"пр.з. Иностранный язык / лаб.Ин-яз/ ст.пр.Антошина Е.С, ст.пр. Дидусенко Е.Н."
,,пр.з. Спец.психология и спец.педагогика С-409 доц.Капичников А.И.,
,15.20-16.50,* * *,
,,пр.з. Технические основы проектирования С-145 доц.Буттаев О.М.,
,16.30-18.00,,
"а
ц
и
н
т
я
П",8.30-10.00,лек.НЕОРГАНИЧЕСКАЯ И АНАЛИТИЧЕСКАЯ ХИМИЯ ст.пр.Цыгулева Э.И. 533,
,,пр.з. Экология С-265 доц.Харитонова М.В.,
,10.10-11.40,"лаб.з. Неоргаическая и аналитическая химия 532,533
доц.Кондрашова А.В., ст.пр.Цыгулева Э.И.",лек. ОРГАНИЧЕСКАЯ ХИМИЯ профессор Сазонова И.А. 515
,,,* * *
,12.00-13.30,лек. ИСТОРИЯ РОССИИ доцент Гижов В.А. ауд.5,"лаб.з..Органическая химия 509,510
проф.Сазонова И.А,ст.пр.Цыгулева Э.И."
,,лек.ПИНЦИПЫ НАУЧНЫХ ИССЛЕДОВАНИЙ профессор Садыгова М.К. С-206,
,13.40-15.10,,лек.ТЕХНИЧЕСКИЕ ОСНОВЫ ПРОЕКТИРОВАНИЯ 352.31 доцент Анисимов А.В.
,,,пр.з.Технические основы проектирования 352.31 доц.Анисимов А.В.
,15.20-16.50,,лаб.з. Технические основы проектирования 2п/г 414 доц.Анисимов А.В.
,17.00-18.30,,
"а
т
о
б
б
у
С",8.30-10.00,"лаб.з Общая технол. отрасли С-217,С-204 1п/г асс. Сорокин С.С.",
,,"лаб.з Общая технол. отрасли С-217,С-204 2п/г асс.Сорокин С.С.",
,10.10-11.40,"лаб.з Общая технол. отрасли С-217,С-204 1п/г асс. Сорокин С.С.",
