"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 1 курс",column_1,column_2,column_3
Дни,Часы,Б-ТОП-101 с 12.01.26 г.,Б-ТОП-102 с 12.01.26 г.
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,"пр.з Иностранный язык лаб.ин.яз
ст.пр. Антошина Е.С., ст.пр.Дидусенко Е.Н.","пр.з Иностранный язык лаб.ин.яз
ст.пр.Афанасьева Е.Г. ст.пр.,Бобылева Г.А."
,10.10-11.40,"пр.з Общая физ.подготовка
каф.ФиС ст.пр.Суркова Т.Н.","пр.з Общая физ.подготовка
каф.ФиС ст.пр. Лаврухин А.С."
,12.00-13.30,"лаб.з. Органическая и физ.коллоидная химия 1 п/г 516 доц.ДревкоЯ.Б.
лаб.з. Технические аспекты проектирования 2 п/г 414 доц.Тюрин И.Ю.",пр.з. Экология С-265 доц.Харитонова М.П.
,,,"лаб.з. Информатика 426,427 доц.Берднова Е.В.,асс. Цагареишвили Л.С."
,13.40-15.10,лаб.з. Органическая и физ.коллоидная химия 1 п/г 516 доц.ДревкоЯ.Б.,"лаб.з. Информатика 426,427 доц.Берднова Е.В.,асс. Цагареишвили Л.С."
,,лаб.з. Технические аспекты проектирования 2 п/г 414 доц.Тюрин И.Ю.,
,15.20-16.50,"лаб.з. Электротехника УК №2, 416 доц. Иванкина Ю.В.","лаб.з. Электротехника УК№2,416 асс.Абзалов М.А"
,,"лек. Э Л Е К Т Р О Т Е Х Н И К А УК №2, 416 доцент Иванкина Ю.В.",
,17.00-18.30,,
"к
и
н
р
о
т
В",8.30-10.00,"пр.з Иностранный язык лаб.ин.яз ст.пр.Антошина Е.С., ст.пр. Дидусенко Е.Н.","пр.з Иностранный язык лаб.ин.яз ст.пр.Афанасьева Е.Г., сит.пр.Бобылева Г.А."
,,лек. Э К О Л О Г И Я доцент Харитонова М.П. ауд.Большая,
,10.10-11.40,лек. О Р Г А Н И Ч Е С К А Я И Ф И З К О Л Л О И Д Н А Я Х И М И Я профессор Древко Б.И. ауд.4,
,,лек. М И К Р О Б И О Л О Г И Я П И Щ Е В Ы Х П Р О Д У К Т О В профессор Карпунина Л.В. ауд.4,
,12.00-13.30,"лаб.з. Информатика 426,427 доц.Берднова Е.В.,асс. Цагареишвили Л.С.","лаб.з. Органическая и физ.коллоидная химия 1 п/г 509 проф.Древко Б.И.
лаб.з. Технические аспекты проектирования 2 п/г 414 доц.Тюрин И.Ю."
,13.40-15.10,"лаб.з. Информатика 426,427 доц.Берднова Е.В.,асс. Цагареишвили Л.С.",лаб.з. Органическая и физ.коллоидная химия 1 п/г 509 проф.Древко Б.И.
,,пр.з. Экология С-265 доц.Харитонова М.П.,лаб.з. Технические аспекты проектирования 2 п/г 414 доц.Тюрин И.Ю.
,15.20-16.50,,
,17.00-18.30,,
"а
д
е
р
С",8.30-10.00,пр.з. Прикладная математика 418 асс. Трофимова М.С.,пр.з. Основы технологии кулинарной продукции С-145 асс.Сорокин С.С.
,10.10-11.40,пр.з. Основы технологии кулинарной продукции С-145 асс.Сорокин С.С.,пр.з. Прикладная математика 418 асс. Трофимова М.С.
,12.00-13.30,лек. Н О Р М А Т И В Н О Е И М Е Т Р О Л О Г И Ч Е С К О Е О Б Е С П Е Ч Е Н И Е доцент Колотова Н.А. С-149,
,,лек. О С Н О В Ы Т Е Х Н О Л О Г И И К У Л И Н А Р Н О й П Р О Д У К Ц И И доцент Рысмухамбетова Г.Е. С-149,
,13.40-15.10,Кураторский час,Кураторский час
,15.20-16.50,,
,17.00-18.30,,
"г
р
е
в
т
е
Ч",8.30-10.00,,лаб.з.Осн.техн.кулин.прод. 1п/г С-142 асс.Сорокин С.С./ Микробиология 2п/г 308 проф.Карпрунина Л.В.
,,,лаб.з. Осн.техн.кулин.прод. 2п/г С-142 асс.Сорокин С.С./ Микробиология 1п/г 308 проф.Карпрунина Л.В.
,10.10-11.40,пр.з. История России С-409 доц.Гижов В.А.,лаб.з. Осн.техн.кулин.прод. 1п/г С-142 асс.Сорокин С.С./ Микробиология 2п/г 308 проф.Карпрунина Л.В.
,,,лаб.з. Осн.техн.кулин.прод. 2п/г С-142 асс.Сорокин С.С./ Микробиология 1п/г 308 проф.Карпрунина Л.В.
,12.00-13.30,"пр.з Общая физ.подготовка
каф.ФиС ст.пр.Суркова Т.Н.","пр.з Общая физ.подготовка
каф.ФиС ст.пр. Лаврухин А.С."
,13.40-15.10,лаб.з.Осн.техн.кулин.прод. 1п/г С-142 асс.Сорокин С.С./ Микробиология 2п/г 308 проф.Карпрунина Л.В.,пр.з. Нормативное метрологическое обеспечение С-145 доц.Колотова Н.А.
,,лаб.з.Осн.техн.кулин.прод. 2п/г С-142 асс.Сорокин С.С./ Микробиология 1п/г 308 проф.Карпрунина Л.В.,* * *
,15.20-16.50,лаб.з.Осн.техн.кулин.прод. 1п/г С-142 асс.Сорокин С.С./ Микробиология 2п/г 308 проф.Карпрунина Л.В.,
,,лаб.з.Осн.техн.кулин.прод. 2п/г С-142 асс.Сорокин С.С./ Микробиология 1п/г 308 проф.Карпрунина Л.В.,
"а
ц
и
н
т
я
П",8.30-10.00,лаб.з. Органическая и физ.коллоидная химия 2 п/г 516 проф.Древко Б.И.,
,,лаб.з. Технические аспекты проектирования 1 п/г 414 доц.Тюрин И.Ю.,
,10.10-11.40,"лаб.з. Органическая и физ.коллоидная химия 2 п/г 516 проф.Древко Б.И.
лаб.з. Технические аспекты проектирования 1 п/г 414 доц.Тюрин И.Ю.",
,12.00-13.30,лек. И С Т О Р И Я Р О С С И И доцент Гижов В.А. ауд.5,
,,лек. П Р И К Л А Д Н А Я М А Т Е М А Т И К А ст.пр. Мсорокина А.Н. ауд.5,
,13.40-15.10,пр.з. Нормативное метрологическое обеспечение С-145 доц.Колотова Н.А.,пр.з. История России С-413 доц.Гижов В.А.
,,* * *,
,15.20-16.50,,"лаб.з. Органическая и физ.коллоидная химия 2 п/г 516 проф.Древко Б.И.
лаб.з. Технические аспекты проектирования 1 п/г 414 доц.Буттаев О.М."
,17.00-18.30,,лаб.з. Органическая и физ.коллоидная химия 2 п/г 516 проф.Древко Б.И.
,,,лаб.з. Технические аспекты проектирования 1 п/г 414 доц.Буттаев О.М.
"а
т
о
б
б
у
С",8.30-10.00,,
,,,
,10.10-11.40,,
,,,
,12.00-13.30,,
,,,
,12.00-13.30,,
,,,
