"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 2 курс",column_1,column_2,column_3
Дни,Часы,Б-ТОП-201 с 09.02.2026,Б-ТОП-202 с 09.02.2026
"к
и
н
ь
л
де
не
о
П",8.30-10.00,,
,10.10-11.40,"лаб.з. Теоретическая технология 2п/г С-145 доц.Фоменко О.С.
лаб.з. Тепло - хладотехника 1 п/г 116 доц. Курако У.М.",
,12.00-13.30,лек. Т Е О Р Е Т И Ч Е С К А Я Т Е ЪХ Н О Л О Г И Я С-149 доцент Фоменко О.С.,
,13.40-15.10,,"лаб.з. Теоретическая технология 1п/г С-140 доц.Фоменко О.С.
лаб.з. Товароведение продовольственных товаров 2п/г С-152 доц.Колотова Н.А."
,15.20-16.50,,лаб.з. Товароведение продовольственных товаров 1п/г С-152 доц.Колотова Н.А.
,17.00-18.30,,лаб.з. Тепло - хладотехника 1 п/г 116 доц. Курако У.М.
"к
и
н
р
о
т
В",8.30-10.00,,лаб.з. Теоретическая технология 2п/г С-140 доц.Фоменко О.С.
,10.10-11.40,лек. С А Н И Т А Р И Я И Г И Г И Е Н А П И Т А Н И Я профессор Попова О.М. С-149,
,,лек. П Р А В О В Е Д Е Н И Е доцент Рубанова М.Е. С-149,
,12.00-13.30,пр.з. Санитария и гигиена питания С-145 проф.Попова О.М.,пр.з. Правоведение С-409 доц.Рубанова М.Е.
,13.40-15.10,пр.з. Правоведение С-409 доц.Рубанова М.Е.,пр.з. Санитария и гигиена питания С-145 проф.Попова О.М.
,15.20-16.50,лаб.з. Теоретическая технология 1п/г С-140 доц.Фоменко О.С.,
,17.00-18.30,,
"а
д
ре
С",8.30-10.00,,*
,10.10-11.40,лек. ОРГАНИЗАЦИЯ И ПЛАНИРОВАНИЕ ПРОИЗВОДСТВЕННОЙ И СБЫТОВОЙ ДЕЯТЕЛЬНОСТИ профессоро Панфилов А.В. ауд.4,
,,* * *,* * *
,12.00-13.30,лек. С Т Р У К Т У Р А П И Щ Е В Ы Х С И С Т Е М доцент Белова М.В. ауд.5,
,,лек. ТЕПЛО - ХЛАДОТЕХНИКА доцент Катусов Д.Н. ауд.5,
,13.40-15.10,"лаб.з. Товароведение продовольственных товаров С-152 , С-149
проф.Карабаева М.Э., доц.Колотова Н.А.",лаб.з. Структура пищевых систем 2п/г С-218 доц.Белова М.В.
,15.20-16.50,лаб.з. Структура пищевых систем С-218 2п/г доц.Белова М.В.,лаб.з. Товароведение продовольственных товаров 2п/г С-152 доц.Колотова Н.А.
,17.00-18.30,,
"рг
ве
т
Че",8.30-10.00,"лаб.з. Тепло - хладотехника 2 п/г 116 доц. Катусов Д.Н.
лаб.з. Структура пищевых систем С-218 1п/г доц.Белова М.В.",лаб.з. Товароведение продовольственных товаров 1п/г С-152 доц.Колотова Н.А.
,10.10-11.40,"лаб.з. Товароведение продовольственных товаров С-152 , С-223
проф.Карабаева М.Э.,доц.Колотова Н.А.","лаб.з. Тепло - хладотехника 2 п/г 116 доц. Катусов Д.Н.
лаб.з. Структура пищевых систем С-218 1п/г доц.Белова М.В."
,12.00-13.30,лек. Т О В А Р О В Е Д Е Н Е профессор Карабаева М.Э. С-149,
,13.40-15.10,"пр.з Общая физическая подготовка
каф.ФиС асс.Кошелев В.П.","пр.з Общая физическая подготовка
каф.ФиС ст.пр.Суркова Т.Н."
,15.20-16.50,,
"а
ц
и
н
т
я
П",8.30-10.00,,
,10.10-11.40,* * *,пр.з.Социология С-409 доц. Булгаков С.В.
,,"пр.з.Экономическая культура С-208 асс.Ерзова П.И., проф.Уколова Н.В.",* * *
,12.00-13.30,лек . С О Ц И О Л О Г И Я доцент Булгаков С.В. ауд.4,
,,"лек.ЭКОНОМИЧЕСКАЯ КУЛЬТУРА доц.Васильева О.А., проф.Уколова Н.В. ауд.4",
,13.40-15.10,пр.з.Социология С-409 доц. Булгаков С.В.,* * *
,,пр.з. Организация ипланирование плаеово сбытовой деятельности 419 проф.Панфилов А.В.,пр.з.Экономическая культура 418 асс.Ерзова П.И. проф.Уколова Н.В.
,15.20-16.50,,* * *
,,,пр.з. Организация ипланирование плаеово сбытовой деятельности 419 проф.Панфилов А.В.
,17.00-18.30,,
"а
т
о
б
б
у
С",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
,,,
