"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 3 курс",column_1,column_2,column_3
Дн,и Часы,Б-ППР-301 с 09.02.26 г.,Б-ТПП-301 с 02.02.26 г.
"к
и
н
ь
л
неде
По",8.30-10.00,,"лек. ТЕХНОЛОГИЯ ХРАНЕНИЯ И ПЕРЕРАБОТКИ ПРОДУКЦИИ РАСТЕНИЕВОДСТВА 332
доцент Киселева И.С."
,10.10-11.40,"пр.з Общ.физ.подготовка каф.ФиС
асс.Кошелев В.П.","лек. ТЕХНОЛОГИЯ ХРАНЕНИЯ И ПЕРЕРАБОТКИ ПРОДУКЦИИ ЖИВОТНОВОДСТВА С-224
профессор Неповинных Н.В."
,12.00-13.30,лаб.з. Основы биотехнологии С-217 проф.Садыгова М.К.,"пр.з Общ.физ.подготовка каф.ФиС
асс.Огаренков М.Д."
,,лаб.з. Технология мучных кондитерских изделий асс.Губенко Е.А.,
,13.40-15.10,лаб.з. Основы биотехнологии С-217 проф.Садыгова М.К.,
,,лаб.з. Технология мучных кондитерских изделий асс.Губенко Е.А.,
,15.20-16.50,лаб.з. Основы биотехнологии С-217 проф.Садыгова М.К.,
,,* * *,
,17.00-18.30,,
"к
и
н
р
Вто",8.30-10.00,лек. ТЕХНОЛОГИЯ МУЧНЫХ КОНДИТЕРСКИХ ИЗДЕЛИЙ доцент Буховец В.А. С-204,
,,лек. ТЕХНОЛОГИЯ МУЧНЫХ КОНДИТЕРСКИХ ИЗДЕЛИЙ доцент Буховец В.А. С-206,
,10.10-11.40,пр.з. Технология мучных кондтерских изделий С-206 асс.Губенко Е.А.,"лек.ОБОРУДОВАНИЕ ДЛЯ ПЕРЕРАБОТКИ ПРОДУКЦИИ ЖИВОТНОВОДСТВА 116
доцент Катусов Д.Н."
,,лек. ПИЩЕВЫЕ ДОБАВКИ профессор Неповинных Н.В. С-224,
,12.00-13.30,* * *,пр.з. Оборудование для переработкт продукции животноводства 116 доц.Катусов Д.Н.
,,ла.з. Пищевые добавки С-224 проф.неповинных Н.В.,лаб.з. Оборудование для переработки продукции животноводства 116 доц.Катусов Д.Н.
,13.40-15.10,* * *,лаб.з. Оборудование для переработки продукции животноводства 116 доц.Катусов Д.Н.
,,ла.з. Пищевые добавки С-224 проф.неповинных Н.В.,* * *
,15.20-16.50,,
,17.00-18.30,,
"реда
С",8.30-10.00,,"пр.з Общ.физ.подготовка каф.ФиС
асс.Огаренков М.Д."
,10.10-11.40,"пр.з Общ.физ.подготовка каф.ФиС
асс.Кошилев В.П.",лек.ТЕХНОХИМИЧЕСКИЙ КОНТРОЛЬ ПИЩЕВЫХ ПРОДУКТОВ доцент Фоменко О.С. С-152
,12.00-13.30,лек. ТЕХНОЛОГИЧЕСКОЕ ОБОРУДОВАНИЕ доцент Буттаев О.М. С-219,лаб.з.Технохимический контроль пищевых продуктов С-152 доц.Фоменко О.С.
,,пр.з. Технологическое обоорудование С-219 доц.Буттаев О.М.,
,13.40-15.10,лаб.з. Технологическое оборудование С-219 доц.Буттаев О.М.,
,15.20-16.50,,
,17.00-18.30,,
"рг
ве
Чет",8.30-10.00,,лаб.з.Теоретичкие технологии С-224 проф.Неповинных Н.В.
,10.10-11.40,лек. ОСНОВЫ БИОТЕХНОЛОГИИ профессор Садыгова М.К. С-206,лек.ТЕОРЕТИЧЕСКИЕ ТЕХНОЛОГИИ профессор Неповинных Н.В. С-224
,,пр.з. Основы биотехнологии С-206 проф.Садыгова М.К.,лек.ОБОРУДОВАНИЕ ДЛЯ ПЕРЕРАБОТКИ ПРОДУКЦИИ РАСТЕНИЕВОДСТВА доц.Буттаев О.М. С-219
,12.00-13.30,п е р е е з д,лек.ОБОРУДОВАНИЕ ДЛЯ ПЕРЕРАБОТКИ ПРОДУКЦИИ РАСТЕНИЕВОДСТВА доц.Буттаев О.М. С-219
,,,пр.з. Оборудование для переработки продукции растениеводства С-219 доц.Буттаев О.М.
,13.40-15.10,"лек.ОСНОВЫ СТРОИТЕЛЬСТВА доцент Панкова Т.В. УК№2,110",лаб.з.Оборудование для переработкт продукции ррастениеводства С-219 доц.Буттаев О.М.
,,"пр.з. Основы строительства УК№2,110 доц.Панкова Т.В.",
,15.20-16.50,"пр.з. Основы строительства УК№2,110 доц.Панкова Т.В.",
,,* * *,
,17.00-18.30,,
"ца
и
н
ят
П",8.30-10.00,,
,10.10-11.40,лек. ТЕХНОЛОГИЯ ПРОИЗВОДСТВА Х/Б ИЗДЕЛИЙ доц. Буховец В.А. С-206,
,,лек.ТЕХНОЛОГИЯ Х/Б ИЗДЕЛИЙ ДЛИТЕЛЬНОГО ХРАНЕНИЯ проф. Садыгова М.К. С-206,
,12.00-13.30,лаб.з. Технология производства х/б изделий С-217 доц.Буховец В.А.,
,,лаб.з. Технология х/б изделий длительного хранения С-217 асс.Земскова А.А.,
,13.40-15.10,лаб.з. Технология производства х/б изделий С-217 доц.Буховец В.А.,"лаб.з. Технология хранения и переаботки продукции растениеводства
С-204 асс.Мухамеджанова Ю.В."
,,лаб.з. Технология х/б изделий длительного хранения С-217 асс.Земскова А.А.,
,15.20-16.50,лаб.з. Технология производства х/б изделий С-217 доц.Буховец В.А.,лаб.з.Технология хранения и переаботки продукции растениеводства С-204 асс.Мухамеджанова Ю.В.
,,* * *,пр.з.Технология хранения и переработки продукции животноводства С-224 асс.Чивирова О.Н.
,17.00-18.30,,лаб.з.Технология хранения и переработки продукции животноводства С-224 асс.Чивирова О.Н.
Суббота,8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
,,,
