"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 3 курс",column_1,column_2
Дни,Часы,Б-УК-301 с 02.02.2026 г.
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,лек.ИНСТРУМЕНТЫ УПРАВЛЕНИЯ КАЧЕСТВОМ доцент Тяпаев Т.Б. 304
,10.10-11.40,пр.з. Инструменты управления качеством 304 ст.пр.Шутова О.А.
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,пр.з. Общая физ.подготовка ФиС ст.пр.Лаврухин А.С.
,10.10-11.40,лек. УПРАВЛЕНИЕ ЗАТРАТАМИ ПРОЦЕССОВ КАЧЕСТВА В ПТС доцент Тяпаев Т.Б. 304
,12.00-13.30,пр.з. Управление затратами процессов качества в ПТС 304 асс.Чупрыненко Е.А.
,13.40-15.10,пр.з. Управление затратами процессов качества в ПТС 304 асс.Чупрыненко Е.А.
,,* * *
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,лек. СРЕДСТВА И МЕТОДЫ УПРАВЛЕНИЯ КАЧЕСТВОМ доцент Тяпаев Т.Б. 419
,10.10-11.40,пр.з. Средства и методы управления качеством 419 ст.пр.Шутова О.А. 419
,,пр.з. Средства и методы управления качеством 419 ст.пр.Шутова О.А. 105
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,14.50-16.20,
,17.00-18.30,
,,
"г
р
е
в
т
е
Ч",8.30-10.00,пр.з. Общая физ.подготовка ФиС ст.пр.Лаврухин А.С.
,10.10-11.40,лек. СИСТЕМЫ КАЧЕСТВА доцент Тяпаев Т.Б. 304
,12.00-13.30,пр.з. Системы качества 304 ст.пр.Шутова О.А.
,13.40-15.10,пр.з. Системы качества 304 ст.пр.Шутова О.А.
,,пр.з. Средства и методы управления качеством 419 ст.пр.Шутова О.А. 304
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,лек.РАЗРАБОТКА СИСТЕМ УПРАВЛЕНИЯ КАЧЕСТВОМ доцент Тяпаев Т.Б. 304
,10.10-11.40,пр.з. Разработка систем управления качеством 304 асс.Синица В.В.
,12.00-13.30,пр.з. Разработка систем управления качеством 304 асс.Синица В.В.
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
т
о
б
б
у
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,12.00-13.30,
,,
