"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 4 курс",column_1,column_2
Дни,Часы,Б-ТОП-401 с 26.01.26 г.
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,"лек.ОСНОВЫ ВОЕННОЙ ПОДГОТОВКИ доцент Хизов А.В. УК№2, 438"
,10.10-11.40,"пр.з. Основы военной подготовки УК№2, 438 доц.Хизов А.В."
,12.00-13.30,"пр.з. Основы военной подготовки УК№2, 438 доц.Хизов А.В."
,13.40-15.10,* * *
,,"пр.з. Основы военной подготовки УК№2, 438 доц.Хизов А.В."
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,лаб.з. Технология организации диетическоого питания 1п/г С-142 доц.Кизиева А.С.
,10.10-11.40,лаб.з. Технология организации диетическоого питания 1п/г С-142 доц.Кизиева А.С.
,12.00-13.30,лек.ПРОИЗВОДСТВЕННЫЙ УЧЕТ В СФЕРЕ ОБЩЕСТВЕННОГО ПИТАНИЯ доц.Рысмухамбетова Г.Е. ауд.4
,13.40-15.10,"пр.з ОБЩ.ФИЗ.ПОДГОТОВКА каф.ФиС
проф.Милехин А.В."
,15.20-16.50,лаб.з. Организация кейтеринга 2 п/г С-142 асс. Фалько Д.О.
,17.00-18.30,лаб.з. Организация кейтеринга 2 п/г С-142 асс. Фалько Д.О.
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,лаб.з. Организация кейтеринга 1 п/г С-142 асс.Щербянов Р.Ш.
,12.00-13.30,лаб.з. Организация кейтеринга 1 п/г С-142 асс.Щербянов Р.Ш.
,13.40-15.10,лек. ОХРАНА ТРУДА НА ПРЕДПРИЯТИЯХ ОБЩЕСТВЕННОГО ПИТАНИЯ доцент Карпова О.В. 212
,15.20-16.50,пр.з. Охрана труда на предприятих общественного питания 212 доц.Карпова О.В.
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,лек. ОСНОВЫ БИЗНЕС- ПЛАНИРОВАНИЯ ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ доцент Руднев М.Ю. ауд.
,10.10-11.40,пр.з. Основы бизнес-планирования предприятий общественного питания доц.Руднев М.Ю. ауд.4
,12.00-13.30,лек. РЕКЛАМНАЯ ДЕЯТЕЛЬНОСТЬ ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ доцент Руднев М.Ю. ауд.5
,13.40-15.10,пр.з. Рекламная деятельность предприятий общественного питания доц. Руднев М.Ю. 419
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,лек. ОРГАНИЗАЦИЯ КЕЙТЕРИНГА доцент Рысмухамбетова Г.Е. С-149
,10.10-11.40,лек. ТЕХНОЛОГИЯ И ОРГАНИЗАЦИЯ ДИЕТИЧЕСКОГО ПИТАНИЯ доцент Кизиева А.С. С-149
,12.00-13.30,лаб.з. Технология организации диетическоого питания 2п/г С-142 доц.Кизиева А.С.
,13.40-15.10,лаб.з. Технология организации диетическоого питания 2п/г С-142 доц.Кизиева А.С.
,15.20-16.50,
,17.00-18.30,
"а
т
о
б
б
у
С",8.30-10.00,
,10.10-11.40,лаб.з. Производственный учет в сфере общественного питания 1п/г С-145 доц.Макарова А.Н.
,,лаб.з. Производственный учет в сфере общественного питания 2п/г С-145 асс.Зюзина С.С.
,12.00-13.30,лаб.з. Производственный учет в сфере общественного питания 1п/г С-145 доц.Макарова А.Н.
,,лаб.з. Производственный учет в сфере общественного питания 2п/г С-145 асс.Зюзина С.С.
,13.40-15.10,
,,
