"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 4 курс",column_1,column_2,column_3
Дни,Часы,Б-БТ 401 с 02.02.26 г.,Б-ПЖ 401 с 02.02.26 г.
"к
и
н
ь
л
де
не
о
П",8.30-10.00,лек. ТЕХНОЛОГИЧЕСКИЙ МЕНЕДЖМЕНТ В БИОТЕХНОЛОГИИ доцент Ханадеев 528,"пр.з.Общая физ.подотовка
КФиС доц.Правкина Я.Ю."
,,* * *,
,10.10-11.40,"пр.з.Технологический менеджмент в биотехнологии 516
доц.Волох",лек. ТХК В МЯСНОЙ ОТРАСЛИ доцент Левина Т.Ю. 135
,12.00-13.30,"пр.з.Промышленная биотехнология 509
доц.Горшунова С.В.",лек. ПАТЕНТОВЕДЕНИЕ доцент Киселева И.С. С-219
,13.40-15.10,,пр.з. Патентоведение С-219 доц. Киселева И.С.
,15.20-16.50,,
,17.00-18.30,,
"к
и
н
р
о
т
В",8.30-10.00,"лаб.з. АСУТП 115, 116
доц.Курако У.М., ст.пр.Сухов М.А.",лек. УПРАВЛЕНИЕ ПРОЕКТАМИ доцент Руднев М.Ю. 206
,10.10-11.40,"лаб.з. АСУТП 115, 116
доц.Курако У.М., ст.пр.Сухов М.А.",пр.з. Управление проектами 206 доц.Руднев М.Ю.
,12.00-13.30,п е р е е з д,лаб.з. Технология производства П/Ф и БЗБ 135 ст.пр.Сухов М.А.
,13.40-15.10,"пр.з.Основы военной подготовки УК№2,438
ст.пр.Билыч А.С.",лаб.з. Технология производства П/Ф и БЗБ 135 ст.пр.Сухов М.А.
,15.20-16.50,"пр.з.Основы военной подготовки УК№2,438
ст.пр.Билыч А.С.",
,17.00-18.30,,
"а
д
ре
С",8.30-10.00,,лек.ТЕХНОЛОГИЯ МЯСА И МЯСНЫХ ПРОДУКТОВ доцент Левина Т.Ю. 206
,,,лек.ТЕХНОЛОГИЯ ПРОИЗВОДСТВА П/Ф И БЗБ доцент Андреева С.В. 206
,10.10-11.40,,лек.ТЕХНОЛОГИЯ МЯСА И МЯСНЫХ ПРОДУКТОВ доцент Левина Т.Ю. 135
,12.00-13.30,лек. ПРОМЫШЛЕННАЯ БИОТЕХНОЛОГИЯ доцент Осина Т.С. 530,лаб.з.Технология мяса и мясных продуктов 135 асс.Крелин Д.Н.
,,лек. ТЕХНОЛОГИЧЕСКИЙ МЕНЕДЖМЕНТ В БИОТЕХНОЛОГИИ доцент Ханадеев 530,
,13.40-15.10,лек.ФАРМАЦЕВТИЧЕСКАЯ БИОТЕХНОЛОГИЯ доцент Древко Я.Б. 530,лаб.з.Технология мяса и мясных продуктов 135 асс.Крелин Д.Н.
,15.20-16.50,лаб.з.Фармацевтич.биотехнология 1п/г 530 доц.Абрамова,
,17.00-18.30,лаб.з.Фармацевтич.биотехнология 1п/г 530 доц.Абрамова,
,,* * *,
"г
р
ве
т
Че",8.30-10.00,,
,10.10-11.40,лек.ОРГАНИЗАЦИЯ И УПРАВЛЕНИЕ ПРОИЗВОДСТВОМ профессор Панфилов А.В. ауд.5,
,12.00-13.30,"пр.з. Организация и управление производством 528
проф.Панфилов А.В.",лек.ТЕХНОЛОГИЯ ПРОИЗВОДСТВА П/Ф И БЗБ доцент Андреева С.В. 206
,,,лек.ТЕХНОЛОГИЯ МЯСА И МЯСНЫХ ПРОДУКТОВ доцент Левина Т.Ю. 206
,13.40-15.10,лаб.з.Фармацевтич.биотехнология 2п/г 538 доц.Абрамова,"пр.з.Общая физ.подотовка
КФиС доц.Правкина Я.Ю."
,15.20-16.50,лаб.з.Фармацевтич.биотехнология 2п/г 538 доц.Абрамова,лаб.з. ТХК в мясной отрасли 135 асс.Асеева Е.Ю.
,,* * *,
,17.00-18.30,,лаб.з. ТХК в мясной отрасли 135 асс.Асеева Е.Ю.
"а
ц
и
н
т
я
П",8.30-10.00,"пр.з.Промышленная биотехнология 532
доц.Горшунова С.В.",
,10.10-11.40,лек. А С У Т П доцент Катусов Д.Н. 116,
,12.00-13.30,лек. ПРОМЫШЛЕННАЯ БИОТЕХНОЛОГИЯ доцент Смутнев П.В. 515,
,13.40-15.10,,"лек.ОСНОВЫ ВОЕННОЙ ПОДГОТОВКИ доцент Хизов А.В. УК№2,438"
,15.20-16.50,,"пр.з.Основы военной подготовки УК№2,438 доц.Хизов А.В."
,17.00-18.30,,"пр.з.Основы военной подготовки УК№2,438 доц.Хизов А.В."
"а
т
о
б
б
у
С",8.30-10.00,,
,10.10-11.40,"лек.ОСНОВЫ ВОЕННОЙ ПОДГОТОВКИ доцент Палади А.А. УК№2, 438",
,,* * * *,
,12.00-13.30,"лек.ОСНОВЫ ВОЕННОЙ ПОДГОТОВКИ доцент Палади А.А. УК№2, 438",
,,* * * *,
,13.40-15.10,,
,,,
