"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 4 курс",column_1,column_2,column_3
Дни,Часы,Б-ЗТ 401 с 19.01.26 г.,Б-ВБ 401 с 09.02.26 г.
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,лек.ДОПОЛНИТЕЛЬНЫЕ ОТРАСЛИ ЖИВ-ВА доцент Бирюков О.И. 403,"Общая физ.подготовка КФиС
ст.пр.Лаврухин А.С."
,10.10-11.40,лек. БИЗНЕС-ПЛАНИРОВАНИЕ доцент Руднев М.Ю. 403,лек. ИНДУСТРИАЛЬНОЕ РЫБОВОДСТВО доцент Руднева О.Н. 410
,12.00-13.30,пр.з. Бизнес-планирование 403 доц.Руднев М.Ю.,"лаб.з. Индустриальное рыбоводство 1п/г асс.Исаков 434
лаб.з.Санитарная гидротехника 2п/г асс.Васильев А.А. 343"
,13.40-15.10,,
,15.20-16.50,,
,17.00-18.30,,
"к
и
н
р
о
т
В",8.30-10.00,лаб.з. Дополнительные отрасли животноводства 403 доц.Бирюков О.И.,лаб.з. Безопасность кач-ва рыбной продукции 2п/г С-245
,,,лаб.з. Промысловая ихтиология 2п/г С-305 доц.Гуркина О.А.
,10.10-11.40,лаб.з. Дополнительные отрасли животноводства 403 доц.Бирюков О.И.,лаб.з. Промысловая ихтиология 2п/г С-305 доц.Гуркина О.А.
,12.00-13.30,лаб.з. Дополнительные отрасли животноводства 403 доц.Бирюков О.И.,"лаб.з. Индустриальное рыбоводство С-305,410
доц.Руднева О.Н., асс.Исаков"
,13.40-15.10,,"лаб.з. Индустриальное рыбоводство С-305 2п/г доц.Руднева О.Н.
лаб.з. Безопасность кач-ва рыбной продукции 1п/г С-245доц.Салаутина С.Е."
,15.20-16.50,,лаб.з. Безопасность кач-ва рыбной продукции 1п/г С-245доц.Салаутина С.Е.
,,,лаб.з. Промысловая ихтиология 1п/г С-305 доц.Гуркина О.А.
,17.00-18.30,,лаб.з. Промысловая ихтиология 1п/г С-305 доц.Гуркина О.А.
"а
д
е
р
С",8.30-10.00,,"Общая физ.подготовка КФиС
ст.пр.Лаврухин А.С."
,10.10-11.40,лек. ПТИЦЕВОДСТВО доцент Бирюков О.И. 403,лек.ПРОМЫСЛОВАЯ ИХТИОЛОГИЯ доцент Гуркина О.А. С-305
,12.00-13.30,лек. ИНТЕНСИФИКАЦИЯ ПР-ВА СВИНИНЫ доцент Бирюков О.И. 403,лек.БЕЗОПАСНОСТЬ КАЧ-ВА РЫБНОЙ ПРОДУКЦИИ доц.Салаутина С.Е. С-245
,13.40-15.10,пр.з. Птицеводство 403 доц.Бирюков О.И.,лаб.з. Безопасность кач-ва рыбной продукции 2п/г С-245
,15.20-16.50,,
,17.00-18.30,,
"г
р
е
в
т
е
Ч",8.30-10.00,"лек.КОНТРОЛЬ И ОЦЕНКА КАЧ-ВА МОЛОКА
доц.Салаутина С.Е. С-245",
,10.10-11.40,"лаб.з.Контроль и оценка кач-ва молока
С-245 Салаутина",лек.САНИТАРНАЯ ГИДРОТЕХНИКА доцент Руднева О.Н. 434
,12.00-13.30,,лек.РЕСУРСОСБЕРЕГАЮЩИЕ ТЕХНОЛОГИИ доцент Руднева О.Н. 406
,13.40-15.10,,пр.з. Ресурсосберегающие технологии 434 доц.Руднева О.Н.
,15.20-16.50,,"лаб.з. Санитарная гидротехника С-305,С-305а
доц.Гуркина О.Н.,асс. Васильев А.А."
,17.00-18.30,,
"а
ц
и
н
т
я
П",8.30-10.00,лек.РЕСУРСОСБЕР.ТЕХН.ПР-ВА ГОВЯДИНЫ доцент Шингалов В.А. 341,"лек. ОСНОВЫ ВОЕННОЙ ПОДГОТОВКИ доцент Хизов А.В. УК№2, 438"
,,,* * *
,10.10-11.40,пр.з. Ресурсосберегающме технологии пр-ва говядины 341 асс.Белов А.Ф.,"пр.з. Основы военной подготовки УК№2, 438
доц.Хизов А.В."
,12.00-13.30,"лаб.з. Интенсификация производства свинины 341
Белов А.Ф.","пр.з. Основы военной подготовки УК№2, 438
доц.Хизов А.В."
,13.40-15.10,,
,15.20-16.50,,
"а
т
о
б
б
у
С",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
,,,
