"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 4 курс",column_1,column_2,column_3
Дни,Часы,Б-ППР-401 с 02.02.26 г.,Б-ТПП-401 с 02.02.26 г.
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,лек. СТАНДАРТИЗАЦИЯ И СЕРТИФИКАЦИЯ доцент Колотова Н.А. С-206,
,10.10-11.40,пр.з. Стандартизация и сертификация С-206 доц.Колотова Н.А.,
,12.00-13.30,пр.з. Основы эксплуатации технологического оборудования 332 проф.Рудик Ф.Я.,
,13.40-15.10,пр.з. Основы эксплуатации технологического оборудования 332 проф.Рудик Ф.Я.,"лек.ТЕХНОЛОГИЧЕСКОЕ ПРОЕКТИРОВАНИЕ доцент Белова М.В. УК№1, 245"
,15.20-16.50,,"пр.з. Технологическое проектирование УК№1, 245 доц.Белова М.В."
,17.00-18.30,,"пр.з. Технологическое проектирование УК№1, 245 доц.Белова М.В."
"к
и
н
р
о
т
В",8.30-10.00,"лек. ОРГАНИЗАЦИЯ ПРОИЗВОДСТВА профессор Панфилов А.В. УК№2,307","лек.МАТ.МОДЕЛИРОВАНИЕ доцент Кочегарова О.С. УК№2, 351"
,10.10-11.40,"лек. ОСНОВЫ ВОЕННОЙ ПОДГОТОВКА доцент Хизов А.В. УК№2, 438","пр.з. Мат.моделирование УК№ 2, 351 доц.Кочегарова О.С."
,12.00-13.30,п е р е е з д,пр.з. Охрана труда УК№ 2 518а ст.пр.Марынова Т.А.
,13.40-15.10,пр.з. Организация производства 418 доц.Руднев М.Ю.,
,15.20-16.50,пр.з. Организация производства 418 доц.Руднев М.Ю.,
,17.00-18.30,,
"а
д
е
р
С",8.30-10.00,,
,10.10-11.40,,лек. ЭКСПЛУАТАЦИЯ ОБОРУДОВАНИЯ профессор Рудик Ф.Я. ауд.5
,12.00-13.30,"лек.РАЗРАБОТКА ТЕХНИЧЕСКОЙ И НОРМАТИВНОЙ ДОКУМЕНТАЦИИ
профессор Попова О.М. С-145",пр.з. Эксплуатация оборудования 332 проф.Рудик Ф.Я.
,13.40-15.10,пр.з.Разработка технической и нормативной документации С-145 проф.Попова О.М.,пр.з. Деловой этикет С-151 доц.Фоменко О.С.
,15.20-16.50,лаб.з. Основы эксплуатации технологического оборудования 332 проф.Рудик Ф.Я.,
,,* * *,
,17.00-18.30,,
"г
р
е
в
т
е
Ч",8.30-10.00,"пр.з. Основы военной подготовки УК №2, 438 доц.Хизов А.В.",
,10.10-11.40,"пр.з. Основы военной подготовки УК №2, 438 доц.Хизов А.В.",* * *
,,,лек. ДЕЛОВОЙ ЭТИКЕТ доцент Фоменко О.С. С-145
,12.00-13.30,п е р е ез д,* * *
,,,лек. ПАТЕНТОВЕДЕНИЕ доцент Моргунова Н.Л. 332
,13.40-15.10,лек. ТАРА И УПАКОВКА профессор Панфилов А.В. 214,пр.з. Патентоведение 332 доц. Фоменко О.С.
,,,* * *
,15.20-16.50,пр.з. Тара и упаковка 214 проф.Панфилов А.В.,пр.з. Патентоведение 332 доц. Фоменко О.С.
,,,* * *
,16.30-18.00,,
"а
ц
и
н
т
я
П",8.30-10.00,,
,10.10-11.40,лек.ОСНОВЫ ЭКСПЛУАТАЦИИ ТЕХНОЛОГИЧЕСКОГО ОБОРУДОВАНИЯ проф.Рудик Ф.Я. 332,* * *
,,,лек. ОХРАНА ТРУДА доцент Карпова О.В. 212
,12.00-13.30,пр.з. Стандартизация и сертификация С-152 доц.Колотова Н.А.,лек.ОСНОВЫ ПРЕДПРИНИМАТЕЛЬСТВА доцент Петрова И.В. 435
,13.40-15.10,* * *,пр.з. Основы предпринимательства 206 асс.Сахно Э.С.
,,пр.з. Стандартизация и сертификация С-152 доц.Колотова Н.А.,
,15.20-16.50,,
,17.00-18.30,,
"а
т
о
б
б
у
С",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
,,,
