"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 3 курс",column_1,column_2
Дни,Часы,Б-АИ-305 с 09.02.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,лек.ТЕХНИЧЕСКИЕ СРЕДСТВА АВТОМАТИЗИРОВАННОГО УПРАВЛЕНИЯ АПК доц. Евстафьев Д.П. 300
,,лаб.з.технические средства автоматизированного управления АПК ЕвстафьевД.П.КузнецовА.А.300
,12.00-13.30,"лаб.з. силовая электроника агророботизированных комплексов
Менщиков И.А.ИщенкоА.П. КузнецовА.А. 413"
,13.40-15.10,лек.СИЛОВАЯ ЭЛЕКТРОНИКА АГРОРОБОТИЗИРОВАННЫХ КОМПЛЕКСОВ доц. Менщиков И.А. 413
,,
,15.20-16.50,лек. САПР АГРОРОБОТИЗИРОВАННЫХ СРЕДСТВ И КОМПЛЕКСОВ доц. Азизов И.Р.520
,,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,"лаб.з. тракторы и автомобили
Нестеров Е.С. Старцев А.С. 33"
,12.00-13.30,пр.з. механизация и управление технологическими процессами с.х. производства Старцев А.С.138
,,лаб.з. тракторы и автомобили Нестеров Е.С. Старцев А.С 33
,13.40-15.10,"лек. МЕХАНИЗАЦИЯ И УПРАВЛЕНИЕ ТЕХНОЛОГИЧЕСКИМИ ПРОЦЕССАМИ С.Х. ПРОИЗВОДСТВА
проф. Старцев А.С. 138"
,15.20-16.50,"лаб.з. механизация и управление технологическими процессами с.х. производства
Старцев А.С. Демин Е.Е. 138"
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,"лек. ИНТЕЛЛЕКТУАЛЬНЫЕ СИСТЕМЫ В АПК
доц. Анисимов С.А. 123"
,12.00-13.30,"лаб.з. интеллектуальные системы в АПК
Анисимов С.А. 123"
,13.40-15.10,лек. МЕХАНИЗАЦИЯ И УПРАВЛЕНИЕ ТЕХНОЛОГИЧЕСКИМИ ПРОЦЕССАМИ С.Х. ПРОИЗВОДСТВА проф. Старцев А.С. 138
,,лаб.з. электрические машины и исполнительные механизмы Иванкина Ю.В. Абзалов М.А. 201
,15.20-16.50,лаб.з. механизация и управление технологическими процессами с.х. производства Старцев А.С. Нестеров Е.С. 138
,,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,"лаб.з. САПР агророботизированных средств и комплексов
Азизов И.Р. 531"
,12.00-13.30,лек. ТРАКТОРЫ И АВТОМОБИЛИ доц. Нестеров Е.С.33б
,,лек.ТЕОРИЯ ХОДОВЫХ СИСТЕМ АГРОРОБОТИЗИРОВАННЫХ СРЕДСТВ И КОМПЛЕКСОВ доц. Русинов А.В. 123
,13.40-15.10,"пр.з. общая физическая подготовка
Нефедова Ю.В. сок"
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,"лаб.з. теория ходовых систем агророботизированных средств и комплексов
Русинов А.В. Азизов И.Р. 125"
,12.00-13.30,"лек.ЭЛЕКТРИЧЕСКИЕ МАШИНЫ И ИСПОЛНИТЕЛЬНЫЕ МЕХАНИЗМЫ
доц. Иванкина Ю.В. 205"
,13.40-15.10,"лаб.з. электрические машины и исполнительные механизмы
Иванкина Ю.В. Абзалов М.А. 205"
,15.20-16.50,
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
