"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 3 курс",column_1,column_2
Дни,Часы,Б-СТ-301 с 02.02.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,"пр.з. общая физическая подготовка
Шишкина Т.Г. сок"
,10.10-11.40,"лек. ГАЗОСНАБЖЕНИЕ доц. Елисеев С.С. 107
пр.з. газоснабжение Елисеев С.С. 107"
,12.00-13.30,"лек. ТЕПЛОСНАБЖЕНИЕ доц.Федюнина Т.В. 500
пр.з. теплоснабжение Федюнина Т.В. 500"
,13.40-15.10,"лаб.з. газоснабжение
Горбачева А.В. 107"
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,лек. ОТОПЛЕНИЕ доц.Федюнина Т.В. 500
,,пр.з. отопление Стоянов К.Ю. 500
,10.10-11.40,"лаб.з. отопление
Федюнина Т.В. 500"
,12.00-13.30,"лаб.з. теплоснабжение
Федюнина Т.В. Серебряков С.А. 500"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,лек. ВЕНТИЛЯЦИЯ доц. Орлова С.С. 501а
,,пр.з. вентиляция Орлова С.С. 501а
,12.00-13.30,лек. ДЕТАЛИ МАШИН доц. Левченко Г.В. 423
,,лб.з. детали машин Левченко Г.В. Павлов П.И. 423
,13.40-15.10,"лек. ОСНОВЫ МЕТРОЛОГИИ И СТАНДАРТИЗАЦИИ В СИСТЕМАХ ТЕПЛО-,ГАЗОСНАБЖЕНИЯ доц. Горбушин П.А. 122"
,,"лаб.з. основы метрологии и стандартизации в системах тепло-,газоснабжения Березкин А.С. 122"
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,лек. ЭЛЕКТРОСНАБЖЕНИЕ С ОСНОВАМИ ЭЛЕКТРОТЕХНИКИ доц. Евстафьев Д.П. 200
,,
,10.10-11.40,пр.з. теплогенерирующие установки Михеева О.В. 503
,,
,12.00-13.30,"пр.з. общая физическая подготовка
Шишкина Т.Г. сок"
,13.40-15.10,"лаб.з. электроснабжение с основами электротехники
Евстафьев Д.П. 200"
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,лек. ТЕПЛОГЕНЕРИРУЮЩИЕ УСТАНОВКИ доц. Михеева О.В. 503
,,
,12.00-13.30,"лаб.з. теплогенерирующие установки
Михеева О.В. Стоянов К.Ю. 503"
,13.40-15.10,"лаб.з. вентиляция
Орлова С.С. 501а"
,15.20-16.50,
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
