"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 4 курс",column_1,column_2,column_3
Дни,Часы,Б-АИ-ТО-401 26.01.26,
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,,
,,лаб.з. методы и средства измерения диагностических параметров в тех. сервисе Исмаилов И. Постников С.Е.117 121,
,10.10-11.40,"лаб.з. проектирование предприятий технического сервиса
Венскайтис В.В. Савенков А.С. 520",
,12.00-13.30,"лаб.з. проектирование предприятий технического сервиса
Венскайтис В.В. Савенков А.С. 520",
,13.40-15.10,,
,15.20-16.50,,
,17.00-18.30,,
"к
и
н
р
о
т
В",8.30-10.00,,
,10.10-11.40,лек. ДИЛЕРСКАЯ СЛУЖБА В ТЕХНИЧЕСКОМ СЕРВИСЕ доц. Венскайтис В.В. 121,
,,лаб.з. управление качеством и техническими процессами на предприятиях т.с. Комаров Ю.В. 117,
,12.00-13.30,"лек. УПРАВЛЕНИЕ КАЧЕСТВОМ И ТЕХНОЛОГИЧЕСКИМИ ПРОЦЕССАМИ НА ПРЕДПРИЯТИЯХ ТС
доц. Комаров Ю.В. 117",
,13.40-15.10,"лаб.з. управление качеством и техническими процессами на предприятиях технического сервиса
Комаров Ю.В. 117",
,15.20-16.50,,
,17.00-18.30,,
"а
д
е
р
С",8.30-10.00,,
,10.10-11.40,лек. МЕТОДЫ И СРЕДСТВА ИЗМЕРЕНИЯ ДИАГНОСТИЧЕСКИХ ПАРАМЕТРОВ В ТС доц. Комаров Ю.В. 117,
,,лек.СРЕДСТВА УПРАВЛЕНИЯ РОБОТИЗИРОВАННЫМИ СИСТЕМАМИ В ТС доц. Горбушин П.А 122,
,12.00-13.30,"лек. ТЕХНОЛОГИЯ РЕМОНТА ТРАКТОРОВ И АВТОМОБИЛЕЙ В АПК
доц. Горбушин П.А. 117",
,13.40-15.10,"лек. ПРОЕКТИРОВАНИЕ ПРЕДПРИЯТИЙ ТЕХНИЧЕСКОГО СЕРВИСА
проф. Шишурин С.А. 115",
,15.20-16.50,,
,17.00-18.30,,
"г
р
е
в
т
е
Ч",8.30-10.00,,
,10.10-11.40,"лаб.з. технология ремонта тракторов и автомобилей в АВК
Исаев А.Д. 117",
,12.00-13.30,"лаб.з. технология ремонта тракторов и автомобилей в АВК
Исаев А.Д. 117",
,13.40-15.10,"лаб.з. средства управления роботизированными системами в техническом сервисе
Исаев А.Д. Меденко А.А. 117",
,15.20-16.50,,
,17.00-18.30,,
"а
ц
и
н
т
я
П",8.30-10.00,пр.з. основы научных исследований в агроинженерии Павлов П.И. 431,
,,,
,10.10-11.40,лек. ОСНОВЫ НАУЧНЫХ ИССЛЕДОВАНИЙ В АГРОИНЖЕНЕРИИ проф. Павлов П.И. 202,
,,,
,12.00-13.30,"лаб.з. ремонт типовых агрегатов
Венскайтис В.В. 118",
,13.40-15.10,лаб.з. дилерская служба в техническом сервисе Венскайтис В.В. Меденко А.А. 121,
,,лек. РЕМОНТ ТИПОВЫХ АГРЕГАТОВ доц. Венскайтис В.В. 121,
,15.20-16.50,,
,,,
,17.00-18.30,,
"а
т
о
б",8.30-10.00,,
,10.10-11.40,,
"б
у
С",12.00-13.30,,
,13.40-15.10,,
