"Расписание занятий
на 2 семестр 2024-2025 учебного года
институт биотехнологии 1 курс",column_1,column_2
Дни,Часы,М-ТОП-101 с 29.12.2025
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,
,12.00-13.30,лаб.з.Инновационные технологии продуктов рационального питания 1п/г С-142 доц. ФоменкоО.С.
,,лаб.з.Инновационные технологии продуктов рационального питания 2п/г С-142 доц. ФоменкоО.С.
,13.40-15.10,лаб.з.Инновационные технологии продуктов рационального питания 1п/г С-142 доц. ФоменкоО.С.
,,лаб.з.Инновационные технологии продуктов рационального питания 2п/г С-142 доц. ФоменкоО.С.
,15.20-16.50,лаб.з. Оптимизация технологических процессов на предприятиях индустрии питания 2п/г С-145 доц.Макарова А.Н.
,,лаб.з. Оптимизация технологических процессов на предприятиях индустрии питания 1п/г С-145 доц.Макарова А.Н.
,17.00-18.30,лаб.з. Оптимизация технологических процессов на предприятиях индустрии питания 2п/г С-145 доц.Макарова А.Н.
,,лаб.з. Оптимизация технологических процессов на предприятиях индустрии питания 1п/г С-145 доц.Макарова А.Н.
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,пр.з. Оптимизация технологических процессов на предприятиях индустрии питания С-140 доц.Макарова А.Н.
,15.20-16.50,пр/з Технологические аспекты диетического питания С-140 проф.Попова О.М.
,17.00-18.30,пр.з.Документооборот и нормир.деятельности на пред-ях питания С-140 доц. Рысмухамбетова Г.Е.
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,лек.НУТРИЦИОЛОГИЯ И ТЕХНОЛОГИЯ СОВРЕМЕННЫХ ПРОДУКТОВ ПИТАНИЯ доц.Рысмухамбетова Г.Е. С-140
,,* * *
,12.00-13.30,пр/з Нутрициология и технология современных продуктов питания С-140 доц. Белова М.В.
,,лек.ИННОВАЦИИ В ОРГАНИЗАЦИИ ПР-ВА И ОБСЛУЖИВАНИЯ НА ПР-ЯХ ПИТАНИЯ доц.Макарова А.Н. С-140
,13.40-15.10,лек.ПРОИЗВОДСТВЕННЫЙ КОНТРОЛЬ И БЕЗОП.ТЕХНОЛ.ПРОЦЕССОВ проф. Попова О.М. С-140
,,лаб.з.Производственный контроль и безопасность технологических процессов С-140 проф.Попова О.М.
,15.20-16.50,* * *
,,лаб.з.Производственный контроль и безопасность технологических процессов С-140 проф.Попова О.М.
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,лаб.з. Инновации в организации производства и обслуживания 2п/г С-149 доц.Макарова А.Н.
,,лаб.з. Инновации в организации производства и обслуживания 1п/г С-149 доц.Макарова А.Н.
,13.40-15.10,пр.з.Высокотенологичные пр-ва продуктов питания С-149 доц.Макарова А.Н.
,15.20-16.50,лаб.з.Высокотехнологичные пр-ва продуктов питания 1п/г С-142 доц.Макарова А.Н.
,,лаб.з.Высокотехнологичные пр-ва продуктов питания 2п/г С-142 доц.Макарова А.Н.
,17.00-18.30,лаб.з.Высокотехнологичные пр-ва продуктов питания 1п/г С-142 доц.Макарова А.Н.
,,лаб.з.Высокотехнологичные пр-ва продуктов питания 2п/г С-142 доц.Макарова А.Н.
"а
т
о
б
б
у
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,,
