"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 1 курс",column_1,column_2
Дни,Часы,М-ППР-ТМП-101 с 26.01.26 г.
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,* * *
,,"лек.ПСИХОЛОГИЯ ПРОФ, КАРЬЕРЫ И САМОМАРКЕТИНГА доц.Капичников А.И. С-409"
,17.00-18.30,* * *
,,пр.з. Психология проф.карьеры и самомаркетинга С-409 доц.Капичников А.И.
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,лек. ХИМИЯ ЖИРОВ проф.Неповинных Н.В. С-224
,,* * *
,12.00-13.30,лаб.з. Химия жиров С-224 проф.Неповинных Н.В.
,,лек.ПРИМЕНЕНИЕ ПРИНЦИПОВ ХАССП ПРИ ПР-ВЕ М/Ж ПРОДУКЦИИ доц.Киселева И.С. С-152
,13.40-15.10,пр.з. Применение принципов ХАССП при пр-ве м/ж проукции С-152 доц.Киселева И.С.
,15.20-16.50,пр.з. Химия жиров С-224 проф.Неповинных Н.В.
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,"лек.ИННОВАЦИОННЫЕ ТЕХНОЛГИИ И ПРОЦЕССЫ ДЛЯ ПР-ВА ВЫСОКОКАЧ, РАСТ.МАСЕЛ доц.Киселева И.С. С-206"
,,* * *
,13.40-15.10,лаб.з. Инновационные технологии и процессы для пр-ва высокоач.раст.масел С-206 доц.Киселева И.С.
,,* * *
,15.20-16.50,лаб.з. Инновационные технологии и процессы для пр-ва высокоач.раст.масел С-206 доц.Киселева И.С.
,,* * *
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,лек.БЕРЕЖЛИВОЕ ПРОИЗВОДСТВО МЖИ проф.Карабаева М.Э. С-152
,,лек.МЕТОДЫ ИДЕНТИФИКАЦИИ И ЭКСПЕРТИЗЫ М/Ж ПРОДУКЦИИ проф.Карабаева М.Э. С-152
,15.20-16.50,пр.з. Бережливое производство МЖИ С-152 проф.Карабаева М.Э.
,,лаб.з. Методы идентификации и экспертизы м/ж продукции С-152 проф.Карабаева М.Э.
,17.00-18.30,* * *
,,пр.з. Методы идентификации и экспертизы м/ж продукции С-152 проф.Карабаева М.Э.
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,лек.ВЫСОКОТЕХНОЛОГИЧНОЕ ОБОРУДОВАНИЕ ДЛЯ МЖИ доц.Буттаев О.М. С-219
,,лек. БИОКОНВЕРСИЯ РАСТИТЕЛЬНОГО СЫРЬЯ доц. Макарова А.Н. С-140
,12.00-13.30,пр.з. Высокотехнологичное оборудование для МЖИ С-219 доц.Буттаев О.М.
,13.40-15.10,* * *
,,лаб.з. Высокотехнологичное оборудование для МЖИ С-219 доц.Буттаев О.М.
,15.20-16.50,
,17.00-18.30,
"а
т
о
б
б
у
С",8.30-10.00,пр.з. Биоконверсия растительного сырья С-206 асс.Рыбин М.Б.
,,* * *
,10.10-11.40,лаб.з. Биоконверсия растительного сырья С-206 асс.Рыбин М.Б.
,,* * *
,12.00-13.30,
,13.40-15.10,
,,
