"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 1 курс",column_1,column_2
Дни,Часы,М-ЗТ-ОП-101 с 26.01.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,лек.МЕТОДОЛОГИЯ И МЕТОДЫ НАУЧНЫХ ИССЛЕДОВАНИЙ В ЖИВОТНОВОДСТВЕ проф.Москаленко С.П. 434
,,лек.БИОЛОГИЧЕСКИЕ ОСНОВЫ ПОЛНОЦЕННОГО КОРМЛЕНИЯ МОНОГАСТРИЧНЫХ ЖИВОТНЫХ проф.Москаленко С.П. 434
,12.00-13.30,пр.з. Методология и методы научных исследований в животноводстве 434 проф.Москаленко С.П.
,,пр.з.Биологические основы полноценного кормления моногастричных животных 434 проф.Москаленко С.П.
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,лек.ОСОБЕННОСТИ КОРМЛЕНИЯ ЖИВОТНЫХ В УСЛОВИЯХ ПОВОЛЖЬЯ проф.Москаленко С.П. 410
,,лек.ТЕХНОЛОГИЯ ПРОИЗВОДСТВА КОМБИКОРМОВ ДЛЯ С/Х ЖИВОТНЫХ проф.Москаленко С.П. 410
,12.00-13.30,пр.з. Особенности кормления животных в условиях Поволжья 410 проф.Москаленко С.П.
,,пр.з. Технология производства комбикормов для с/х животных 410 проф.Москаленко С.П.
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,"лек.ОСОБЕННОСТИ КОРМЛЕНИЯ КОРОВ В УСЛОВИЯХ КРУПНЫХ АПК
профессор Москаленко С.П. 434"
,10.10-11.40,пр.з. Особенности кормления коров в условиях крупных АПК 434 проф.Москаленко С.П.
,12.00-13.30,пр.з. Особенности кормления коров в условиях крупных АПК 434 проф.Москаленко С.П.
,,лек.УПРАВЛЕНИЕ ПРОЕКТАМИ доцент Руднев М.Ю. С-208
,13.40-15.10,пр.з. Управление проектами 403 доц.Руднев М.Ю.
,15.20-16.50,
,17.00-18.30,
"а
т
о
б
б
у
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,,
