"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 1 курс",column_1,column_2
Дни,Часы,М-УК-О-101 с 12.01.26 г.
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"пр.з. Основы научных исследований, организация и планирование эксперимента
418 ст.преп.Шутова О.А."
,15.20-16.50,лек.ОРГАНИЗАЦИЯ РАБОТЫ В МАЛЫХ ГРУППАХ С-413 доцент Измайлова Ю.М.
,,пр.з. Организация работы в малых группах С-413 доц.Измайлова Ю.М.
,17.00-18.30,пр.з. Организация работы в малых группах С-413 доц.Измайлова Ю.М.
"к
и
н
р
о
т
В",8.30-10.00,лек.УПРАВЛЕНИЕ РИСКАМИ В СИСТЕМАХ ОБЕСПЕЧЕНИЯ КАЧЕСТВОМ доц.Бабаян И.В. 343
,,* * *
,10.10-11.40,пр.з. Управление рисками в системах обеспечения кач-ом 343 асс.Синица В.В.
,12.00-13.30,пр.з. Управление проектами доц.Руднев М.Ю. 343
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,пр.з. Управление процессами инжиниринга и реинжиниринга 418 асс.Синица В.В.
,15.20-16.50,пр.з. Организация контроля качества и проведения испытаний 418 асс. Синица В.В.
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,лек. УПРАВЛЕНИЕ ИНТЕЛЛЕКТУАЛЬНОЙ СОБСТВЕННОСТЬЮ доц.Рубанова М.Е. С-208
,,пр.з. Управление интеллектуальной собственностью С-208 доц.Рубанова М.Е.
,15.20-16.50,пр.з. Современные методы всеобщего управления качесвом С-208 асс.Синица В.В.
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
т
о
б
б
у
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
Начальник ООУП Юдина М.Р.,,
