"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт биотехнологии 2 курс",column_1,column_2
Дни,Часы,М-БТ-БТ-201 с 22.12.25 г.
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,лек. БИОРЕДИМАЦИЯ доц.Спиряхина Т.В. 530
,17.00-18.30,лаб.з. Биоредимация 530 доц.Спиряхина Т.В.
"к
и
н
р
о
т
В",8.30-10.00,"лек.СИСТЕМЫ ОРГАНИЗАЦИИ,КОНТРОЛЯ И УПРАВЛЕНИЯ БИОТЕХНОЛОГИЧЕСКИМИ
ПРОЦЕССАМИ И ПРОИЗВОДСТВОМ доц. Осина Т.С. 538"
,10.10-11.40,"лек.СИСТЕМЫ ОРГАНИЗАЦИИ,КОНТРОЛЯ И УПРАВЛЕНИЯ БИОТЕХН.
ПРОЦЕССАМИ И ПРОИЗВОДСТВОМ доц.Осина Т.С. 538"
,12.00-13.30,лаб.з. Биоредимация 526 доц.Спиряхина Т.В.
,,"пр.з.Системы организации,контроля и управления биотехнологическими процессами и производством 538 ст.пр.Кичемазова Н.В."
,13.40-15.10,* * *
,,лаб.з. Биоредимация 509 доц.Спиряхина Т.В.
"а
д
е
р
С",8.30-10.00,"лек.БИОТЕХНОЛОГИЯ ПОЛУЧЕНИЯ ДИАГНОСТИЧЕСКИХ И ПРОФИЛАКТИЧЕСКИХ ПРЕПАРАТОВ
ДЛЯ ЖИВОТНОВОДСТВА И РАСТЕНИВОДСТВА доц. Волох 528"
,10.10-11.40,"пр.з. Системы организации,контроля и управления биотехнологическими процессами и производством
526 ст.пр.Кичемазова Н.В."
,12.00-13.30,"лек.ОСНОВЫ ТЕХНОЛОГИИ ПРОЕКТИРОВАНИЯ И ЭКСПЛУАТАЦИИ СПЕЦ.ОБОРУДОВАНИЯ
БИОТЕХНОЛ.ПРОИЗВОДСТВ доц.Анисмимов А.В. 352.31"
,13.40-15.10,"пр.з.Основы технологии проектирования и эксплуатации спец.оборудования биотехнол. производств
352.31 доц.Анисимов А.В."
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,"л
12.00-13.30",ек.ОСНОВЫ ТЕХНОЛОГИИ ПРОЕКТИРОВАНИЯ И ЭКСПЛУАТАЦИИ СПЕЦ.ОБОРУДОВАНИЯ БИОТЕХНОЛ.ПРОИЗВОДСТВ доц.Анисимов А.В.352.3
,,* * *
,13.40-15.10,"пр.з.Основы технологии проектирования и эксплуатации спец.оборудования
биотехнол. производств 352.31 доц.Анисимов А.В."
,15.20-16.50,"пр.з.Основы технологии проектирования и эксплуатации спец.оборудования
биотехнол. производств 352.31 доц.Анисимов А.В."
,17.00-18.30,"пр.з. Системы организации,контроля и управления биотехнологическими
процессами и производством 509 ст.пр.Кичемазова Н.В."
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,"пр.з. Системы организации,контроля и управления биотехнологическими процессами и производством 538"
,,лаб.з. Биотехнология получения диагностических и профилактических препаратов для жив-ва и раст-ва 530
,17.00-18.30,"пр.з. Биотехнология получения диагностических и профилактических препаратов
для животноводства и растениводства 530 Кичемазова Н.В."
"а
т
о
б
б
у
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,лек. БИОРЕДИМАЦИЯ доц.Спиряхина Т.В. ауд.528
,13.40-15.10,"лек.БИОТЕХНОЛОГИЯ ПОЛУЧЕНИЯ ДИАГНОСТИЧЕСКИХ И ПРОФИЛАКТИЧ.
ПРЕПАРАТОВ ДЛЯ ЖИВОТНОВОДСТВА И РАСТЕНИВОДСТВА доц.Волох"
,15.20-16.50,"лаб.з. Биотехнология получения диагностических и профилактических препаратов
для животноводства и растениеводства 530 Кичемазова Н.В."
,17.00-18.30,"лаб.з. Биотехнология получения диагностических и профилактических препаратов
для животноводства и растениеводства 530 Кичемазова Н.В."
,,
