"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,Б-ТБ-201 с 02.02.26
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,пр.з. технология материалов и материаловедение Березкин А.С.421
,,лаб.з.технология материалов и материаловедение Павлов А.В. 421
,12.00-13.30,"лек. ОКАЗАНИЕ ПЕРВОЙ ПОМОЩИ ПОСТРАДАВШИМ
доц. Карпова О.В. 518а"
,13.40-15.10,лек. ТЕХНОЛОГИЯ МАТЕРИАЛОВ И МАТЕРИАЛОВЕДЕНИЕ доц. Павлов А.В. 423
,,лек. ОРГАНИЗАЦИЯ РАБОТ ПОВЫШЕННОЙ ОПАСНОСТИ доц. Бахтиев Р.Н. 518а
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,"пр.з. общая физическая подготовка
Шишкина Т.Г. сок"
,12.00-13.30,лек.БЕЗОПАСНОСТЬ ЖИЗНЕДЕЯТЕЛЬНОСТИ доц.Ивченко О.А.217
,,лек.СОПРОТИВЛЕНИЕ МАТЕРИАЛОВ доц. Васильчиков В.В.40
,13.40-15.10,"пр.з. безопасность жизнедеятельности
Ивченко О.А. 217"
,15.20-16.50,"пр.з. организация работ повышенной опасности
Бахтиев Р.Н. 208"
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,лек. МЕНЕДЖМЕНТ доц. Пшенцова А.И. 308
,,пр.з. менеджмент Пшенцова А.И. 308
,13.40-15.10,"пр.з. сопротивление материалов
Васильчиков В.В. 40"
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,,лек. ОСНОВЫ НАУЧНЫХ ИССЛЕДОВАНИЙ В ТЕХНОСФЕРНОЙ БЕЗОПАСНОСТИ проф. Панкин К.Е. 206
,10.10-11.40,"пр.з. оказание первой помощи пострадавшим
Марынова Т.А. 206"
,12.00-13.30,"пр.з. основы научных исследований в техносферной безопасности
Панкин К.Е. 206"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,,лек. АНАЛИЗ И ПРОФИЛАКТИКА ПРОИЗВОДСТВЕННОГО ТРАВМАТИЗМА проф. Панкин К.Е. 217
,12.00-13.30,"пр.з. анализ и профилактика производственного травматизма
Панкин К.Е. 206"
,13.40-15.10,"пр.з. нормативно-техническое регулирование в пожарной безопасности
Евдокимов А.С. 206"
,15.20-16.50,
,,лек.НОРМАТИВНО-ТЕХНИЧЕСКОЕ РЕГУЛИРОВАНИЕ В ПОЖАРНОЙ БЕЗОПАСНОСТИ доц.Евдокимов А.С. 206
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
