"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 3 курс",column_1,column_2,column_3
Дни,Часы,Б-АИ-303 с 09.02.2026,Б-АИ-304 с 09.02.2026
"к
и
н
ь
л
де
не
о
П",8.30-10.00,,
,10.10-11.40,"лаб.з. надежность электрооборудования
Логачева О.В. Кузнецов А.А. 413",
,12.00-13.30,лек. МИКРОМАШИНЫ И ИСПОЛНИТЕЛЬНЫЕ МЕХАНИЗМЫ доц. Логачева О.В. 201,
,,лб.з. технология ремонта эо Логачева О.В.420,лб.з. технология ремонта эо Левин М.А.413
,13.40-15.10,"лек. ЭЛЕКТРИЧЕСКИЕ МАШИНЫ
доц. Иванкина Ю.В. 205",
,15.20-16.50,,"лаб.з. надежность электрооборудования
Логачева О.В. Кузнецов А.А. 413"
,17.00-18.30,,
"к
и
н
р
о
т
В",8.30-10.00,,
,10.10-11.40,"лаб.з. электрические машины
Иванкина Ю.В. Абзалов М.А. 205","лаб.з. микропроцессорная техника и программное обеспечение
Чурляева О.Н. Чернова Е.Н. 409"
,12.00-13.30,"лаб.з.микропроцессорная техника и программное обеспечение
Чурляева О.Н. Чернова Е.Н. 409","лаб.з. электрические машины
Иванкина Ю.В. Абзалов М.А. 205"
,13.40-15.10,лаб.з.электрические машины Иванкина Ю.В.АбзаловМ.А 205,лаб.з. надежность электрообор. Логачева О.В. Кузнецов А.А. 413
,,лаб.з. надежность электрообор. Логачева О.В. Кузнецов А.А. 413,лаб.з.электрические машины Иванкина Ю.В.АбзаловМ.А 205
,15.20-16.50,,
,,пр.з. технология ремонта эо Абрамова В.С. 420,пр.з. технология ремонта эо Шишигин И.Н. 409
,17.00-18.30,,
"а
д
ре
С",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,"лаб.з. микромашины и исполнительные механизмы
Логачева О.В. Абзалов М.А. 205",
,13.40-15.10,лек.ТЕХНОЛОГИЯ РЕМОНТА ЭЛЕКТРООБОРУДОВАНИЯ доц. Логачева О.В. 420,
,,лек. ЭНЕРГЕТИЧЕСКОЕ ОБОРУДОВАНИЕ доц.Кадухин А.И. 400,
,15.20-16.50,"лаб.з. энергетическое оборудование
Верзилин А.А. Кожевников А.А. 400","лаб.з. микромашины и исполнительные механизмы
Логачева О.В. Абзалов М.А. 205"
,17.00-18.30,,"лаб.з. энергетическое оборудование
Верзилин А.А. Кожевников А.А. 400"
"рг
ве
т
Че",8.30-10.00,лек. МИКРОПРОЦЕССОРНАЯ ТЕХНИКА И ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ доц.Чурляева О.Н. 409,
,,,
,10.10-11.40,"лек. НАДЕЖНОСТЬ ЭЛЕКТРООБОРУДОВАНИЯ
доц. Логачева О.В. 413",
,12.00-13.30,лек.АВТОМАТИЗИРОВАННАЯ СИСТЕМА УЧЕТА ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИИ доц. Левин М.А. 420,
,,лек. ЭЛЕКТРИЧЕСКИЕ ИЗМЕРЕНИЯ доц. Логачева О.В. 420,
,13.40-15.10,"пр.з. общая физическая подготовка
Тарасов В.А. сок","пр.з. общая физическая подготовка
Барбашин В.В. сок"
,15.20-16.50,,
,17.00-18.30,,
"а
ц
и
н
т
я
П",8.30-10.00,лаб.з. автоматиз. система учета элект.энерг Левин М.А. Кузнецов 413,
,,,лаб.з. автоматиз. система учета элект.энерг Левин М.А. Кузнецов 413
,10.10-11.40,"лек. ТЕХНОЛОГИЯ РЕМОНТА ЭЛЕКТРООБОРУДОВАНИЯ
доц. Логачева О.В. 420",
,12.00-13.30,"лаб.з. технология ремонта эо
Логачева О.В. Левин М.А. 420","лаб.з. электрические измерения
Ищенко А.П. Абрамова В.С. 413"
,13.40-15.10,"лаб.з. электрические измерения
Ищенко А.П. Абрамова В.С. 413","лаб.з. технология ремонта эо
Логачева О.В. Левин М.А. 420"
,15.20-16.50,,
,17.00-18.30,,
"а
т
о
б
б
у
С",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
