"Расписание занятий
на 2 семестр 2025-2026 учебного года
института агробизнеса 3 курс",column_1,column_2,column_3,column_4,column_5
Дни,Часы,Б-Э-301 02.02.2026,,,Б-М-301 02.02.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,,,"пр.з. Моделирование соц.-экон. процессов
Куличкова Е.М. 230",
,10.10-11.40,"пр.з.Практикум по бухгалтерскому учету
Шаронова Е.В., Павлик А.С. 241",,,
,12.00-13.30,"лек. ЭКОНОМИКА СЕЛЬСКОГО ХОЗЯЙСТВА
проф. Лявина М.Ю. 314",,,лек. УПРАВЛЕНИЕ КОНКУРЕНТОСПОСОБН. С.-Х. ПРОДУКЦИИ доц. Пшенцова А.И. 255
,,,,,
,13.40-15.10,,,,"пр.з. Организация предпринимательской деятельности
Власова О.В. 343"
,15.20-16.50,,,,"лек. ПРОИЗВОДСТВЕННЫЙ МЕНЕДЖМЕНТ В АГРОБИЗНЕСЕ
доц. Наянов А.В. 316"
"к
и
н
р
о
т
В",8.30-10.00,"пр.з. Моделирование соц.-экон. процессов
Куличкова Е.М. 230",,,
,10.10-11.40,пр.з. Статистика Пахомова Т.В. 230,,,"лек. ОРГ. ПРЕДПРИНИМАТЕЛЬСКОЙ ДЕЯТЕЛЬНОСТИ В АПК
доц. Власова О.В. 324"
,,пр.з. Отраслевая экономика Бородастова Е.А. 314,,,
,12.00-13.30,"пр.з. Планирование и прогнозирование продственно-финансовой деятельности
Пшенцова А.И., Амангалиева Г.Е. 255",,,"пр. Лидерство
Александрова Л.А. 324"
,13.40-15.10,лек. ПЛАНИРОВАНИЕ И ПРОГНОЗИРОВАНИЕ ПФД доц. Пшенцова А.И. 255,,,"пр.з. Общая физическая подготовка
Наумова М.А."
,,пр.з. Отраслевая экономика Бородастова Е.А. 314,,,
,15.20-16.50,,,,"лек. ТОВАРНЫЙ МЕНЕДЖМЕНТ В АГРОБИЗНЕСЕ
доц. Пшенцова А.И. 255"
"а
д
е
р
С",8.30-10.00,пр.з. Статистика Пахомова Т.В. 241,,,
,,,,,
,10.10-11.40,пр.з. Общая физическая подготовка Пяткина Н.А.,,,
,,лек. СТРАХОВАНИЕ доц. Котар О.К. 242,,,
,12.00-13.30,лек. СТАТИСТИКА доц. Ткачев С.И. 230,,,
,13.40-15.10,пр. Страхование Котар О.К. 242,,,"пр.з. Производственный менеджмент в агробизнесе
Наянов А.В. 324"
,15.20-16.50,,,,"пр.з. Моделирование производственно-финансовой
деятельностью предприятия Слепцова Л.А. 230"
"г
р
е
в
т
е
Ч",8.30-10.00,лек. ЭКОНОМЕТРИКА доц. Волощук Л.А. 230,,,
,,лек. ОТРАСЛЕВАЯ ЭКОНОМИКА доц. Говорунова Т.В. 314,,,
,10.10-11.40,"пр.з. Эконометрика
Ткачев С.И. 230",,,лек. КАДРОВЫЙ МЕНЕДЖМЕНТ проф. Глебов И.П. 316
,,,,,лек.МОДЕЛИРОВАНИЕ ПФД ПРЕДПРИЯТИЯ доц.Слепцова Л.А. 232
,12.00-13.30,"пр.з. Экономика сельского хозяйства
Лявина М.Ю., Думчева О.Н. 243",,,"пр.з. Управление конкурентоспособностью с.-х. продукции
Воронова Е.О. 316"
,13.40-15.10,,,,"пр.з. Кадровый менеджмент
Богомолов Д.К. 324"
"а
ц
и
н
т
я
П
а",8.30-10.00,"лек. КОМПЛЕКСНЫЙ АНАЛИЗ ХОЗЯЙСТВЕННОЙ ДЕЯТЕЛЬНОСТИ
доц. Шарикова И.В. 241",,,
,10.10-11.40,"пр.з. Комплексный анализ хоз. деятельности
Шарикова И.В., Кувшинова Е.А. 232",,,"лек.ПРИНЯТИЕ УПРАВЛЕНЧЕСКИХ РЕШЕНИЙ
доц. Власова О.В. 316"
,12.00-13.30,лек.БУХГАЛТЕРСКИЙ УЧЕТ В КРЕДИТНЫХ ОРГАНИЗАЦИЯХ доц. Лысова Т.А. 257,,,"пр.з. Принятие управленческих решений
Власова О.В. 316"
,,пр.з. Бухгалтерский учет в кредитных организацтиях Лысова Т.А. 257,,,
,13.40-15.10,"лек.МОДЕЛИРОВАНИЕ СОЦИАЛЬНО-ЭКОНОМИЧЕСКИХ ПРОЦЕССОВ
доц. Слепцова Л.А. 230",,,"пр.з. Товарный менеджмент в агробизнесе
Богомолов Д.К. 316"
,15.20-16.50,,,,
"т
о
б
б
у
С",8.30-10.00,,,,
,10.10-11.40,,,,
,,,,,
