"Расписание занятий
на 2 семестр 2025-2026 учебного года
института агробизнеса 2 курс",column_1,column_2,column_3
Дни,Часы,Б-Мв-301 02.02.2026,Б-Мв-302 02.02.2026
"к
и
н
ь
л
де
не
По",08.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
"к
и
н
р
о
т
В",08.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
"а
д
е
р
С",08.30-10.00,,2 п/гр пр.з.Моделирование социально-экономических процессов на предприятии Слепцова Л.А. 245
,,,
,10.10-11.40,лек. ОРГАНИЗАЦИЯ ПРОИЗВОДСТВА НА ПРЕДПРИЯТИИ АПК доц. Наянов А.В. 324,
,12.00-13.30,"пр.з. Организация производства на предприятии АПК
Наянов А.В. 324","пр.з. Принятие управленяческих решений
Власова О.В. 316"
,13.40-15.10,,пр.з Анализ хозяйственной деятельности Кондак В.В. 232
,,лек. ГОСУДАРСТВЕННОЕ РЕГУЛИРОВАНИЕ В АГРОБИЗНЕСЕ доц Торопова В.В. 314,
,15.20-16.50,,
,,,пр.з. Организация производства на предприятии АПК Наянов А.В. 324
,17.00-18.30,,
"г
р
е
в
т
е
Ч",08.30-10.00,пр.з.Моделирование социально-эконом. процессов на предприятии 2 п/гр Куличкова Е.Н. 241,
,,пр.з.Моделирование социально-эконом. процессов на предприятии 1 п/гр Куличкова Е.Н. 230,
,10.10-11.40,лек. МОДЕЛИРОВАНИЕ СОЦИАЛЬНО-ЭКОНОМИЧЕСКИХ ПРОЦЕССОВ доц. Слепцова Л.А. 232,
,,лек. ПРИНЯТИЕ УПРАВЛЕНЧЕСКИХ РЕШЕНИЙ доц. Власова О.В. 316,
,12.00-13.30,"пр.з. Принятие управленяческих решений
Богомолов Д.К. 324","пр.з. Государственное регулирование в агробизнесе
Зуева Е.И., Старшов В.Н. 410"
,13.40-15.10,лек. АНАЛИЗ ХОЗЯЙСТВЕННОЙ ДЕЯТЕЛЬНОСТИ АНАЛИЗ ХОЗЯЙСТВЕННОЙ ДЕЯТЕЛЬНОСТИ доц. Кондак В.В. 134,
,,пр.з Анализ хозяйственной деятельности Кондак В.В. 134,
,15.20-16.50,,
"а
ц
и
н
т
я
П",08.30-10.00,,
,10.10-11.40,"пр.з. Государственное регулирование в агробизнесе Зуева Е.И., Старшов В.Н. 243",пр.з. Риск-менеджмент Воронова Е.О. 343
,,пр.з. Риск-менеджмент Воронова Е.О. 255,1 п/гр пр.з.Моделирование социально-экономических процессов на предприятии Слепцова Л.А. 245
,12.00-13.30,лек. РИСК-МЕНЕДЖМЕНТ РИСК-МЕНЕДЖМЕНТ доц. Пшенцова А.И. 255,
,,"пр.з. Государственное регулирование в агробизнесе Зуева Е.И., Старшов В.Н. 1004",пр.з. Риск-менеджмент Воронова Е.О. 255
,13.40-15.10,пр.з. Риск-менеджмент Воронова Е.О. 255,пр.з. Организация производства на предприятии АПК Наянов А.В. 410
,,,
,15.20-16.50,,
,17.00-18.30,,
"а
т
о
б
б
у
С",08.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,,,
