"Расписание занятий
на 2 семестр 2025-2026 учебного года
института агробизнеса 3 курс",column_1,column_2,column_3
"к
Дини
н",Часы,Б-Эв-301 09.02.2026,Б-Эв-302 09.02.2026
"ь
л
е
д
е
н
о
П",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
"к
и
н
р
о
т
В",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
"а
д
е
р
С",8.30-10.00,лек. СТАТИСТИКА СТАТИСТИКА СТАТИСТИКА СТАТИСТИКА доц. Ткачев С.И. 230,
,10.10-11.40,"пр.з. Статистика
Пахомова Т.В. 134 к","пр.з. Моделирование социально-экономических процессов на предприятии
2 подгруппа Куличкова Е.М. 245"
,12.00-13.30,"пр.з. Моделирование социально-экономических процессов на предприятии
1 подгруппа Слепцова Л.А. 807","пр.з. Статистика
Пахомова Т.В. 134 к"
,13.40-15.10,лек. ЭКОНОМИКА СЕЛЬСКОГО ХОЗЯЙСТВА ЭКОНОМИКА СЕЛЬСКОГО ХОЗЯЙСТВА проф. Лявина М.Ю. 314,
,,,
,15.20-16.50,,
,17.00-18.30,,
"г
р
е
в
т
е
Ч",8.30-10.00,пр.з. Правоведение Корышева М.В. 422,
,,лек. ПРАВОВЕДЕНИЕ ПРАВОВЕДЕНИЕ ПРАВОВЕДЕНИЕ доц. Корышева М.В. 422,
,10.10-11.40,лек. ФИНАНСОВЫЙ МЕНЕДЖМЕНТ ФИНАНСОВЫЙ МЕНЕДЖМЕНТ ФИНАНСОВЫЙ МЕНЕДЖМЕНТ доц. Котар О.К. 257,
,,пр.з. Региональная экономика Ерзова П.И. 242,"пр. Практикум по бухгалтерскому учету Шаронова Е.В., Павлик А.С. 241"
,12.00-13.30,"пр.з. Экономика бережливого производства АПК Старшов В.Н., Думчева О.Н. 314","пр. Практикум по бухгалтерскому учету Шаронова Е.В., Павлик А.С. 241"
,,"пр. Практикум по бухгалтерскому учету Шаронова Е.В., Павлик А.С. 241",пр.з. Правоведение Корышева М.В. 314
,13.40-15.10,лек. ЭКОНОМИКА БЕРЕЖЛИВОГО ПОИЗВОДСТВА В АПК ЭКОНОМИКА БЕРЕЖЛИВОГО ПОИЗВОДСТВА В АПК доц. Васильева О.А. 314,
,,лек. МОДЕЛИРОВАНИЕ СОЦИАЛЬНО-ЭКОНОМИЧЕСКИХ ПРОЦЕССОВ доц. Слепцова Л.А. 230,
,15.20-16.50,,
,17.00-18.30,,
"а
ц
и
н
т
я
П",8.30-10.00,"пр.з. Моделирование социально-экономических процессов на предприятии
2 подгруппа Куличкова Е.М. 245","пр.з. Моделирование социально-экономических процессов на предприятии
1 подгруппа Слепцова Л.А. 230"
,10.10-11.40,"пр. Практикум по бухгалтерскому учету Шаронова Е.В., Павлик А.С. 241",пр.з. Региональная экономика Ерзова П.И. 314
,,лек. РЕГИОНАЛЬНАЯ ЭКОНОМИКА РЕГИОНАЛЬНАЯ ЭКОНОМИКА РЕГИОНАЛЬНАЯ ЭКОНОМИКА проф. Родионова И.А. 314,
,12.00-13.30,"пр.з. Финансовый менеджмент
Котар О.К. 242","пр.з. Экономика сельского хозяйства
Лявина М.Ю., Думчева О.Н. 243"
,13.40-15.10,"пр.з. Экономика сельского хозяйства
Лявина М.Ю., Думчева О.Н. 314","пр.з. Финансовый менеджмент
Антонова Е.А. 242"
,15.20-16.50,,
,17.00-18.30,,
"а
т
о
б
б
у
С",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,,,
