"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 3 курс",column_1,column_2,column_3,column_4,column_5,column_6
Дни,Часы,Б-ЗиК-УН-301 09.02.2026,,,,
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,,,,,
,10.10-11.40,"пр.з. Государственная регистрация объектов недвижимости Янюк, Лушина 807, 1009",,,,
,,лек. ГЕОГРАФИЧЕСКИЕ И ЗЕМЕЛЬНО-ИНФОРМАЦИОННЫЕ СИСТЕМЫ доц. Пушкина Е.Г. 1003,,,,
,12.00-13.30,"пр.з. Общая физическая подготовка
Пяткина Н.П.",,,,
,13.40-15.10,"пр.з. Зонирование территории
Иовлева А.А. 807",,,,
,15.20-16.50,,,,,
"к
и
н
р
о
т
В",8.30-10.00,,,,,
,10.10-11.40,ЭКОНОМИЧЕСКАЯ КУЛЬТУРА доц. Аукина И.Г. (2 лек. + 3 пр.з.). 314,,,,
,,пр.з. Организация и планирование кадастровых работ Гагина И.С. 1008,,,,
,12.00-13.30,"ЭКОНОМИЧЕСКАЯ КУЛЬТУРА доц. Котар О.К. , Шаронова Е.В. (5 лек. + 5 пр.з.) 1008",,,,
,,лек. ЗОНИРОВАНИЕ ТЕРРИТОРИИ доц. Трухина Е.Н. 535,,,,
,13.40-15.10,"пр.з. Государственная регистрация объектов недвижимости
Янюк, Лушина 807, 1004",,,,
,15.20-16.50,,,,,
"а
д
е
р
С",8.30-10.00,,,,,
,10.10-11.40,,,"лаб.з. Экономико-математические методы в землеустройстве
Слепцова Л.А. 807",,
,12.00-13.30,"лек. ГОСУДАРСТВЕННАЯ РЕГИСТРАЦИЯ ОБЪЕКТОВ НЕДВИЖИМОСТИ
доц. Янюк В.М. 1003",,,,
,13.40-15.10,лек. ОРГАНИЗАЦИЯ И ПЛАНИРОВАНИЕ КАДАСТРОВЫХ РАБОТ доц. Гагина И.С. 1003,,,,
,,"лаб.з. Географические и земельно-информационные системы Пушкина Е.Г., Дормидонтова Н.В. 807",,,,
,15.20-16.50,,,,,
"г
р
е
в
т
е
Ч",8.30-10.00,"лаб.з. Экономико-математические методы в землеустройстве
и кадастрах Слепцова Л.А. 807",,,,
,10.10-11.40,"лаб.з. Географические и земельно-информационные системы
Пушкина Е.Г. , Дормидонтова Н.В. 530",,,,
,12.00-13.30,лек. ЭММ МЕТОДЫ В ЗЕМЛЕУСТРОЙСТВЕ И КАДАСТРАХ доц. Слепцова Л.А. 247,,,,
,,,лаб.з. Экономико-математ. в землеустр. и кадастрах Слепцова Л.А. 247,,,
,13.40-15.10,лаб.з. Экономико-математ. в землеустр. и кадастрах Слепцова Л.А. 247,,,,
,,,,,,
"а
ц
и
н
т
я
П",8.30-10.00,,,,,
,10.10-11.40,"пр.з. Организация и планирование кадастровых работ
Гагина И.С. 807",,,,
,12.00-13.30,"лаб.з. Землеустроительное проектирование Иовлева А.А., Дормидонтова Н.В. 807, 531",,,,
,,лек. ЗЕМЛЕУСТРОИТЕЛЬНОЕ ПРОЕКТИРОВАНИЕ проф. Тарасенко П.В. 1003,,,,
,13.40-15.10,"лаб.з. Землеустроительное проектирование
Иовлева А.А., Дормидонтова Н.В. 807, 531",,,,
,15.20-16.50,,,,,
"а
т
о
б
б
у
С",8.30-10.00,,,,,
,10.10-11.40,,,,,
,,,,,,
