"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 2 курс",column_1,column_2,column_3
Дни,Часы,Б-ПИ-201 с 09.02.26,Б-ПИ-202 с 09.02.26
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,,"лб.з. автоматическое управление системами в АПК
Азизов И.Р. 531"
,10.10-11.40,лек.АВТОМАТИЧЕСКОЕ УПРАВЛЕНИЕ СИСТЕМАМИ В АПК доц. Азизов И.Р. 238,
,,лек. ВЫСШАЯ МАТЕМАТИКА доц. Кочегарова О.С. 238,
,12.00-13.30,"лб.з. автоматическое управление системами в АПК
АзизовИ.Р. Моршнев А.Ю. 531","лб.з. проектирование и архитектура программных систем
Цагареишвили М.Р. 113"
,13.40-15.10,,
,15.20-16.50,,
,17.00-18.30,,
"к
и
н
р
о
т
В",8.30-10.00,"пр.з. общая физическая подготовка
Нефедова Ю.В.сок","пр.з. общая физическая подготовка
Барбашин В.В. сок"
,10.10-11.40,"лек. БАЗЫ ДАННЫХ
доц. Ершов А.С. 202",
,12.00-13.30,лб.з.базы данных МоршневА.Ю. Цагареишвили М.Р.520 522,
,,,лб.з. базы данных Моршнев А.Ю. 520 522
,13.40-15.10,,
,15.20-16.50,,
,17.00-18.30,,
"а
д
е
р
С",8.30-10.00,"пр.з. высшая математика
Кочегарова О.С.238","лб.з. базы данных
Моршнев А.Ю. 520"
,10.10-11.40,"лб.з. базы данных
Моршнев А.Ю. Цагареишвили М.Р. 520","пр.з. высшая математика
Кочегарова О.С. 238"
,12.00-13.30,"лек. ПРОЕКТИРОВАНИЕ И АРХИТЕКТУРА ПРОГРАММНЫХ СИСТЕМ
доц. Ключиков А.В. 238",
,13.40-15.10,лек. СИСТЕМЫ УПРАВЛЕНИЯ БПЛА доц. Верзилин А.А. 238,
,,лек. СИСТЕМЫ АВТОМАТИЗИРОВАННОГО ПРОЕКТИРОВАНИЯ доц. Ключиков А.В. 238,
,15.20-16.50,,
,17.00-18.30,,
"г
р
е
в
т
е
Ч",8.30-10.00,лб.з.проект.и архитектура прогр.систем Ключиков А.В. 520,лб.з. системы управления БПЛА Мерзлов 522
,,лб.з. системы управления БПЛА Верзилин Мерзлов 522,лб.з.проект.и архитектура прогр.систем Цагареишвили М.Р. 520
,10.10-11.40,"пр.з. общая физическая подготовка
Нефедова Ю.В.сок","пр.з. общая физическая подготовка
Барбашин В.В. сок"
,12.00-13.30,"лек. УПРАВЛЕНИЕ ИТ-СЕРВИСАМИ И КОНТЕНТОМ
доц. Евстафьев Д.П. 238",
,13.40-15.10,,
,15.20-16.50,,
,17.00-18.30,,
"а
ц
и
н
т
я
П",8.30-10.00,"лб.з. системы автоматизированного проектирования
Грепечук Ю.Н. Цагареишвили М.Р. 520",
,,,лб.з. управ. ИТ-серв и конт Евстафьев Д.П. Мартынов Е.Д. 531
,10.10-11.40,"лб.з. проектирование и архитектура программных систем
Ключиков А.В. Цагареишвили М.Р. 520 522","лб.з. управление ИТ-сервисами и контентом
Евстафьев Д.П. Мартынов Е.Д.531"
,12.00-13.30,"лб.з. управление ИТ-сервисами и контентом
Евстафьев Д.П. Лепесткин Д.А. 533","лб.з. системы автоматизированного проектирования
Цагареишвили М.Р. 520"
,13.40-15.10,лб.з. управ. ИТ-серв и конт Евстафьев Д.П. Лепесткин Д.А.529,
,,,
,15.20-16.50,,
,17.00-18.30,,
"а
т
о
б
б
у",8.30-10.00,,
,10.10-11.40,,
С,12.00-13.30,,
