Расписание занятий,column_1,column_2
на 2 семестр 2025-2026 учебного года.,,
Институт биотехнологии 2 курс,,
,,
Дни,Часы,М-ППР-21
"6202.20.61
киньледеноП",08.30-10.00,
,10.10-11.40,
,,
,12.00-13.30,
,,
,13.40-15.10,лек. ОСНОВЫ РАЦИОНАЛЬНОГО ПИТАНИЯ
,,доц. Буховец В.А. ауд. С-204
,15.20-16.50,лек. ОСНОВЫ РАЦИОНАЛЬНОГО ПИТАНИЯ
,,доц. Буховец В.А. ауд. С-204
,17.00-18.30,
,,
"6202.20.71
кинротВ",08.30-10.00,
,10.10-11.40,лек. ТЕХНОЛОГИИ ПРОДУКТОВ ИЗ РАСТИТЕЛЬНОГО СЫРЬЯ
,,доц. Буховец В.А. ауд. С-204
,12.00-13.30,лек. ТЕХНОЛОГИИ ПРОДУКТОВ ИЗ РАСТИТЕЛЬНОГО СЫРЬЯ
,,доц. Буховец В.А. ауд. С-204
,13.40-15.10,лек. РЕСУРСОСБЕРЕГАЮЩИЕ ТЕХНОЛОГИИ ПРОИЗВОДСТВА
,,проф. Садыгова М.К. ауд. С-206
,15.20-16.50,
,,
,17.00-18.30,
"6202.20.81
адерС",08.30-10.00,
,,
,10.10-11.40,лек. ВЫСОКОТЕХНОЛОГИЧЕСКОЕ ОБОРУДОВАНИЕ
,,доц. Буттаев О.М. ауд.
,12.00-13.30,лек. ВЫСОКОТЕХНОЛОГИЧЕСКОЕ ОБОРУДОВАНИЕ
,,доц. Буттаев О.М. ауд.
,13.40-15.10,
,,
,15.20-16.50,
,,
,17.00-18.30,
"6202.20.91
гревтеЧ",08.30-10.00,
,10.10-11.40,
,12.00-13.30,лаб.з. Технологии продуктов из растительного сырья
,,"доц. Буховец В.А., Губенко Е.А. ауд. С-204"
,13.40-15.10,лаб.з. Технологии продуктов из растительного сырья
,,"доц. Буховец В.А., Губенко Е.А. ауд. С-204"
,15.20-16.50,лаб.з. Технологии продуктов из растительного сырья
,,"доц. Буховец В.А., Губенко Е.А. ауд. С-204"
,17.00-18.30,
,,
"6202.20.02
ацинтяП",08.30-10.00,
,,
,10.10-11.40,
,,
,12.00-13.30,
,13.40-15.10,
,,
,15.20-16.50,
,,
,17.00-18.30,
,,
"6202.20.12
атоббуС",08.30-10.00,
,10.10-11.40,
,,
,12.00-13.30,
,,
,13.40-15.10,
,,
,15.20-16.50,
,,
,17.00-18.30,
,,
,,
