Расписание занятий,column_1,column_2
на 2 семестр 2025-2026 учебного года.,,
Институт биотехнологии 2 курс,,
,,
Дни,Часы,М-ТОП-21
"6202.20.61
киньледеноП",08.30-10.00,
,10.10-11.40,лек. ПРОФЕССИОНАЛЬНАЯ ЭТИКА ПРЕДПРИЯТИЙ ИНДУСТРИИ ПИТАНИЯ
,,доц. Макарова А.Н. ауд. С-149
,12.00-13.30,лек. ПРОФЕССИОНАЛЬНАЯ ЭТИКА ПРЕДПРИЯТИЙ ИНДУСТРИИ ПИТАНИЯ
,,доц. Макарова А.Н. ауд. С-149
,13.40-15.10,
,,
,15.20-16.50,
,,
,17.00-18.30,
,,
"6202.20.71
кинротВ",08.30-10.00,
,10.10-11.40,лек. ПРИКЛАДНЫЕ ТЕХНОЛОГИИ В ИНДУСТРИИ ПИТАНИЯ
,,доц. Фоменко О.С. ауд. С-223
,12.00-13.30,лек. ИННОВАЦИИ В ОРГАНИЗАЦИИ ПРОИЗВОДСТВА И ОБСЛУЖИВАНИЯ НА
,,ПРЕДПРИЯТИЯХ ПИТАНИЯ доц. Макарова А.Н. ауд. С-223
,13.40-15.10,лек. ИННОВАЦИИ В ОРГАНИЗАЦИИ ПРОИЗВОДСТВА И ОБСЛУЖИВАНИЯ НА
,,ПРЕДПРИЯТИЯХ ПИТАНИЯ доц. Макарова А.Н. ауд. С-223
,15.20-16.50,
,,
,17.00-18.30,
"6202.20.81
адерС",08.30-10.00,
,,
,10.10-11.40,
,,
,12.00-13.30,
,,
,13.40-15.10,лаб.з. ИННОВАЦИИ В ОРГАНИЗАЦИИ ПРОИЗВОДСТВА И ОБСЛУЖИВАНИЯ НА
,,ПРЕДПРИЯТИЯХ ПИТАНИЯ доц. Макарова А.Н. ауд. С-139
,15.20-16.50,лаб.з. ИННОВАЦИИ В ОРГАНИЗАЦИИ ПРОИЗВОДСТВА И ОБСЛУЖИВАНИЯ НА
,,ПРЕДПРИЯТИЯХ ПИТАНИЯ доц. Макарова А.Н. ауд. С-139
,17.00-18.30,
"6202.20.91
гревтеЧ",08.30-10.00,
,10.10-11.40,лек. ТЕХНОЛОГИИ ПРОДУКТОВ ДЛЯ СПЕЦИАЛЬНЫХ ВИДОВ ПИТАНИЯ
,,доц. Рысмухамбетова Г.Е. ауд 206
,12.00-13.30,лек. ТЕХНОЛОГИИ ПРОДУКТОВ ДЛЯ СПЕЦИАЛЬНЫХ ВИДОВ ПИТАНИЯ
,,доц. Рысмухамбетова Г.Е. ауд 206
,13.40-15.10,
,,
,15.20-16.50,
,,
,17.00-18.30,
,,
"6202.20.02
ацинтяП",08.30-10.00,
,,
,10.10-11.40,лаб.з. Технологии продуктов для специальных видов питания
,,Коляда Н.А. ауд. С-142
,12.00-13.30,лаб.з. Технологии продуктов для специальных видов питания
,,Коляда Н.А. ауд. С-142
,13.40-15.10,лаб.з. Технологии продуктов для специальных видов питания
,,Коляда Н.А. ауд. С-142
,15.20-16.50,
,,
,17.00-18.30,
,,
"6202.20.12
атоббуС",08.30-10.00,
,10.10-11.40,
,,
,12.00-13.30,
,,
,13.40-15.10,
,,
,15.20-16.50,
,,
,17.00-18.30,
,,
,,
