Расписание занятий,column_1,column_2
на 2 семестр 2025-2026 учебного года.,,
Институт биотехнологии 2 курс,,
Дни,Часы,М-ЗТ-21
"6202.20.61
киньледеноП",08.30-10.00,
,10.10-11.40,
,,
,12.00-13.30,лек. СОВРЕМЕННЫЙ ГЕНОФОНД ЖИВОТНЫХ ПОВОЛЖЬЯ
,,проф. Лушников В.П. ауд. с-305а
,13.40-15.10,лек. СОВРЕМЕННЫЙ ГЕНОФОНД ЖИВОТНЫХ ПОВОЛЖЬЯ
,,проф. Лушников В.П. ауд. с-305а
,15.20-16.50,
,,
,17.00-18.30,
,,
"6202.30.71
кинротВ",08.30-10.00,
,10.10-11.40,
,,
,12.00-13.30,лек. ИННОВАЦИОННЫЕ ПРИЕМЫ ПОВЫШЕНИЯ ГЕНЕТИЧЕСКОГО ПОТЕНЦТАЛА
,,проф. Забелина М.В. ауд. 343
,13.40-15.10,лек. ИННОВАЦИОННЫЕ ПРИЕМЫ ПОВЫШЕНИЯ ГЕНЕТИЧЕСКОГО ПОТЕНЦТАЛА
,,проф. Забелина М.В. ауд. 343
,15.20-16.50,
,,
,17.00-18.30,
"6202.20.81
адерС",08.30-10.00,
,,
,10.10-11.40,
,,
,12.00-13.30,лек. ИННОВАЦИОННЫЕ ПРИЕМЫ ПОВЫШЕНИЯ ГЕНЕТИЧЕСКОГО ПОТЕНЦТАЛА
,,проф. Забелина М.В. ауд. 343
,13.40-15.10,лек. ИННОВАЦИОННЫЕ ПРИЕМЫ ПОВЫШЕНИЯ ГЕНЕТИЧЕСКОГО ПОТЕНЦТАЛА
,,проф. Забелина М.В. ауд. 343
,15.20-16.50,
,,
,17.00-18.30,
,,
"6202.20.91
гревтеЧ",08.30-10.00,
,10.10-11.40,
,,
,12.00-13.30,пр.з. СОВРЕМЕННЫЙ ГЕНОФОНД ЖИВОТНЫХ ПОВОЛЖЬЯ
,,проф. Лушников В.П. ауд. с-305а
,13.40-15.10,пр.з. СОВРЕМЕННЫЙ ГЕНОФОНД ЖИВОТНЫХ ПОВОЛЖЬЯ
,,проф. Лушников В.П. ауд. с-305а
,15.20-16.50,
,,
,17.00-18.30,
,,
"6202.20.02
ацинтяП",08.30-10.00,
,10.10-11.40,
,,
,12.00-13.30,пр.з. ИННОВАЦИОННЫЕ ПРИЕМЫ ПОВЫШЕНИЯ ГЕНЕТИЧЕСКОГО ПОТЕНЦТАЛА
,,проф. Забелина М.В. ауд. 403
,13.40-15.10,пр.з. ИННОВАЦИОННЫЕ ПРИЕМЫ ПОВЫШЕНИЯ ГЕНЕТИЧЕСКОГО ПОТЕНЦТАЛА
,,проф. Забелина М.В. ауд. 403
,15.20-16.50,
,,
,17.00-18.30,
,,
"6202.20.12
атоббуС",08.30-10.00,
,10.10-11.40,
,,
,12.00-13.30,
,,
,13.40-15.10,
,,
,15.20-16.50,
,,
,17.00-18.30,
,,
,,
