Расписание занятий,column_1,column_2
на 2 семестр 2025-2026 учебного года.,,
Институт биотехнологии 2 курс,,
,,
Дни,Часы,М-УК-21
"6202.20.61
киньледеноП",08.30-10.00,
,10.10-11.40,
,,
,12.00-13.30,пр.з. Организация проектирования процессов по улучшению качества
,,ст.преп. Шутова О.А. ауд. 343
,13.40-15.10,пр.з. Организация проектирования процессов по улучшению качества
,,ст.преп. Шутова О.А. ауд. 343
,15.20-16.50,пр.з. Организация проектирования процессов по улучшению качества
,,ст.преп. Шутова О.А. ауд. 344
,17.00-18.30,
,,
"6202.20.71
кинротВ",08.30-10.00,
,10.10-11.40,лек. УПРАВЛЕНИЕ ИНТЕЛЛЕКТУАЛЬНОЙ СОБСТВЕННОСТЬЮ
,,доц. Кулагина О.В. учебный комплекс №2 ауд 329а
,12.00-13.30,лек. УПРАВЛЕНИЕ ИНТЕЛЛЕКТУАЛЬНОЙ СОБСТВЕННОСТЬЮ
,,доц. Кулагина О.В. учебный комплекс №2 ауд 329а
,13.40-15.10,лек. УПРАВЛЕНИЕ ИНТЕЛЛЕКТУАЛЬНОЙ СОБСТВЕННОСТЬЮ
,,доц. Кулагина О.В. учебный комплекс №2 ауд 329а
,15.20-16.50,
,,
,17.00-18.30,
"6202.20.81
адерС",08.30-10.00,пр.з. УПРАВЛЕНИЕ ИНТЕЛЛЕКТУАЛЬНОЙ СОБСТВЕННОСТЬЮ
,,доц. Кулагина О.В. учебный комплекс №2 ауд 329а
,10.10-11.40,пр.з. УПРАВЛЕНИЕ ИНТЕЛЛЕКТУАЛЬНОЙ СОБСТВЕННОСТЬЮ
,,доц. Кулагина О.В. учебный комплекс №2 ауд 329а
,12.00-13.30,пр.з. УПРАВЛЕНИЕ ИНТЕЛЛЕКТУАЛЬНОЙ СОБСТВЕННОСТЬЮ
,,доц. Кулагина О.В. учебный комплекс №2 ауд 329а
,13.40-15.10,
,,
,15.20-16.50,
,,
,17.00-18.30,
"6202.20.91
гревтеЧ",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,,
,13.40-15.10,пр.з. Организация проектирования процессов по улучшению качества
,,ст.преп. Шутова О.А. ауд. 343
,15.20-16.50,пр.з. Организация проектирования процессов по улучшению качества
,,ст.преп. Шутова О.А. ауд. 343
,17.00-18.30,
,,
"6202.20.02
ацинтяП",08.30-10.00,
,,
,10.10-11.40,
,,
,12.00-13.30,
,13.40-15.10,лек. ОЦЕНКА ПРОЦЕССОВ СИСТЕМ КАЧЕСТВА
,,доц. Тяпаев Т.Б. ауд. 341
,15.20-16.50,лек. ОЦЕНКА ПРОЦЕССОВ СИСТЕМ КАЧЕСТВА
,,доц. Тяпаев Т.Б. ауд. 341
,17.00-18.30,
,,
"6202.20.12
атоббуС",08.30-10.00,
,10.10-11.40,
,,
,12.00-13.30,
,,
,13.40-15.10,
,,
,15.20-16.50,
,,
,17.00-18.30,
,,
,,
