"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 4 курс",column_1,column_2,column_3
Дни,Часы,Б-АИ-ТС-402 с 26.01.26,Б-АИ-ТС-403 с 26.01.26
"к
и
н
ь
л
де
не
о
П",8.30-10.00,,"лаб.з. технология восстановления работоспос тс в апк
Исаев А.С. Савенков А.С. Сафонов К.В.115"
,10.10-11.40,,"пр.з. технология восстановления работоспос тс в апк
Исаев А.С.Меденко А.А.115"
,12.00-13.30,"лек. ТЕХНОЛОГИИ ВОССТАНОВЛЕНИЯ РАБОТОСПОСОБНОСТИ ТЕХНИЧЕСКИХ СРЕДСТВ В АПК
проф. Шишурин С.А. 118",
,13.40-15.10,"лаб.з. технология восстановления работоспос тс в апк
Венскайтис В.В. 118",
,15.20-16.50,"пр.з. технология восстановления работоспос тс в апк
Венскайтис В.В. 118",
,17.00-18.30,,
"к
и
н
р
о
т
В",8.30-10.00,,
,10.10-11.40,"лаб.з. роботизированные технические средства
Шишкин И.В. 122","лаб.з. роботизированные технические средства
Исаев А.С. 118"
,12.00-13.30,лек. РОБОТИЗИР ТЕХНИЧ СРЕДСТВА доц. Горбушин П.А. 122,
,,лек.ТЕХНИЧЕСКИЕ АСПЕКТЫ ПРОЕКТИРОВАНИЯ СОВРЕМЕННОЙ АГРОТЕХНИКИ доц. Шардина Г.Е.131,
,13.40-15.10,пр.з. техн восстан работоспос тс в апк Венскайтис В.В.118,пр.з. техн восстан работоспос тс в апк Исаев А.С.Меденко А.А.121
,,лаб.з. техн восстан работоспос тс в апк Венскайтис В.В. 118,лаб.з. техн восстан работоспос тс в апк Исаев А.С. Сафонов К.В.121
,15.20-16.50,,
,17.00-18.30,,
"а
д
ре
С",8.30-10.00,"лаб.з. техническая эксплуат машинно-тракторного парка
Комаров Ю.В. 121","лаб.з. техническая эксплуат машинно-тракторного парка
Нестеров Е.С. Савенков А.С. 117"
,10.10-11.40,"лек. ПРОИЗВОДСТВЕННЫЙ КОНТРОЛЬ ТЕХНОЛОГИЧЕСКИХ ПРОЦЕССОВ В АПК
проф. Старцев А.С. 138",
,12.00-13.30,"лаб.з. технические аспекты проектирования
Шардина Г.Е. 131","лаб.з. технические аспекты проектирования
Демин Е.Е. 140"
,13.40-15.10,пр.з.техническая экспля машинно-тракторо парка Березкин А.С. 437,пр.з. техническая экспля машинно-тракторо парка Савенков А.С. Ершов С.В.423
,,лб.з.производственный контроль Старцев А.С. Ершов С.В.138,лб.з.производственный контроль Шардина Г.Е. 131
,15.20-16.50,,
,17.00-18.30,,
"рг
ве
т
Че",8.30-10.00,"лаб.з. техническая эксплуат машинно-тракторного парка
Комаров Ю.В. 121","лаб.з. техническая эксплуат машинно-тракторного парка
Нестеров Е.С. Савенков А.С. 117"
,10.10-11.40,"лаб.з. проиводственный контроль технологич процессов
Старцев А.С. Ершов С.В. 138","лаб.з. проиводственный контроль технологич процессов
Шардина Г.Е. 131"
,12.00-13.30,"лек.ТЕХНИЧЕСКАЯ ЭКСПЛУАТАЦИЯ МАШИННО-ТРАКТОРНОГО ПАРКА
доц. Комаров Ю.В. 423",
,13.40-15.10,,
,15.20-16.50,,
,17.00-18.30,,
"а
ц
и
н
т
я
П",8.30-10.00,"лаб.з. техническое сопровождение
Демин Е.Е.117","лаб.з. техническое сопровождение
Комаров Ю.В. 118"
,10.10-11.40,лек. ОСНОВЫ НАУЧНЫХ ИССЛЕДОВАНИЙ В АГРОИНЖЕНЕРИИ проф. Павлов П.И. 202,
,,лек. ТЕХНИЧЕСКОЕ СОПРОВОЖДЕНИЕ ПРОИЗВОДСТВЕННЫХ ПРОЦЕССОВ В АПК проф. Демин Е.Е.117,
,12.00-13.30,пр.з. основы научных исследований Павлов П.И. 431,пр.з. основы научных исследований Дзюбан И.Л.437
,,,
,13.40-15.10,,
,15.20-16.50,,
,17.00-18.30,,
"а
т
о
б
б
у
С",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
,,,
