"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 1 курс",column_1,column_2
Дни,Часы,М-ЭиЭ-101
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"пр.з.теория и практика инженерного исследования
Абдразаков Ф.К.110"
,15.20-16.50,"лаб.з. методология и методы проведения научных исследований в
электроэнергетике и электротехнике Абдразаков Ф.К.110"
,17.00-18.30,"пр.з.современные программные продукты в электроэнергетике
Евстафьев Д.П. 200"
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,
,12.00-13.30,лек. СИСТЕМА ЭНЕРГООБЕСПЕЧЕНИЯ ПРЕДПРИЯТИЙ доц. Лягина Л.А. 304
,,пр.з. система энергообеспечения предприятий Лягина Л.А. 304
,13.40-15.10,лек.ТЕХНИЧЕСКИЕ СРЕДСТВА УПРАВЛЕНИЯ доц. Моисеев А.П. 301
,,лаб.з. технические средства управления Моисеев А.П. 301
,15.20-16.50,лек.МЕТОДОЛОГИЯ И МЕТОДЫ ПРОВЕД.НАУЧНЫХ ИССЛЕД. В ЭЛЕКТРОЭНЕРГЕТИКЕ проф. Абдразаков Ф.К.110
,,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,лек. НАДЕЖНОСТЬ ЭЛЕКТРИЧЕСКИХ СИСТЕМ доц. Иванкина Ю.В. 413
,,лек.СОВРЕМЕННЫЕ ПРОГРАММНЫЕ ПРОДУКТЫ В ЭЛЕКТРОЭНЕРГЕТИКЕ доц. Евстафьев Д.П. 200
,13.40-15.10,лаб.з. надежность электрических систем Кузнецов А.А. 413
,,пр.з. выбор альтернативных источников энергии Елисеев С.С. 413
,15.20-16.50,"пр.з. надежность электрических систем
Ищенко А.П. 413"
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
,8.30-10.00,
"а
т
о
б
б
у
С",10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,
