"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 1 курс",column_1,column_2
Дни,Часы,М-ТТ-101
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"пр.з. средства и технологии энерго- и ресурсосбережения
Логачева О.В. 400"
,15.20-16.50,лек.ТЕПЛОЭНЕРГЕТИЧЕСКОЕ И ТЕПЛОТЕХНИЧЕСКОЕ ОБОРУДОВАНИЕ доц. Верзилин А.А 401
,,лаб.з. средства и технологии энерго- и ресурсосбережения Бедило П.С.400
,17.00-18.30,
,,лаб.з. теплоэнергетическое и теплотехническое оборудование Верзилин А.А. 401
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,
,,лек.СРЕДСТВА И ТЕХНОЛОГИИ ЭНЕРГО-И РЕСУРСОСБЕРЕЖЕНИЯ доц. Логачева О.В. 401а
,12.00-13.30,"пр.з. теплоэнергетическое и теплотехническое оборудование
Мерзлов С.П. 401а"
,13.40-15.10,лек.ПРИРОДООХРАННЫЕ ТЕХНОЛОГИИ И МЕРОПРИЯТИЯ В ТЕПЛОЭНЕРГЕТИКИ И ТЕПЛОТЕХНИКЕ доц. Елисеев С.С. 401а
,,пр.з. природоохранные технологии и мероприятия в теплоэнергетике и теплотехнике Елисеев С.С. 107
,15.20-16.50,лек.ЭКСПЛУАТАЦИЯ ТЕПЛОЭНЕРГЕТИЧЕСКОГО ОБОРУДОВАНИЯ И ЭНЕРГОСИСТЕМ доц. КожевниковА.А.401а
,,лаб.з. эксплуатация теплоэнергетического оборудования и энергосистем Кожевников А.А. 401а
,17.00-18.30,"пр.з. эксплуатация теплоэнергетического оборудования и энергосистем
Кожевников А.А. 401а"
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"лек.СОВРЕМЕННЫЕ ПРОБЛЕМЫ ТЕПЛОЭНЕРГЕТИКИ, ТЕПЛОТЕХНИКИ И ТЕПЛОТЕХНОЛОГИИ доц. Евстафьев Д.П.401а"
,,"пр.з. современные проблемы теплоэнергетики, теплотехники и теплотехнологии Абрамова В.С. 401а"
,15.20-16.50,лек. ПРОМЫШЛЕННАЯ БЕЗОПАСНОСТЬ доц. Елисеев С.С. 107
,,пр.з. промышленная безопасность Сафин Э.Э. 107
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
,8.30-10.00,
"а
т
о
б
б
у
С",10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,
