"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,Б-ТТ-201 с 02.02.26
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,"пр.з. общая физическая подготовка
Бугров А.А. сок"
,10.10-11.40,"лек.ТЕПЛОМАССООБМЕН
доц. Панкова Т.А. 110"
,12.00-13.30,"пр.з. тепломассобмен
Панкова Т.А. 110"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,лек. ОРГАНИЗАЦИЯ РАБОТЫ МАЛЫХ ГРУПП доц. Антипова Е.А. 403
,,лек.ЭКОНОМИЧЕСКАЯ КУЛЬТУРА проф. Уколова Н.В. 403
,10.10-11.40,"пр.з. экономическая культура
Уколова Н.В. 403"
,12.00-13.30,"пр.з. организация работы малых групп
Антипова Е.А. 403"
,13.40-15.10,пр.з. социология Дудникова Е.Б. 403
,,
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,"лек. МЕХАНИКА
доц. Васильчиков В.В. 40"
,12.00-13.30,пр.з. тепломассобмен Панкова Т.А. 110
,,лек. СОЦИОЛОГИЯ проф. Дудникова Е.Б. 249
,13.40-15.10,лб.з. тепломассобмен Панкова Т.А.110
,,лаб.з. механика Шишкин И.В. 437
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,,лек. ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ И ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ В ТЕПЛОЭНЕРГЕТИКЕ доц.ЕвстафьевД.П 529
,10.10-11.40,"лаб.з.информационные технологии и искусственный интеллект в теплоэнергетике
Евстафьев Д.П. 529"
,12.00-13.30,пр.з. механика Шишкин И.В. 437
,,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,"лаб.з. электротехника и электроника
Чурляева О.Н. Левин М.А. 416"
,10.10-11.40,"лек. ЭЛЕКТРОТЕХНИКА И ЭЛЕКТРОНИКА
доц. Чурляева О.Н. 416"
,12.00-13.30,пр.з. электротехника и электроника Левин М.А. 416
,,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
