"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,С-ПБ-201 с 26.01.26
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,"лек. СОПРОТИВЛЕНИЕ МАТЕРИАЛОВ
доц. Васильчиков В.В. 40"
,12.00-13.30,лек. ГИДРОГАЗОДИНАМИКА доц. Миркина Е.Н.ГЛ-5
,,пр.з. гидрогазодинамика Миркина Е.Н. ГЛ-5
,13.40-15.10,лб.з.теория горения и взрыва Рыжова Е.В. 240
,,пр.з. гидрогазодинамика Миркина Е.Н. ГЛ-5
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,лек. СОЦИОЛОГИЯ проф. Дудникова Е.Б. 238
,,пр.з. социология Дудникова Е.Б. 217
,10.10-11.40,"пр.з. сопротивление материалов
Васильчиков В.В. 40"
,12.00-13.30,"пр.з. общая физическая подготовка
Барбашин В.В. сок"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,лек. УПРАВЛЕНИЕ ПРОЕКТАМИ доц. Черненко Е.В. 407
,,пр.з. управление проектами Черненко Е.В. 407
,10.10-11.40,"пр.з.пожарно-строевая подготовка
Бахтиев Р.Н. 208"
,12.00-13.30,пр.з.пожарно-строевая подготовка Бахтиев Р.Н. 208
,,лаб.з.современные программные продукты в пожарной безопасности Горюнов Д.Г. 531
,13.40-15.10,"лаб.з. современные программные продукты в пожарной безопасности
Горюнов Д.Г. 531"
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,пр.з. общая физическая подготовка Барбашин В.В. сок
,,лек. ДЕТАЛИ МАШИН проф. Павлов П.И.431
,10.10-11.40,"пр.з. детали машин
Дзюбан И.Л. 431"
,12.00-13.30,лек. ТЕОРИЯ ГОРЕНИЯ И ВЗРЫВА доц. Жиздюк А.А.244
,,пр.з.теория горения и взрыва Жиздюк А.А. 244
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,"пр.з.подготовка пожарных
Бахтиев Р.Н. Тютин А.В. 208"
,10.10-11.40,"пр.з.подготовка пожарных
Бахтиев Р.Н. Тютин А.В. 208"
,12.00-13.30,
,,лек. ЭЛЕКТРОТЕХНИКА И ЭЛЕКТРОНИКА доц.Чурляева О.Н.416
,13.40-15.10,
,,лаб.з. электротехника и электроника Чурляева О.Н. 416
,15.20-16.50,
,17.00-18.30,
"а
т
о
б
б
у",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
С,13.40-15.10,
