"Расписание занятий
на 2 семестр 2025-2026 учебного года.
Институт ветеринарной медицины и фармации",column_1,column_2,column_3
Дни,Часы,ВТ-11,ВТ-12
"6
2
0
2
2.
0
6.
1
к
и
н
ь
л
е
д
е
н
о
П",08.30-10.00,"лек. ЦИТОЛОГИЯ, ГИСТОЛОГИЯ И ЭМБРИОЛОГИЯ
проф. Зирук И.В. ауд. С-123",
,10.10-11.40,"лек. ЦИТОЛОГИЯ, ГИСТОЛОГИЯ И ЭМБРИОЛОГИЯ
проф. Зирук И.В. ауд. С-123",
,12.00-13.30,"ЭКЗАМЕН Неорганическая и аналитическая химия
доц.Кондрашова А.В. ауд.533","пр.з. Основы российской государственности
доц. Гижов В.А. ауд. С-413"
,13.40-15.10,"пр.з. Основы российской государственности
доц. Гижов В.А. ауд. 5","пр.з. Основы российской государственности
доц. Гижов В.А. ауд. 5"
,15.20-16.50,,
,17.00-18.30,,
"6
2
0
2
2.
0
7.
1
к
и
н
р
о
т
В",08.30-10.00,"лаб.з. Цитология, гистология и эмбриология
проф.Зирук И.В., доц.Дмитриев Н.О. ауд. С-123, С-273","ЗАЧЕТ Основы российской государственности
доц. Гижов В.А."
,10.10-11.40,"лаб.з. Цитология, гистология и эмбриология
проф.Зирук И.В., доц.Дмитриев Н.О. ауд. С-123, С-273",переезд на учебный комплекс № 2
,12.00-13.30,,"ЭКЗАМЕН Русский язык и культура речи
учебный комплекс №2 ауд. 238"
,13.40-15.10,"ЗАЧЕТ Основы российской государственности
доц. Гижов В.А.",
,15.20-16.50,,
,17.00-18.30,,
"6
2
0
2
2.
0
8.
1
а
д
е
р
С",08.30-10.00,"лек. ИНФОРМАТИКА
доц. Берднова Е.В. ауд. 427",
,10.10-11.40,"ЭКЗАМЕН с 10.10 Физическая культура и спорт
Правкина Я.Ю. каф. ФК","лаб.з. Информатика
Берднова Е.В., Жданов Д.А. 427, 426"
,12.00-13.30,"лаб.з. Информатика
Берднова Е.В., Жданов Д.А. 427, 426","ЭКЗАМЕН с 12.00 Физическая культура и спорт
Правкина Я.Ю. каф. ФК"
,13.40-15.10,"лаб.з. Информатика
Берднова Е.В. 427","лаб.з. Информатика
Жданов Д.А. 426"
,15.20-16.50,,
,17.00-18.30,,
"6
2
0
2
2.
0
9.
1
г
р
е",08.30-10.00,,"лаб.з. Цитология, гистология и эмбриология
проф.Зирук И.В., доц.Дмитриев Н.О. ауд. С-123, С-273"
,10.10-11.40,,"лаб.з. Цитология, гистология и эмбриология
проф. Зирук И.В., доц. Дмитриев Н.О. ауд. С-123, С-273"
,12.00-13.30,,
,13.40-15.10,,
"в
т",,,
"е
Ч",15.20-16.50,"ЭКЗАМЕН Органическая физколлоидная химия
доц. Древко Я.Б. ауд . 538",
,17.00-18.30,,
"6
2
0
2
2.
0
0.
2
а
ц
и
н
т
я
П",08.30-10.00,,"ЭКЗАМЕН Неорганическая и аналитическая химия
доц.Кондрашова А.В. ауд.533"
,10.10-11.40,,"пр.з. История России
доц. Федорова-Кузнецова И.В. ауд. 416"
,12.00-13.30,,"ЗАЧЕТ История России
доц. Федорова-Кузнецова И.В. ауд. 416"
,13.40-15.10,"пр.з. История России
доц. Федорова-Кузнецова И.В. ауд. 416",
,15.20-16.50,"ЗАЧЕТ История России
доц. Федорова-Кузнецова И.В. ауд. 416",
,17.00-18.30,,
"6
2
0
2
2.
0
2.
2
а
т
о
б
б
у
С",08.30-10.00,,
,10.10-11.40,"ЭКЗАМЕН Анатомия животных
доц. Лукьяненко А.В.",
,12.00-13.30,,"ЭКЗАМЕН Анатомия животных
доц. Лукьяненко А.В."
,13.40-15.10,,
,15.20-16.50,,
