"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 1 курс",column_1,column_2,column_3
Дни,Часы,Б-ПИ-101 с 02.02.2026,Б-ПИ-102 с 02.02.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,,
,10.10-11.40,лек. ВЫСШАЯ МАТЕМАТИКА доц. Кочегарова О.С. 202,
,,лек. ИСТОРИЯ РОССИИ доц. Федорова-Кузнецова И.В. 202,
,12.00-13.30,"пр.з. история России
Федорова-Кузнецова И.В. 407","пр.з. высшая математика
Кочегарова О.С. 253"
,13.40-15.10,"пр.з. высшая математика
Кочегарова О.С. 253","пр.з. история России
Федорова-Кузнецова И.В.407"
,15.20-16.50,лек. ИНЖЕНЕРНАЯ ГРАФИКА доц. Перетятько А.В. 202,
,,,
,17.00-18.30,,
"к
и
н
р
о
т
В",8.30-10.00,пр.з. инженерная графика Перетятько А.В. Жданов Д.А.315 313,лаб.з.введение в информационную безопасность Ершов А.С. Моршнев А.Ю.522
,,лаб.з.введение в информационную безопасность Ершов А.С. Моршнев А.Ю 522,пр.з. инженерная графика Перетятько А.В. Жданов Д.А.315 313
,10.10-11.40,"пр.з. общая физическая подготовка
Купричев Е.Д. сок","пр.з. общая физическая подготовка
Бугров А.А. сок"
,12.00-13.30,лек. ИНТЕРФЕЙСЫ ИНФОРМАЦИОННЫХ СИСТЕМ доц. Моргунова Н.Л. 202,
,,лек. ВВЕДЕНИЕ В ИНФОРМАЦИОННУЮ БЕЗОПАСНОСТЬ доц. Ершов А.С. 202,
,13.40-15.10,лаб.з. интерфейсы информац.систем Моргунова Н.Л. Грепечук Ю.Н.113,
,,,лаб.з. интерфейсы информац.систем Моргунова Н.Л. Грепечук Ю.Н.113
,15.20-16.50,,
,17.00-18.30,,
"а
д
е
р
С",8.30-10.00,,"пр.з. иностранный язык
Мизюрова Э.Ю. Садовникова Е.В. 510а 511"
,10.10-11.40,лаб.з алгоритмы и структуры данных Ключиков А.В. Грепечук Ю.Н. 113,пр.з. иностранный язык Мизюрова Э.Ю. Садовникова Е.В. 510а 511
,,пр.з.иностранный язык Мизюрова Э.Ю. Садовникова Е.В. 510а 511,лаб.з алгоритмы и структуры данных Ключиков А.В. Грепечук Ю.Н. 113
,12.00-13.30,"пр.з. иностранный язык
Мизюрова Э.Ю. Садовникова Е.В. 510а 511",
,13.40-15.10,ЕДИНЫЙ КУРАТОРСКИЙ ЧАС,
,15.20-16.50,,
,17.00-18.30,,
"г
р
е
в
т
е
Ч",8.30-10.00,"пр.з. общая физическая подготовка
Купричев Е.Д. сок","пр.з. общая физическая подготовка
Бугров А.А. сок"
,10.10-11.40,лек. БЕЗОПАСНОСТЬ ЖИЗНЕДЕЯТЕЛЬНОСТИ доц. Удалова О.Г. 202,
,,лек. ТЕОРИЯ ИНФОРМАЦИИ доц. Журавлев А.Н. 202,
,12.00-13.30,"пр.з. теория информации
Журавлев А.Н. Жданов Д.А. 113","пр.з. безопасность жизнедеятельности
Удалова О.Г. Марынова Т.А. 518 а"
,13.40-15.10,,"пр.з. теория информации
Журавлев А.Н. Жданов Д.А. 113"
,15.20-16.50,,
,17.00-18.30,,
"а
ц
и
н
т
я
П",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,"лаб.з. языки программирования высокого уровня
Ключиков А.В. Грепечук Ю.Н. КВАНТОРИУМ",
,13.40-15.10,"пр.з. безопасность жизнедеятельности
Удалова О.Г. Марынова Т.А. 518 а","лаб.з. языки программирования высокого уровня
Ключиков А.В. Грепечук Ю.Н. КВАНТОРИУМ"
,15.20-16.50,лек. ЯЗЫКИ ПРОГРАММИРОВАНИЯ ВЫСОКОГО УРОВНЯ доц. Ключиков А.В. 202,
,,лек. АЛГОРИТМЫ И СТРУКТУРЫ ДАННЫХ доц. Ключиков А.В. 202,
,17.00-18.30,,
"а
т
о
б",8.30-10.00,,
,10.10-11.40,,
"б
у
С",12.00-13.30,,
,13.40-15.10,,
