"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 1 курс",column_1,column_2,column_3
Дни,Часы,М-ГМ-101 26.01.26,
к,8.30-10.00,,
,10.10-11.40,,
"и
н
ь
л
е
д
е
н
о
П",12.00-13.30,"пр.з. управление потенциальным и эффективным плодородием орошаемых земель
проф. Пронько Н.А. Назаров А.С. 532",
,13.40-15.10,лек.ИССЛЕДОВАНИЕ ОРОСИТЕЛЬНЫХ СИСТЕМ проф. Кравчук А.В.525,
,,лаб.з. исследование оросительных систем проф. Кравчук А.В. 525,
,15.20-16.50,пр.з. исследование оросительных систем доц. Поваров А.В. 525,
,,,
,17.00-18.30,,
"к
и
н
р
о
т
В",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
,15.20-16.50,,
,17.00-18.30,,
"а
д
е
р
С",8.30-10.00,,
,10.10-11.40,лек.СПЕЦИАЛЬНЫЕ ВИДЫ ИНЖЕНЕРНЫХ ИЗЫСКАНИЙ НА ОРОШАЕМЫХ ЗЕМЛЯХ доц.Аржанухина Е.В.532,
,,лаб.з. специальные виды инженерных изысканий на орошаемых землях Мамедова Л.С. 501,
,12.00-13.30,"пр.з. специальные виды инженерных изысканий на орошаемых землях
доц.Аржанухина Е.В. Назаров А.С. 532",
,13.40-15.10,"пр.з.экономическая оценка эффективности гидромелиоративных мероприятий
доц. Потоцкая Л.Н. 111",
,15.20-16.50,лек.ЭКОНОМИЧЕСКАЯ ОЦЕНКА ЭФФЕКТИВНОСТИ ГИДРОМЕЛИОР.МЕРОПРИЯТИЙ доц. Потоцкая Л.Н.111,
,,,
,17.00-18.30,,
"г
р
е
в
т
е
Ч",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,лек. НАДЕЖНОСТЬ И БЕЗОПАСНОСТЬ ГИДРОМЕЛИОРАТИВНЫХ ОБЪЕКТОВ доц. Михеева О.В. 525,
,,,
,15.20-16.50,пр.з. надежность и безопасность гидромелиоративных объектов доц. Михеева О.В. 525,
,,лаб.з. надежность и безопасность гидромелиоративных объектов доц. Михеева О.В. 525,
,17.00-18.30,пр.з. дистанционный мониторинг орошаемых земель доц. Фисенко Б.В. Назаров А.С. 525,
,,лаб.з. дистанц. мониторинг орошаемых земель доц. Фисенко Б.В. Назаров А.С. 525,
"а
ц
и
н
т
я
П",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
,15.20-16.50,,
,17.00-18.30,,
,8.30-10.00,,
"а
т
о
б
б
у
С",10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
,,,
