"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 1 курс",column_1,column_2
Дни,Часы,М-ЛА-101
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
,8.30-10.00,
"к
и
н
р
о
т
В",10.10-11.40,лек.КОМПЬЮТЕРНАЯ ГРАФИКА В ЛАНДШАФТНОЙ АРХИТЕКТУРЕ доц. Терешкин А.В. 533
,,
,12.00-13.30,"лаб.з. компьютерная графика в ландшафтной архитектуре и дизайне
Терешкин А.В. ауд. 533"
,13.40-15.10,"лаб.з. компьютерная графика в ландшафтной архитектуре и дизайне
Терешкин А.В. ауд. 533"
,15.20-16.50,"лек. СОВРЕМЕННЫЕ ТЕХНОЛОГИИ ДЕКОРАТИВНОГО РАСТЕНИЕВОДСТВА
проф. Маштаков Д.А. ауд. 533"
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,"лек. СОВРЕМЕННЫЕ АСПЕКТЫ ЛАНДШАФТНОГО ПРОЕКТИРОВАНИЯ
доц. Андрушко Т.А. ауд. 128"
,12.00-13.30,"пр.з. современные аспекты ландшафтного проектирования
доц. Андрушко Т.А. ауд. 128"
,13.40-15.10,"пр.з. современные аспекты ландшафтного проектирования
доц. Андрушко Т.А. ауд. 128"
,15.20-16.50,"лаб.з. современные технологии декоративного растениеводства
Маштаков Д.А. ауд. 128"
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
,8.30-10.00,
"а
т
о
б
б
у
С",10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,
