"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 1 курс",column_1,column_2
Дни,Часы,М-ЛД-101
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"пр.з. государственный лесной контроль и надзор
Корниенко М.Ю. ауд. 134"
,15.20-16.50,лек. МОНИТОРИНГ ЛЕСНЫХ ЭКОСИСТЕМ доц. доц. Козаченко М.А. ауд. 134
,,лаб.з. мониторинг лесных экосистем Захаров Р.С. ауд. 134
,17.00-18.30,"лаб.з. мониторинг лесных экосистем
Захаров Р.С. ауд. 134"
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,
,12.00-13.30,"пр.з. организация комплексного ведения лесного и охотничьего хозяйства
Есков Д.В. ауд. ГЛ-2"
,13.40-15.10,"лаб.з. оптимизация многоцелевого лесопользования
Козаченко М.А. ауд. ГЛ-2"
,15.20-16.50,лек.ОРГАНИЗАЦИЯ КОМПЛЕКСНОГО ВЕДЕНИЯ ЛЕСНОГО И ОХОТНИЧЬЕГО ХОЗЯЙСТВА доц. Козаченко М.А. ауд. ГЛ-2
,,лек. ГОСУДАРСТВЕННЫЙ ЛЕСНОЙ КОНТРОЛЬ И НАДЗОР доц. Козаченко М.А. ауд. ГЛ-2
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,"лаб.з. методология научных исследований в сфере лесного и охотничьего хозяйства
Коржавин В.Е. ауд. 239"
,13.40-15.10,лек.МЕТОДОЛОГИЯ НАУЧНЫХ ИССЛЕДОВАНИЙ В СФЕРЕ ЛЕСНОГО ОХОТНИЧЬЕГО ХОЗЯЙСТВА доц. Козаченко М.А.132
,,лек.СОВРЕМЕННЫЕ ТЕХНОЛОГИИ ВЫРАЩИВАНИЯ ПОСАДОЧНОГО МАТЕРИАЛА ДЛЯ ЛЕСНОГО И ОХОТНИЧЬЕГО ХОЗЯЙСТВА проф.Маштаков Д.А. 132
,15.20-16.50,"лаб.з. современные технологии выращивания посадочного материала для лесного и
охотничьего хозяйства Маштаков Д.А. Ларин Ю.В. ауд. 132"
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
,8.30-10.00,
"а
т
о
б
б
у
С",10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,
