"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,Б-ЛА-201 с 16.02.26
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,"пр.з. общая физическая подготовка
Нефедова Ю.В. сок"
,10.10-11.40,"лек. ТЕОРИЯ ЛАНДШАФТНОЙ АРХИТЕКТУРЫ И МЕТОДОЛОГИЯ ПРОЕКТИРОВАНИЯ
доц. Андрушко Т.А. 249"
,12.00-13.30,"пр.з. теория ландшафтной архитектуры и методология проектирования
Андрушко Т.А. 249"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,
,,лек. ПРАВОВЕДЕНИЕ доц. Шмыгина О.Н. 249
,12.00-13.30,"пр.з. правоведение
Шмыгина О.Н. 249"
,13.40-15.10,лек. ДЕКОРАТИВНОЕ РАСТЕНИЕВОДСТВО проф. Маштаков Д.А. 239
,,пр.з. теория ландшафтной архитектуры Андрушко Т.А. 239
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,
,12.00-13.30,"пр.з. декоративное растениеводство
Филиппов П.Б. 401а"
,13.40-15.10,"пр.з. менеджмент
Пшенцова А.И. 308"
,15.20-16.50,"лек. МЕНЕДЖМЕНТ
доц. Пшенцова А.И. 308"
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,пр.з. общая физическая подготовка Нефедова Ю.В.сок
,,
,10.10-11.40,"лек. ГЕОИНФОРМАЦИОННЫЕ СИСТЕМЫ В ЛАНДШАФТНОЙ АРХИТЕКТУРЕ
доц. Терешкин А.В. 533"
,12.00-13.30,"лаб.з. геоинформационные системы в ландшафтной архитектуре
Терешкин А.В. 531"
,13.40-15.10,
,,лаб.з. геоинформационные системы в ландшафтной архитектуре Терешкин А.В. 531
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,"пр.з. архитектурно-строительное черчение
Архангельская И.В. ГЛ-2"
,10.10-11.40,"пр.з. архитектурно-строительное черчение
Архангельская И.В. ГЛ-2"
,12.00-13.30,"пр.з. архитектурно-строительное черчение
Архангельская И.В. ГЛ-2"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
