"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,Б-ПВ-201 с 02.02.26
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,"лек. МЕХАНИКА. ТЕОРЕТИЧЕСКАЯ МЕХАНИКА
доц. Левченко Г.В. 437"
,12.00-13.30,"пр.з. правоведение
Кулагина О.В. 248"
,13.40-15.10,"пр.з. общая физическая подготовка
Барбашин В.В. сок"
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,лек. СОЦИОЛОГИЯ проф. Дудникова Е.Б. 238
,,лек. ПРАВОВЕДЕНИЕ доц. Кулагина О.В. 248
,10.10-11.40,пр.з. механика Исмаилов И.434
,,лб.з. механика Исмаилов И. 434
,12.00-13.30,пр.з. экономическая культура Уколова Н.В. Ерзова П.И. 501а
,,лек.ЭКОНОМИЧЕСКАЯ КУЛЬТУРА пр.Уколова Н.В. Аукина И.Г. 501а
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,
,10.10-11.40,лек. УПРАВЛЕНИЕ ПРОЕКТАМИ доц. Черненко Е.В. 407
,,пр.з. управление проектами Черненко Е.В. 407
,12.00-13.30,"пр.з. общая физическая подготовка
Барбашин В.В. сок"
,13.40-15.10,пр.з. социология Дудникова Е.Б. 407
,,
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,12.00-13.30,пр.з. иженерные изыскания при проектировании объектов инженерной защиты
,,Поваров А.В. 500
,13.40-15.10,лек. ИНЖЕНЕРНЫЕ ИЗЫСКАНИЯ ПРИ ПРОЕКТИРОВАНИИ ОБЪЕКТОВ ИНЖЕНЕРНОЙ ЗАЩИТЫ доц. Поваров А.В. 500
,,лек. ВОССТАНОВЛЕНИЕ И ОХРАНА ВОДНЫХ ОБЪЕКТОВ доц. Рукавишников А.А. 500
,15.20-16.50,"пр.з. восстановление и охрана водных обьектов
Рукавишников А.А. Назаров А.С. 500"
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,
,,лек.ОСНОВЫ ПРИРОДООБУСТРОЙСТВА И ВОДОПОЛЬЗОВАНИЯ доц. Поваров А.В. 500
,12.00-13.30,"пр.з. основы природообустройства и водопользования
Поваров А.В. 500"
,13.40-15.10,"лек. ГИДРОЛОГИЯ, КЛИМАТОЛОГИЯ И МЕТЕОРОЛОГИЯ
доц. Демакина И.И. 107"
,15.20-16.50,"пр.з. гидрология, климатология и метеорология
Демакина И.И. 533"
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
