"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,Б-ТЛ-201 с 02.02.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,
,10.10-11.40,"пр.з. общая физическая подготовка
Купричев Е.Д. сок"
,12.00-13.30,"лаб.з метрология, стандартизация и сертификация
Горбушин П.А. 122"
,13.40-15.10,"лек. МЕТРОЛОГИЯ, СТАНДАРТИЗАЦИЯ И СЕРТИФИКАЦИЯ доц. Горбушин П.А. 122"
,,"лек. ЭЛЕКТРОТЕХНИКА, ЭЛЕКТРОНИКА И ЭЛЕКТРОПРИВОД доц. Чернова Е.Н. 413"
,15.20-16.50,
,17.00-18.30,
"к
и
н
р
о
т
В",8.30-10.00,
,10.10-11.40,
,12.00-13.30,лек. ЭКОНОМИЧЕСКАЯ КУЛЬТУРА доц. Васильева О.А. Новикова Н.А. 238
,,пр.з. экономическая культура Новикова Н.А. Ерзова П.И. 238
,13.40-15.10,лек. ОСНОВЫ ТЕОРИИ РЕЗАНИЯ ДРЕВЕСИНЫ доц. Бахтиев Р.Н. 106
,,пр.з. основы теории резания древесины БахтиевР.Н. 106
,15.20-16.50,"лаб.з основы теории резания древесины
Бахтиев Р.Н. 106"
,17.00-18.30,
"а
д
е
р
С",8.30-10.00,"пр.з. общая физическая подготовка
Купричев Е.Д. сок"
,10.10-11.40,"лек.ТЕХНОЛОГИЯ ЛЕСОЗАГОТОВИТЕЛЬНОГО ПРОИЗВОДСТВА
доц. Колганов Д.А. 106"
,12.00-13.30,"пр.з. технология лесозаготовительного производства
Колганов Д.А. Барус П.А. 106"
,13.40-15.10,"лаб.з. таксация леса
Самсонов Е.В. 134"
,15.20-16.50,
,17.00-18.30,
"г
р
е
в
т
е
Ч",8.30-10.00,
,10.10-11.40,
,12.00-13.30,лек. ДРЕВЕСИНОВЕДЕНИЕ И ЛЕСНОЕ ТОВАРОВЕДЕНИЕ проф. Попов В.Г. 123
,,пр.з. древесиноведение и лесное товароведение проф. Попов В.Г. 123
,13.40-15.10,"лаб.з древесиноведение и лесное товароведение
проф. Попов В.Г. 123"
,15.20-16.50,
,17.00-18.30,
"а
ц
и
н
т
я
П",8.30-10.00,
,10.10-11.40,"лаб.з. электротехника, электроника и электропривод
Волгин А.В. 413"
,12.00-13.30,"лб.з. технология лесозаготовительного производства
Барус П.А. 123"
,13.40-15.10,лб.з. технология лесозаготовительного производства Барус П.А. 123
,,
,15.20-16.50,лек. ТАКСАЦИЯ ЛЕСА доц. Самсонов Е.В. 134
,,
,17.00-18.30,
"а
т
о
б",8.30-10.00,
,10.10-11.40,
"б
у
С",12.00-13.30,
,13.40-15.10,
